,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
32,32,16-06-2020 04:07:48,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,,нет,8,Тбилиси,5 гр,0.1,67509,25855,2289,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
33,33,16-06-2020 04:07:48,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,,нет,9,Тбилиси,5 гр,0.0198,13375,5122,453,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
34,34,16-06-2020 04:08:38,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,,нет,9,Тбилиси,5 гр,0.0198,13375,5122,453,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
35,35,16-06-2020 04:08:38,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,,нет,9,Тбилиси,5 гр,0.051,34423,13183,1167,489.0,,,,,,,,💘✨5g. MDMA ✨💘
36,36,16-06-2020 04:08:38,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,,нет,1,Тбилиси,10 гр,0.0929,63356,24264,2148,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
37,37,16-06-2020 04:08:38,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,,нет,10,Тбилиси,10 гр,0.0413,28158,10784,955,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
38,38,16-06-2020 04:08:38,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,,нет,2,Тбилиси,10 гр,0.0723,49277,18872,1671,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
39,39,16-06-2020 04:08:38,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,,нет,5,Тбилиси,10 гр,0.0434,29566,11323,1002,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
40,40,16-06-2020 04:08:38,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,,нет,3,Тбилиси,10 гр,0.0826,56316,21568,1909,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
41,41,16-06-2020 04:08:38,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,,нет,1,Тбилиси,10 гр,0.2298,156629,59986,5310,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
42,42,16-06-2020 04:08:38,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,,нет,9,Тбилиси,10 гр,0.1626,109746,42031,3721,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
43,43,16-06-2020 04:08:38,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,,нет,5,Тбилиси,10 гр,0.0823,55542,21271,1883,789.0,,,,,,,,💘✨10gram MDMA ✨💘
44,44,16-06-2020 04:08:38,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,,нет,8,Тбилиси,10 гр,0.0385,25976,9948,881,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
45,45,16-06-2020 04:08:38,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,,нет,1,Тбилиси,11 гр,0.0456,30867,11837,1047,,,,,,390.0,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
46,46,16-06-2020 04:08:38,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,,нет,3,Тбилиси,20 гр,0.1408,105593,40440,3580,1500.0,,,,,,,,✨💘20g MDMA💘✨
47,47,16-06-2020 04:08:38,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,,нет,9,Тбилиси,20 гр,0.0625,42167,16149,1430,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
48,48,16-06-2020 04:08:38,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,,нет,5,Тбилиси,50 гр,0.1341,91443,35021,3100,1299.0,,,,,,,,50 gr georgian weed. Package on magnet
49,49,16-06-2020 04:08:38,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,,нет,4,Тбилиси,100 гр,0.2581,175917,67373,5964,2499.0,,,,,,,,100 gr georgian weed. Package on magnet
50,50,16-06-2020 04:08:38,Tbilisi,cb721d4bca,100 gr marijuana buds,True,,нет,1,Тбилиси,100 гр,0.2478,168948,64704,5728,2400.0,,,,,,,,100 gr marijuana buds
51,51,16-06-2020 04:08:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,,нет,1,Тбилиси,100 гр,0.2065,140790,53920,4773,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
52,52,16-06-2020 04:08:38,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,,1,1,Тбилиси,100 гр,0.2582,175988,67400,5967,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,53,16-06-2020 04:08:38,Tbilisi,69672fee0d,180 gr марихуана персоално,True,,нет,1,Тбилиси,180 гр,0.6093,415331,159064,14082,5900.0,,,,,,,,180 gr marihuana persoalno
54,54,16-06-2020 04:08:38,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,,нет,4,Тбилиси,200 гр,0.4429,299179,114580,10143,4250.0,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
55,55,16-06-2020 04:08:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,,нет,1,Тбилиси,250 гр,0.475,323817,124016,10979,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
56,56,16-06-2020 04:08:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,,нет,1,Тбилиси,500 гр,0.7745,527963,202200,17900,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
57,57,16-06-2020 04:08:38,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,,нет,3,Тбилиси,10000 гр,0.8778,598358,229160,20287,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
58,58,16-06-2020 04:08:38,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,,2,нет,Тбилиси,1 гр,0.0188,14079,5392,477,200.0,,,,,,,,KURYER..500RUB.+BONUS
