,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
46,18-02-2020 02:22:44,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0351,22095,8554,766,349,,,,True,,,,,,Kokain KOLUMBIA 2g
47,18-02-2020 02:22:44,Tbilisi,LYHBG,Playboy,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,1,нет,Тбилиси,3 гр,0.0111,6901,2672,239,109,,,,,,,,,,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
48,18-02-2020 02:22:44,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,5,нет,Тбилиси,3 гр,0.0114,7914,3064,274,125,,,,,,,,,,3 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
49,18-02-2020 02:22:44,Tbilisi,OX85,amnesia420,3g AFGHANI Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,3 гр,0.0101,6964,2696,241,110,,,,,,,,,,3g AFGHANI Indica THC 18% / BTC -10% sale
50,18-02-2020 02:22:44,Tbilisi,03F3,geoshop,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0247,15511,6005,538,245,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
51,18-02-2020 02:22:44,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0107,6647,2574,230,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
52,18-02-2020 02:22:44,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0284,19626,7598,680,310,,,,,,,,,,NZT-52 mind storm limited 3g muka
53,18-02-2020 02:22:44,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0162,10066,3897,349,159,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
54,18-02-2020 02:22:44,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0158,9813,3799,340,155,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
55,18-02-2020 02:22:44,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0178,11079,4289,384,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
56,18-02-2020 02:22:44,Tbilisi,5LZ,ExtraShop,5шт Ecstazy 280мг MDMA (Gray Duracell),True,5,нет,Тбилиси,5 гр,0.0149,9496,3677,329,150,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
57,18-02-2020 02:22:44,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0162,10066,3897,349,159,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
58,18-02-2020 02:22:44,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0059,4115,1593,143,65,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
59,18-02-2020 02:22:44,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.0203,13295,5147,461,210,,,,,,,,,,gashish evro 5g
60,18-02-2020 02:22:44,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0386,25323,9804,878,400,,,,,,,,,,gashish evro 10g
61,18-02-2020 02:22:44,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,13,нет,Тбилиси,10 гр,0.0087,6014,2328,208,95,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
