,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
58,58,11-03-2020 23:43:53,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0396,23514,8719,764,329.0,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
59,59,11-03-2020 23:43:53,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,1,Тбилиси,5 гр,0.0217,12865,4770,418,180.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
60,60,11-03-2020 23:43:53,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1072,64325,23850,2089,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
61,61,11-03-2020 23:43:53,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0834,50030,18550,1625,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
62,62,11-03-2020 23:43:53,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0475,28517,10574,926,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,63,11-03-2020 23:43:53,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0421,25015,9275,812,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
64,64,11-03-2020 23:43:53,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0953,57178,21200,1857,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
65,65,11-03-2020 23:43:53,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2651,159025,58963,5164,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
66,66,11-03-2020 23:43:53,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1744,103563,38399,3363,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,67,11-03-2020 23:43:53,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0444,26373,9779,856,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
