,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
58,58,07-07-2020 11:30:29,Tbilisi,54915c4374,Работа на марки (курьер),,,нет,3,Тбилиси,1 гр,0.0266,17835,6800,608,,True,250.0,,,,,,,,,Rabota na marki (kur'er)
59,59,07-07-2020 11:30:29,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,1.6076,1070114,408000,36498,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
60,60,07-07-2020 11:30:29,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,3,Тбилиси,1000 гр,0.0531,35670,13600,1217,,,500.0,,,True,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
61,61,07-07-2020 11:32:59,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,,3,нет,Батуми,2 гр,0.0051,3424,1306,117,,,48.0,,,,,,,True,,Melkie shishki (Indica) 2g
62,62,07-07-2020 11:32:59,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,,нет,5,Батуми,11 гр,0.0471,31418,11973,1072,390.0,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
63,63,07-07-2020 11:32:59,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,,нет,4,Батуми,11 гр,0.0508,33834,12894,1155,420.0,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
64,64,07-07-2020 11:32:59,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.168,112990,51992,3844,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
65,65,07-07-2020 11:32:59,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.266,178900,82321,6086,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
66,66,07-07-2020 11:32:59,Batumi,22610cd7c4,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0096,7134,2720,243,,,100.0,,,,,,,True,,kur'er v Batumi
67,67,07-07-2020 11:32:59,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0241,17835,6800,608,,,250.0,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
68,68,07-07-2020 11:32:59,Batumi,ce6827deee,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0241,17835,6800,608,,,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
69,69,07-07-2020 11:32:59,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,,нет,1,Батуми,1 гр,0.0212,14268,5440,487,,,200.0,,,,,,,True,,Kur'er Batumi na marihuanu
70,70,07-07-2020 11:32:59,Batumi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.6057,1070114,408000,36498,,,15000.0,,,,,,,True,,Vakansija optovogo kur'era na mef
71,71,07-07-2020 11:32:59,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.053,35670,13600,1217,,,500.0,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
