,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Центр,Батуми,desc_en
78,78,03-08-2020 08:24:49,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3342,1101392,417900,36563,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,03-08-2020 08:24:49,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0441,36713,13930,1219,500.0,,,True,True,,,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
80,80,03-08-2020 08:27:17,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️",,4,нет,Батуми,0.2 гр,0.0126,10387,3928,345,,,,,,,119.0,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️"
81,81,03-08-2020 08:27:17,Batumi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2шт (0.4мг)!💉⭕⚜,,1,нет,Батуми,0.4 гр,0.0094,7769,2938,258,,,,,,,89.0,,,True,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2sht (0.4mg)!💉⭕⚜
82,82,03-08-2020 08:27:17,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,5,нет,Батуми,0.4 гр,0.0242,19989,7559,664,,,,,,,229.0,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
83,83,03-08-2020 08:27:17,Batumi,3c9bc6f8e9,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0224,20559,7801,683,280.0,,,,,,,,,,True,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
84,84,03-08-2020 08:27:17,Batumi,3c4662c591,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0352,29370,11144,975,400.0,,,,,,,,,True,,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
85,85,03-08-2020 08:27:17,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0465,38407,14524,1276,,,,,,,440.0,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
86,86,03-08-2020 08:27:17,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,4,Батуми,0.3 гр,0.0267,22028,8358,731,300.0,,,,,,,,,,True,METADON - 0.30 - SALE
87,87,03-08-2020 08:27:17,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0412,34043,12874,1131,,,,,,,390.0,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
88,88,03-08-2020 08:27:17,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.008,7343,2786,244,100.0,,,,,,,,,,True,kur'er v Batumi
89,89,03-08-2020 08:27:17,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.02,18357,6965,609,250.0,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
90,90,03-08-2020 08:27:17,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.02,18357,6965,609,250.0,,,,,,,,,,True,Ischu kur'era v Gruzii!
91,91,03-08-2020 08:27:17,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0176,14685,5572,488,200.0,,,,,,,,,,True,Kur'er Batumi na marihuanu
92,92,03-08-2020 08:27:17,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3328,1101392,417900,36563,15000.0,,,,,,,,,,True,Vakansija optovogo kur'era na mef
93,93,03-08-2020 08:27:17,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.044000000000000004,36713,13930,1219,500.0,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
