,time_stamp,region,sell_code,sell_name,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Vake,$,Тбилиси,Saburtalo,Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
36,14-06-2020 11:17:44,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0816,55298,21520,1902,,,800,True,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
37,14-06-2020 11:17:44,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2271,153796,59853,5291,,,2225,True,,,,,,,Amfetamin [White] [Import] 10G
38,14-06-2020 11:17:44,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1607,107761,41937,3707,,,1559,True,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
39,14-06-2020 11:17:44,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0813,54537,21224,1876,,,789,True,,,,,,,💘✨10gram MDMA ✨💘
40,14-06-2020 11:17:44,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.038,25506,9926,878,,,369,True,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
41,14-06-2020 11:17:44,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1392,103683,40350,3567,,,1500,True,,,,,,,✨💘20g MDMA💘✨
42,14-06-2020 11:17:44,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0617,41404,16113,1424,,,599,True,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
43,14-06-2020 11:17:44,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1326,89789,34943,3089,,,1299,True,,,,,,,50 gr georgian weed. Package on magnet
44,14-06-2020 11:17:44,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.255,172736,67223,5943,,,2499,True,,,,,,,100 gr georgian weed. Package on magnet
45,14-06-2020 11:17:44,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2449,165893,64560,5707,,,2400,True,,,,,,,100 gr marijuana buds
46,14-06-2020 11:17:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2041,138244,53800,4756,,,2000,True,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
47,14-06-2020 11:17:44,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2551,172805,67250,5945,,,2500,True,,,,,,,Marihuana [Shishki] [Gali] 100G
48,14-06-2020 11:17:44,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6021,407819,158710,14031,,,5900,True,,,,,,,180 gr marihuana persoalno
49,14-06-2020 11:17:44,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4376,293768,114325,10107,,,4250,True,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
