,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Saburtalo,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Vake,Батуми,Центр,desc_en
44,23-07-2020 07:39:21,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2505,190000,87429,6398,,,,,,,,,,,,reagent 25i nbome. 5gr
45,23-07-2020 07:39:21,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.28,212364,84270,7156,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,23-07-2020 07:39:21,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,True,нет,2,Тбилиси,5 гр,0.0257,17697,7023,596,250,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
47,23-07-2020 07:39:21,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,2,Тбилиси,5 гр,0.0239,16318,6500,550,,,,,,200,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
48,23-07-2020 07:39:21,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0924,63709,25281,2147,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
49,23-07-2020 07:39:21,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0565,38933,15450,1312,550,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
50,23-07-2020 07:39:21,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0719,49552,19663,1670,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,23-07-2020 07:39:21,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0431,29731,11798,1002,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,23-07-2020 07:39:21,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0821,56630,22472,1908,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,23-07-2020 07:39:21,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,8,Тбилиси,10 гр,0.0431,29731,11798,1002,420,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
54,23-07-2020 07:39:21,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram,True,1,10,Тбилиси,10 гр,0.0355,26899,10674,906,380,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
55,23-07-2020 07:39:21,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2284,157504,62500,5308,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
56,23-07-2020 07:39:21,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,True,нет,1,Тбилиси,10 гр,0.0421,29023,11517,978,410,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
57,23-07-2020 07:39:21,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0525,35900,14300,1210,,,,,,440,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
58,23-07-2020 07:39:21,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0466,31820,12675,1072,,,,,,390,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
59,23-07-2020 07:39:21,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0607,46012,18259,1551,650,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
60,23-07-2020 07:39:21,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2464,169891,67416,5725,2400,,,,,,,,,,,100 gr marijuana buds
61,23-07-2020 07:39:21,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2566,176970,70225,5964,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,23-07-2020 07:39:21,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,нет,2,Тбилиси,100 гр,0.0359,24776,9832,835,350,,,,,,True,True,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
63,23-07-2020 07:39:21,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6057,417650,165731,14074,5900,,,,,,,,,,,180 gr marihuana persoalno
64,23-07-2020 07:39:21,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,4,Тбилиси,500 гр,0.1027,70788,28090,2385,1000,True,True,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
65,23-07-2020 07:39:21,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8726,601699,238765,20276,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,23-07-2020 07:39:21,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0187,14158,5618,477,200,,,,,,,,,,,KURYER..500RUB.+BONUS
67,23-07-2020 07:39:21,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0154,10618,4214,358,150,,True,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
68,23-07-2020 07:39:21,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0257,17697,7023,596,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
69,23-07-2020 07:39:21,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 400$ 5гр,True,1,нет,Тбилиси,5 гр,0.0373,28315,11236,954,400,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
70,23-07-2020 07:40:17,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0205,14158,5618,477,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
71,23-07-2020 07:40:17,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0257,17697,7023,596,250,,,,,,,,,,,Rabota na marki (kur'er)
72,23-07-2020 07:40:17,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0513,35394,14045,1193,500,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
73,23-07-2020 07:40:17,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5539,1061822,421350,35781,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
74,23-07-2020 07:40:17,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0513,35394,14045,1193,500,True,,,,,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
75,23-07-2020 07:42:43,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,13,нет,Батуми,2 гр,0.0043,2973,1180,100,42,,,,,,,,,True,,Melkie shishki (Indica) 2g
76,23-07-2020 07:42:43,Batumi,XUYA,MRweed,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0252,19113,7584,644,270,,,,,,,,,True,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
77,23-07-2020 07:42:43,Batumi,GGVQZ,KARAVANos,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0359,24776,9832,835,350,,,,,,,,,True,,Moschnye shishki Y-Griega (Sativa) 5g
78,23-07-2020 07:42:43,Batumi,Z9UT,Rainbow,Super Critical 10G,,1,нет,Батуми,10 гр,0.0462,31855,12641,1073,450,,,,,,,,,,True,Super Critical 10G
79,23-07-2020 07:42:43,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.037,25293,10075,852,,,,,,310,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
80,23-07-2020 07:42:43,Batumi,BN40,Panters,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0327,24776,9832,835,350,,,,,,,,,True,,Mefedron 3g
81,23-07-2020 07:42:43,Batumi,BN40,Panters,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0392,29731,11798,1002,420,,,,,,,,,True,,Tably Punisher 300 mg. 5sht.
82,23-07-2020 07:42:43,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0525,35900,14300,1210,,,,,,440,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
83,23-07-2020 07:42:43,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0466,31820,12675,1072,,,,,,390,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
84,23-07-2020 07:42:43,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0476,32555,12968,1097,,,,,,399,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
85,23-07-2020 07:42:43,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1639,112990,51992,3805,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
86,23-07-2020 07:42:43,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2594,178900,82321,6024,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
87,23-07-2020 07:42:43,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,7079,2809,239,100,,,,,,,,,True,,kur'er v Batumi
88,23-07-2020 07:42:43,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0233,17697,7023,596,250,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
89,23-07-2020 07:42:43,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0233,17697,7023,596,250,,,,,,,,,True,,Ischu kur'era v Gruzii!
90,23-07-2020 07:42:43,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0205,14158,5618,477,200,,,,,,,,,True,,Kur'er Batumi na marihuanu
91,23-07-2020 07:42:43,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5539,1061822,421350,35781,15000,,,,,,,,,True,,Vakansija optovogo kur'era na mef
92,23-07-2020 07:42:43,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0513,35394,14045,1193,500,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
