,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
34,10-08-2020 12:09:31,Tbilisi,43MUT,Canartvelo,Бошки OG Kush 1g.,True,1,нет,Тбилиси,1 гр,0.0038,3314,1251,110,45,,,,,,,,,,,,Boshki OG Kush 1g.
35,10-08-2020 12:09:31,Tbilisi,42AF,Leningrad6,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,13,нет,Тбилиси,1 гр,0.003,2651,1001,88,36,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
36,10-08-2020 12:10:40,Tbilisi,42AF,Leningrad6,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,13,нет,Тбилиси,1 гр,0.003,2651,1001,88,36,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
37,10-08-2020 12:10:40,Tbilisi,I7IU,MrPickless,1.2гр перемолотые шишки btc 5% sale,True,2,нет,Тбилиси,1.2 гр,0.0028,2577,973,86,35,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
38,10-08-2020 12:10:40,Tbilisi,LYHBG,Playboy,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,7,нет,Тбилиси,2 гр,0.0084,7290,2752,242,99,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
39,10-08-2020 12:10:40,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.01,8837,3336,294,120,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
40,10-08-2020 12:10:40,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0084,7364,2780,245,100,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
41,10-08-2020 12:10:40,Tbilisi,ABOAB,ProGrow,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0083,7290,2752,242,99,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
42,10-08-2020 12:10:40,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,5,нет,Тбилиси,2 гр,0.0074,6480,2446,215,88,,,,,,,,,,,,2gr HYBRID buds
43,10-08-2020 12:10:40,Tbilisi,8B31,GEOWEEDSHOP,2gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,2,нет,Тбилиси,2 гр,0.0084,7290,2752,242,99,,,,,,,,,,,,2gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
44,10-08-2020 12:10:40,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,1,нет,Тбилиси,2 гр,0.0084,8100,3058,269,110,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
45,10-08-2020 12:10:40,Tbilisi,LYHBG,Playboy,NEW !!! 2G OG KusH !!! NEW,True,9,нет,Тбилиси,2 гр,0.0084,7290,2752,242,99,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
