,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
32,08-02-2020 18:16:45,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0217,15233,5928,522,240,,,,,,,,,,NZT-52 mind storm limited 2g muka
33,08-02-2020 18:16:45,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0352,24754,9633,849,390,,,,,,,,,,VHQ BEST Cocaine 2g.
34,08-02-2020 18:16:45,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.0361,24056,9361,825,379,,,,,,,,,,Kokain HQ 2g.
35,08-02-2020 18:16:45,Tbilisi,NLKH,STARS,C O C A i N E 2 g +0.2 g падарка. SALE SALE SALE !!! BiG SALE BTC -10 %%%%,True,1,нет,Тбилиси,2.2 гр,0.0361,25389,9880,870,400,,,,,,,,,,C O C A i N E 2 g +0.2 g padarka. SALE SALE SALE !!! BiG SALE BTC -10 %%%%
36,08-02-2020 18:16:45,Tbilisi,C7LQ,Scandal,"3 Grm Mdma , Purity A +++",True,2,нет,Тбилиси,3 гр,0.0199,13964,5434,479,220,,,,,,,,,,"3 Grm Mdma , Purity A +++"
37,08-02-2020 18:16:45,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0105,6665,2594,229,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
38,08-02-2020 18:16:45,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0307,21580,8398,740,340,,,,,,,,,,NZT-52 mind storm limited 3g muka
39,08-02-2020 18:16:45,Tbilisi,6ZR,Geogrowers,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0879,61830,24065,2119,,,,,888,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
40,08-02-2020 18:16:45,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0176,11108,4323,381,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
41,08-02-2020 18:16:45,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,3,нет,Тбилиси,5 гр,0.015,9521,3705,326,150,,,,,,,,,,"LSD - 250 ug, 5 pieces"
42,08-02-2020 18:16:45,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.02,13329,5187,457,210,,,,,,,,,,gashish evro 5g
43,08-02-2020 18:16:45,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0396,25325,9855,868,399,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
44,08-02-2020 18:16:45,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0381,25389,9880,870,400,,,,,,,,,,gashish evro 10g
