,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Tbilisis Zgva,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
40,12-06-2020 11:49:07,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0816,55298,21480,1900,800,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
41,12-06-2020 11:49:07,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.227,153796,59741,5284,2225,True,,,,,,,,,,Amfetamin [White] [Import] 10G
42,12-06-2020 11:49:07,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1606,107761,41859,3702,1559,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
43,12-06-2020 11:49:07,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0813,54537,21185,1874,789,True,,,,,,,,,,💘✨10gram MDMA ✨💘
44,12-06-2020 11:49:07,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.038,25506,9908,876,369,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
45,12-06-2020 11:49:07,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,11 гр,0.036,24193,9398,831,350,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
46,12-06-2020 11:49:07,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1391,103683,40275,3562,1500,True,,,,,,,,,,✨💘20g MDMA💘✨
47,12-06-2020 11:49:07,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0617,41404,16083,1423,599,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
48,12-06-2020 11:49:07,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1325,89789,34878,3085,1299,True,,,,,,,,,,50 gr georgian weed. Package on magnet
49,12-06-2020 11:49:07,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2549,172736,67098,5935,2499,True,,,,,,,,,,100 gr georgian weed. Package on magnet
50,12-06-2020 11:49:07,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2448,165893,64440,5700,2400,True,,,,,,,,,,100 gr marijuana buds
51,12-06-2020 11:49:07,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.204,138244,53700,4750,2000,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
52,12-06-2020 11:49:07,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.255,172805,67125,5937,2500,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,12-06-2020 11:49:07,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 150шт. вес таблетки 450mg,,нет,1,Тбилиси,150 гр,0.2754,186629,72495,6412,2700,True,,,,,,,,,,Extasy GUCCI 150sht. ves tabletki 450mg
54,12-06-2020 11:49:07,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6019,407819,158415,14011,5900,True,,,,,,,,,,180 gr marihuana persoalno
55,12-06-2020 11:49:07,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4375,293768,114113,10093,4250,True,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
56,12-06-2020 11:49:07,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4693,317961,123510,10924,4600,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
