,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
31,05-03-2020 04:44:45,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0593,36343,13717,1227,550,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,05-03-2020 04:44:45,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0214,13150,4963,444,199,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
33,05-03-2020 04:44:45,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0215,14471,5462,489,219,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,05-03-2020 04:44:45,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0327,19824,7482,669,300,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
35,05-03-2020 04:45:37,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g BTC SALE 5%(ПОДЪЕЗД!!!),True,нет,2,Тбилиси,5 гр,0.0429,26101,9851,881,395,,,,,,,,MDMA from Europe!!! 5g BTC SALE 5%(POD'EZD!!!)
36,05-03-2020 04:45:37,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,16,Тбилиси,5 гр,0.0197,13216,4988,446,200,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
37,05-03-2020 04:45:37,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2837,190000,87429,6424,,,,,,,,,reagent 25i nbome. 5gr
38,05-03-2020 04:45:37,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.296,198235,74820,6693,3000,,True,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
39,05-03-2020 04:45:37,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0942,56761,21423,1917,859,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
40,05-03-2020 04:45:37,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0203,12225,4614,413,185,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
41,05-03-2020 04:45:37,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0536,32312,12196,1091,489,,,,,,,,💘✨5g. MDMA ✨💘
42,05-03-2020 04:45:37,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0361,21740,8205,734,329,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
43,05-03-2020 04:45:37,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0197,11894,4489,402,180,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
44,05-03-2020 04:45:37,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0977,59471,22446,2008,900,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
45,05-03-2020 04:45:37,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.076,46255,17458,1562,700,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
