,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
42,42,01-03-2020 18:22:26,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.055,32759,12078,1095,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
43,43,01-03-2020 18:22:26,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.037000000000000005,22040,8126,737,329.0,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
44,44,01-03-2020 18:22:26,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0203,12058,4446,403,180.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
45,45,01-03-2020 18:22:26,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1003,60292,22230,2015,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
46,46,01-03-2020 18:22:26,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.078,46894,17290,1567,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,47,01-03-2020 18:22:26,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0444,26729,9855,893,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,48,01-03-2020 18:22:26,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0394,23447,8645,784,350.0,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
49,49,01-03-2020 18:22:26,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0891,53593,19760,1791,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
50,50,01-03-2020 18:22:26,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2479,149055,54958,4982,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
51,51,01-03-2020 18:22:26,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.163,97070,35790,3244,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
