,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
39,39,20-05-2020 14:33:10,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0162,11583,4280,387,160.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
40,40,20-05-2020 14:33:10,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2416,190000,87429,6343,,,,,,,,,,,reagent 25i nbome. 5gr
41,41,20-05-2020 14:33:10,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2761,217175,80250,7248,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
42,42,20-05-2020 14:33:10,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0981,69424,25653,2317,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
43,43,20-05-2020 14:33:10,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0194,13754,5083,459,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
44,44,20-05-2020 14:33:10,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.05,35400,13081,1181,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
45,45,20-05-2020 14:33:10,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0911,65153,24075,2174,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
46,46,20-05-2020 14:33:10,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0405,28957,10700,966,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
47,47,20-05-2020 14:33:10,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0709,50674,18725,1691,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
48,48,20-05-2020 14:33:10,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0425,30405,11235,1015,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
49,49,20-05-2020 14:33:10,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,38,Тбилиси,10 гр,0.0101,7239,2675,242,100.0,,,,,,,,,,10G Hybrid Marijuana Leafs
50,50,20-05-2020 14:33:10,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.081,57913,21400,1933,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,51,20-05-2020 14:33:10,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0294,20994,7758,701,290.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
52,52,20-05-2020 14:33:10,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2253,161072,59519,5375,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
53,53,20-05-2020 14:33:10,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1594,112859,41703,3766,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
54,54,20-05-2020 14:33:10,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0377,26713,9871,891,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
55,55,20-05-2020 14:33:10,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0322,22803,8426,761,315.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
56,56,20-05-2020 14:33:10,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5113,361959,133750,12080,5000.0,,,,,,,,,,METADON - 20 G.
57,57,20-05-2020 14:33:10,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0613,43363,16023,1447,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
58,58,20-05-2020 14:33:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1114,79631,29425,2657,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
59,59,20-05-2020 14:33:10,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.243,173740,64200,5798,2400.0,,,,,,,,,,100 gr marijuana buds
60,60,20-05-2020 14:33:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2025,144784,53500,4832,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
61,61,20-05-2020 14:33:10,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2531,180980,66875,6040,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,62,20-05-2020 14:33:10,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5974,427112,157825,14254,5900.0,,,,,,,,,,180 gr marihuana persoalno
63,63,20-05-2020 14:33:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4657,333002,123050,11113,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
64,64,20-05-2020 14:33:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7594,542939,200625,18119,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
65,65,20-05-2020 14:33:10,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8606,615330,227375,20535,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,66,20-05-2020 14:33:10,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0184,14478,5350,483,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
67,67,20-05-2020 14:33:10,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0405,28957,10700,966,400.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
68,68,20-05-2020 14:33:10,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0203,14478,5350,483,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,69,20-05-2020 14:34:34,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2231,159144,58850,5315,2200.0,,,,,,,True,,,[100g] SPAIN HASH
70,70,20-05-2020 14:34:34,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0037,2613,964,87,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
71,71,20-05-2020 14:34:34,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1584,112990,51992,3772,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
72,72,20-05-2020 14:34:34,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2508,178900,82321,5972,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
73,73,20-05-2020 14:34:34,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,7234,2675,242,100.0,,,,,,,True,,,kur'er v Batumi
74,74,20-05-2020 14:34:34,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,18085,6688,604,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
75,75,20-05-2020 14:34:34,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,18085,6688,604,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
76,76,20-05-2020 14:34:34,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5351,1085072,401250,36239,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
77,77,20-05-2020 14:34:34,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0507,36169,13375,1208,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
78,78,20-05-2020 14:35:33,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,1.5 гр,0.0209,15191,5618,507,210.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,79,20-05-2020 14:35:33,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0487,35084,12974,1172,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
80,80,20-05-2020 14:35:33,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0371,26765,9898,894,370.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
81,81,20-05-2020 14:35:33,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0203,14468,5350,483,200.0,,,,,,,,,True,Rabota na marki (kur'er)
