,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,Gldani,€,Didube,Дигоми,Old Tbilisi (Старый город),Центр,Батуми,Кутаиси,desc_en
51,51,28-03-2020 14:32:03,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0863,45862,16815,1519,590.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
52,52,28-03-2020 14:32:03,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.057999999999999996,31093,11400,1030,400.0,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
53,53,28-03-2020 14:32:03,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
54,54,28-03-2020 14:32:03,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0797,42753,15675,1416,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
55,55,28-03-2020 14:32:03,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
56,56,28-03-2020 14:32:03,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,9,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
57,57,28-03-2020 14:32:03,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
58,58,28-03-2020 14:32:03,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
59,59,28-03-2020 14:32:03,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
60,60,28-03-2020 14:32:03,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0288,17023,6242,564,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
61,61,28-03-2020 14:32:03,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0439,23320,8550,773,300.0,True,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
62,62,28-03-2020 14:32:03,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0288,15469,5672,513,199.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
63,63,28-03-2020 14:32:03,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 5 G,,нет,5,Тбилиси,5 гр,0.2195,116599,42750,3863,1500.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 5 G
64,64,28-03-2020 14:32:03,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,13,Тбилиси,5 гр,0.0263,15547,5700,515,200.0,True,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
65,65,28-03-2020 14:32:03,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3219,190000,87429,6293,,True,,,,,,,,,,reagent 25i nbome. 5gr
66,66,28-03-2020 14:33:01,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1276,67550,24767,2238,869.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
