,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
48,48,19-02-2020 06:20:14,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.035,22957,8824,793,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
49,49,19-02-2020 06:20:14,Tbilisi,7ee4f68218,2гр ГАШИШ,True,1,нет,Тбилиси,2 гр,0.0102,7015,2696,242,110.0,,,,,,,,,,,2gr GAShISh
50,50,19-02-2020 06:20:14,Tbilisi,1768a14bbd,Cocaine HQ Высокое качество 2020 SALE 2гр.,True,3,нет,Тбилиси,2 гр,0.0359,23595,9069,815,370.0,,,,,,,,,,,Cocaine HQ Vysokoe kachestvo 2020 SALE 2gr.
51,51,19-02-2020 06:20:14,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0335,22638,8701,782,355.0,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
52,52,19-02-2020 06:20:14,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 2G (BTC sale 10%)",,4,нет,Тбилиси,2 гр,0.0077,5612,2157,194,88.0,True,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 2G (BTC sale 10%)"
53,53,19-02-2020 06:20:14,Tbilisi,3c4662c591,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.0096,6377,2451,220,100.0,True,,,,,,,,,,KALI MIST 2G
54,54,19-02-2020 06:20:14,Tbilisi,8219f5e7b8,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0175,11479,4412,397,180.0,,,,,,,,,,,Ketamine 2 g
55,55,19-02-2020 06:20:14,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,2,нет,Тбилиси,2 гр,0.0068,4464,1716,154,70.0,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
56,56,19-02-2020 06:20:14,Tbilisi,be97026d1d,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,2,нет,Тбилиси,2 гр,0.0165,11160,4289,386,175.0,,,,,True,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
57,57,19-02-2020 06:20:14,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,3,нет,Тбилиси,2 гр,0.0192,14029,5392,485,220.0,,,,,,,,,,,NZT-52 mind storm limited 2g muka
58,58,19-02-2020 06:20:14,Tbilisi,edfbad0151,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.008,5420,2083,187,85.0,,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
59,59,19-02-2020 06:20:14,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0341,24870,9559,859,390.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
