,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Gldani,Didube,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
33,33,11-04-2020 10:31:13,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 2 грамма (порошок),True,нет,1,Тбилиси,2 гр,0.0203,12110,4493,406,,,,,,,150.0,,,,,,Buprenorfin!!! Analog suboteksa!!! 2 gramma (poroshok)
34,34,11-04-2020 10:31:35,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 2 грамма (порошок),True,нет,1,Тбилиси,2 гр,0.0203,12110,4493,406,,,,,,,150.0,,,,,,Buprenorfin!!! Analog suboteksa!!! 2 gramma (poroshok)
35,35,11-04-2020 10:31:35,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0506,27214,10111,913,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
36,36,11-04-2020 10:31:35,Tbilisi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,4,Тбилиси,3 гр,0.0408,24338,9042,817,330.0,True,,,,,,,,,,,Sk sinij kris ochen' sil'nyj 3gr
37,37,11-04-2020 10:31:35,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.081,43513,16166,1460,590.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,38,11-04-2020 10:31:35,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0544,29501,10960,990,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,39,11-04-2020 10:31:35,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0217,11800,4384,396,160.0,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
40,40,11-04-2020 10:31:35,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0747,40563,15070,1361,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
41,41,11-04-2020 10:31:35,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0231,12538,4658,421,170.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
42,42,11-04-2020 10:31:35,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.027000000000000003,14677,5453,493,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,43,11-04-2020 10:31:35,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.027000000000000003,14677,5453,493,199.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,44,11-04-2020 10:31:35,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0271,16152,6001,542,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,45,11-04-2020 10:31:35,Tbilisi,28bf667d16,Cocaine Fishscale 5g,True,нет,1,Тбилиси,5 гр,0.1637,88871,33017,2983,1205.0,,,,,,,,,,,,Cocaine Fishscale 5g
46,46,11-04-2020 10:31:35,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.027000000000000003,14677,5453,493,199.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
47,47,11-04-2020 10:31:35,Tbilisi,54915c4374,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0473,28258,10483,947,,,,,,,350.0,,,,,,MDMA 5 gr!!!
48,48,11-04-2020 10:31:35,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3183,190000,87429,6379,,,,,,,,,,,,,reagent 25i nbome. 5gr
49,49,11-04-2020 10:31:35,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3706,221255,82200,7426,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
50,50,11-04-2020 10:31:35,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1193,64090,23811,2151,869.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
51,51,11-04-2020 10:31:35,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0261,14013,5206,470,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
52,52,11-04-2020 10:31:35,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0671,36064,13399,1210,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
53,53,11-04-2020 10:31:35,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,1,5,Тбилиси,5 гр,0.0259,13939,5179,468,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
54,54,11-04-2020 10:31:35,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1223,66376,24660,2228,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
55,55,11-04-2020 10:31:35,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0951,51626,19180,1733,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,11-04-2020 10:31:35,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0435,23600,8768,792,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,11-04-2020 10:31:35,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1087,59001,21920,1980,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,58,11-04-2020 10:31:35,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3024,164097,60965,5507,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
59,59,11-04-2020 10:31:35,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),True,2,3,Тбилиси,10 гр,0.0135,8074,2995,271,,,,,,,100.0,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
60,60,11-04-2020 10:31:35,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.1989,106866,39703,3587,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
61,61,11-04-2020 10:31:35,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0506,27214,10111,913,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,62,11-04-2020 10:31:35,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.040999999999999995,22052,8193,740,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
63,63,11-04-2020 10:31:35,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,7,Тбилиси,20 гр,0.055,29869,11097,1002,405.0,True,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
64,64,11-04-2020 10:31:35,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0822,44177,16413,1483,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,65,11-04-2020 10:31:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1495,81127,30140,2723,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
66,66,11-04-2020 10:31:35,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3261,177004,65760,5940,2400.0,,,,,,,,,,,,100 gr marijuana buds
67,67,11-04-2020 10:32:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2718,147503,54800,4950,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,11-04-2020 10:32:13,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,1,1,Тбилиси,100 гр,0.2745,147503,54800,4950,2000.0,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
69,69,11-04-2020 10:32:13,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3397,184379,68500,6188,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,70,11-04-2020 10:32:13,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,2,Тбилиси,200 гр,0.4281,232317,86310,7797,3150.0,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
71,71,11-04-2020 10:32:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6251,339257,126040,11386,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,72,11-04-2020 10:32:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0192,553136,205500,18564,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,73,11-04-2020 10:32:13,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1551,626888,232900,21039,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,11-04-2020 10:32:13,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0247,14750,5480,495,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
75,75,11-04-2020 10:32:13,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0272,14750,5480,495,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,76,11-04-2020 10:32:13,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.034,18438,6850,619,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,11-04-2020 10:32:13,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0569,1106273,411000,37128,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
78,78,11-04-2020 10:33:19,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2992,162253,60280,5445,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
79,79,11-04-2020 10:33:19,Batumi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,4,Батуми,3 гр,0.0408,24338,9042,817,330.0,,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
80,80,11-04-2020 10:33:19,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2747,147503,54800,4950,2000.0,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
81,81,11-04-2020 10:33:19,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0124,7375,2740,248,100.0,,,,,,,,,True,,,kur'er v Batumi
82,82,11-04-2020 10:33:19,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0309,18438,6850,619,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,83,11-04-2020 10:33:19,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,5 гр,0.0037,2213,822,74,30.0,,,,,,,,,True,,,Rabota na marki (kur'er)
84,84,11-04-2020 10:33:19,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0309,18438,6850,619,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
85,85,11-04-2020 10:33:19,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0585,1106273,411000,37128,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
86,86,11-04-2020 10:33:19,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.068,36876,13700,1238,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,87,11-04-2020 10:34:38,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,1 гр,0.0257,14087,5233,473,191.0,,,,,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
88,88,11-04-2020 10:34:38,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0195,10694,3973,359,145.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
89,89,11-04-2020 10:34:38,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.0491,26919,10001,903,365.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,90,11-04-2020 10:34:38,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.037000000000000005,20282,7535,681,275.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
