,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Nadzaladevi,Saburtalo,Varketili,Zahesi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
10,10,27-06-2020 04:23:47,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.0061,4079,1587,141,,True,59.0,,,,,,,,,,1 G Hybrid Marijuana Buds
11,11,27-06-2020 04:23:47,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,1,нет,Тбилиси,1 гр,0.0056,3802,1480,131,,True,55.0,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
12,12,27-06-2020 04:23:47,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,1 гр,0.0061,4079,1587,141,,True,59.0,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
13,13,27-06-2020 04:23:47,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,22,нет,Тбилиси,1 гр,0.0054,3664,1426,126,,,53.0,,,True,,,,,,,1G ---> Big Devil (BTC - Sale)
14,14,27-06-2020 04:23:47,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),,16,нет,Тбилиси,1 гр,0.0051,3456,1345,119,,True,50.0,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
15,15,27-06-2020 04:23:47,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,7,нет,Тбилиси,1 гр,0.0062,4148,1614,143,,,60.0,True,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
16,16,27-06-2020 04:23:47,Tbilisi,16a8841259,1г A Skunk,,7,нет,Тбилиси,1 гр,0.0051,3456,1345,119,,True,50.0,,,,,,,,,,1g A Skunk
17,17,27-06-2020 04:23:47,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,6,нет,Тбилиси,1 гр,0.0062,4148,1614,143,,True,60.0,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
18,18,27-06-2020 04:23:47,Tbilisi,ebadfc162f,The Best Weed In Your Life 1G 100%шишки!,,4,нет,Тбилиси,1 гр,0.0071,4770,1856,164,,,69.0,,,True,,,,,,,The Best Weed In Your Life 1G 100%shishki!
19,19,27-06-2020 04:23:47,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0051,3802,1480,131,,True,55.0,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
20,20,27-06-2020 04:23:47,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,2 гр,0.0102,6844,2663,236,,,99.0,,,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
21,21,27-06-2020 04:23:47,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,2,нет,Тбилиси,2 гр,0.0112,7535,2932,260,,True,109.0,,,,,,,,,,2 G Hybrid Marijuana Buds
22,22,27-06-2020 04:23:47,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0113,7604,2959,262,,,110.0,True,,True,,True,,,,,2 gr top buds white widow wishki THC 25% VHQ
23,23,27-06-2020 04:23:47,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,2 гр,0.0103,6913,2690,238,,,100.0,,,True,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
24,24,27-06-2020 04:23:47,Tbilisi,0dec0e1c48,2gr HYBRID buds,,2,нет,Тбилиси,2 гр,0.009000000000000001,6083,2367,210,,True,88.0,,,,,,,,,,2gr HYBRID buds
25,25,27-06-2020 04:23:47,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,True,1,нет,Тбилиси,2 гр,0.0108,7258,2825,250,,,105.0,,,,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
26,26,27-06-2020 04:23:47,Tbilisi,16a8841259,листя+бошки в трихомах 2г,,2,нет,Тбилиси,2 гр,0.0047,3456,1345,119,,True,50.0,,,,,,,,,,listja+boshki v trihomah 2g
27,27,27-06-2020 04:23:47,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5876,2287,203,,,85.0,,,True,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
28,28,27-06-2020 04:23:47,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,27,нет,Тбилиси,3 гр,0.0089,6014,2340,207,,True,87.0,,,,True,,,,,,3 gr georgian weed. Package on magnet
29,29,27-06-2020 04:23:47,Tbilisi,7bd1a5deba,5 + GRAMM NEW BEASTWEED,,1,нет,Тбилиси,5 гр,0.0098,7258,2825,250,,True,105.0,,,,,,,,,,5 + GRAMM NEW BEASTWEED
30,30,27-06-2020 04:23:47,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0224,16591,6456,572,,True,240.0,,,,,,,,,,5g. marihuana shishki Critical
31,31,27-06-2020 04:23:47,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,1,нет,Тбилиси,5 гр,0.0071,4770,1856,164,,True,69.0,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
32,32,27-06-2020 04:23:47,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,9,нет,Тбилиси,5 гр,0.0139,10300,4008,355,,True,149.0,,,,,,,,,,5g. GEO Marihuana boshki
33,33,27-06-2020 04:23:47,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,2,нет,Тбилиси,5 гр,0.1539,103693,40350,3576,,True,1500.0,,,,,,,,,,Cocaine Pure VHQ 5g.
34,34,27-06-2020 04:23:47,Tbilisi,54915c4374,марки н-боом 5шт.,,3,10,Тбилиси,5 гр,0.0067,4493,1749,155,,True,65.0,,,True,,,,,,,marki n-boom 5sht.
35,35,27-06-2020 04:23:47,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,9,нет,Тбилиси,10 гр,0.0245,16522,6429,570,,True,239.0,,,,,,,,,,10 gr georgian weed. Package on magnet
36,36,27-06-2020 04:25:56,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,23,нет,Тбилиси,10 гр,0.0134,8918,3470,308,,True,129.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
37,37,27-06-2020 04:25:56,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,3,нет,Тбилиси,10 гр,0.0448,31108,12105,1073,,True,450.0,,,,,,,,,,Gashish Evro 10gr
38,38,27-06-2020 04:25:56,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0168,12443,4842,429,,True,180.0,,,,,,,,,,11+ GRAMM BEASTWEED NEW
39,39,27-06-2020 04:25:57,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0467,34564,13450,1192,,True,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
40,40,27-06-2020 04:25:57,Tbilisi,ae784bef73,Silver haze leaves листья 15гр,,8,нет,Тбилиси,15 гр,0.0092,6222,2421,215,,True,90.0,,,,,,,,,,Silver haze leaves list'ja 15gr
41,41,27-06-2020 04:25:57,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0766,53713,20901,1852,,True,777.0,,,,,,,,,,Gashish Evro 20gr
42,42,27-06-2020 04:25:57,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2073,138257,53800,4768,,True,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
43,43,27-06-2020 04:25:57,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,3,Тбилиси,0.5 гр,0.0092,6222,2421,215,,True,90.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
44,44,27-06-2020 04:25:57,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,6,Тбилиси,1 гр,0.0046,3111,1211,107,,True,45.0,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
45,45,27-06-2020 04:25:57,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,9,Тбилиси,2 гр,0.0092,6222,2421,215,,True,90.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
46,46,27-06-2020 04:25:57,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,1,Тбилиси,2 гр,0.0218,14517,5649,501,,True,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
47,47,27-06-2020 04:25:57,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0383,25508,9926,880,,True,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
48,48,27-06-2020 04:25:57,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0086,5816,2261,201,75.0,True,,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
49,49,27-06-2020 04:25:57,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,8,Тбилиси,3 гр,0.0123,8295,3228,286,,True,120.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
50,50,27-06-2020 04:25:57,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0601,40025,15575,1380,,True,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
51,51,27-06-2020 04:25:57,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0411,27651,10760,954,,True,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
52,52,27-06-2020 04:25:57,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,9,Тбилиси,4 гр,0.0123,8295,3228,286,,True,120.0,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
53,53,27-06-2020 04:25:57,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0257,17282,6725,596,,True,250.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
54,54,27-06-2020 04:25:57,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0565,38021,14795,1311,,True,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
55,55,27-06-2020 04:25:57,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0277,18665,7263,644,,True,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
56,56,27-06-2020 04:25:57,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0288,19356,7532,668,,True,280.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
57,57,27-06-2020 04:25:57,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0283,19010,7398,656,,True,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
58,58,27-06-2020 04:25:57,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0247,16591,6456,572,,True,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
59,59,27-06-2020 04:25:57,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0288,19356,7532,668,,True,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
60,60,27-06-2020 04:25:57,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0277,18665,7263,644,,True,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
61,61,27-06-2020 04:25:57,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0205,15139,5891,522,,True,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
62,62,27-06-2020 04:25:57,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.018000000000000002,12097,4708,417,,True,175.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
63,63,27-06-2020 04:25:57,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0277,18665,7263,644,,True,270.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
64,64,27-06-2020 04:25:57,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1541,103693,40350,3576,,True,1500.0,,,,,,,,,,Gerojn (sirets) 5 gr
65,65,27-06-2020 04:25:57,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2567,190000,87429,6552,,True,,,,,,,,,,,reagent 25i nbome. 5gr
66,66,27-06-2020 04:25:57,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2802,207385,80700,7152,,,3000.0,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
67,67,27-06-2020 04:25:57,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.0995,66294,25797,2286,,True,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
68,68,27-06-2020 04:25:57,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0197,13134,5111,453,,True,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
69,69,27-06-2020 04:25:57,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0507,33804,13154,1166,,True,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
70,70,27-06-2020 04:25:57,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0925,62216,24210,2146,,True,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
71,71,27-06-2020 04:27:20,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0565,38021,14795,1311,,True,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
72,72,27-06-2020 04:27:20,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0719,48390,18830,1669,,True,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
73,73,27-06-2020 04:27:20,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0432,29034,11298,1001,,True,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
74,74,27-06-2020 04:27:20,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0822,55303,21520,1907,,True,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
75,75,27-06-2020 04:27:20,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0339,22812,8877,787,,True,330.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
76,76,27-06-2020 04:27:20,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2286,153811,59853,5304,,True,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
77,77,27-06-2020 04:27:20,Tbilisi,54915c4374,Марки н-боом 10 шт.,,нет,8,Тбилиси,10 гр,0.0103,6913,2690,238,,True,100.0,,,,,,,,,,Marki n-boom 10 sht.
78,78,27-06-2020 04:27:20,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.226,152082,59180,5245,,True,2200.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
79,79,27-06-2020 04:27:20,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1618,107771,41937,3717,,True,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
80,80,27-06-2020 04:27:20,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0383,25508,9926,880,,True,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
81,81,27-06-2020 04:27:20,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0453,30241,11759,1043,390.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
82,82,27-06-2020 04:27:20,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0622,41408,16113,1428,,True,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
83,83,27-06-2020 04:27:20,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2466,165908,64560,5721,,True,2400.0,,,,,,,,,,100 gr marijuana buds
84,84,27-06-2020 04:27:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2055,138257,53800,4768,,True,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
85,85,27-06-2020 04:27:20,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2568,172821,67250,5960,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
86,86,27-06-2020 04:27:20,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6062,407858,158710,14065,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
87,87,27-06-2020 04:27:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4726,317991,123740,10966,,True,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
88,88,27-06-2020 04:27:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7705,518463,201750,17879,,True,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
89,89,27-06-2020 04:27:20,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8733,587591,228650,20263,,True,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
90,90,27-06-2020 04:27:20,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0187,13826,5380,477,,True,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
91,91,27-06-2020 04:27:20,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0205,13826,5380,477,,True,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
92,92,27-06-2020 04:27:20,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0257,17282,6725,596,,True,250.0,,,,,,,,,,Rabota na marki (kur'er)
93,93,27-06-2020 04:27:20,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5551,1036926,403500,35759,,True,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
94,94,27-06-2020 04:29:33,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,1,нет,Батуми,0.25 гр,0.0125,8607,3347,297,111.0,,,,,,,,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
95,95,27-06-2020 04:29:33,Batumi,f8a875c191,METADON - 0.25 - SALE,,7,10,Батуми,0.25 гр,0.0259,17282,6725,596,,,250.0,,,,,,,,True,,METADON - 0.25 - SALE
96,96,27-06-2020 04:29:33,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1541,103693,40350,3576,,,1500.0,,,,,,,,True,,Gerojn (sirets) 5 gr
97,97,27-06-2020 04:29:33,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.226,152082,59180,5245,,,2200.0,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
98,98,27-06-2020 04:29:33,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1679,112990,51992,3897,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
99,99,27-06-2020 04:29:33,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2659,178900,82321,6170,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
100,100,27-06-2020 04:29:33,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6913,2690,238,,,100.0,,,,,,,,True,,kur'er v Batumi
101,101,27-06-2020 04:29:33,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0234,17282,6725,596,,,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
102,102,27-06-2020 04:29:33,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0234,17282,6725,596,,,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
103,103,27-06-2020 04:29:33,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,1 гр,0.0205,13826,5380,477,,,200.0,,,,,,,,True,,Kur'er Batumi na marihuanu
