,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vazisubani,Tbilisis Zgva,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
20,20,30-07-2020 06:21:44,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.008,7151,2757,239,99.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
21,21,30-07-2020 06:21:44,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.0241,19503,7520,653,270.0,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
22,22,30-07-2020 06:21:44,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,True,1,нет,Тбилиси,10 гр,0.0243,21598,8327,723,299.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
23,23,30-07-2020 06:21:44,Tbilisi,52fe6d0af9,VHQ Methadon 0.25G max 12 Hours for adrss,True,нет,1,Тбилиси,0.25 гр,0.025,20226,7798,677,280.0,,,,,,,,,,,,VHQ Methadon 0.25G max 12 Hours for adrss
24,24,30-07-2020 06:21:44,Tbilisi,52fe6d0af9,VHQ Methadon 0.5G max 12 Hours for adrss,True,нет,1,Тбилиси,0.5 гр,0.0491,39729,15318,1330,550.0,,,,,,,,,,,,VHQ Methadon 0.5G max 12 Hours for adrss
25,25,30-07-2020 06:21:44,Tbilisi,52fe6d0af9,VHQ Methadon 1G max 12 Hours for adrss,True,нет,1,Тбилиси,1 гр,0.0893,72235,27850,2418,1000.0,,,,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
26,26,30-07-2020 06:21:44,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.0328,26323,10122,881,,,,,,310.0,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
27,27,30-07-2020 06:21:44,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0357,28894,11140,967,400.0,,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,28,30-07-2020 06:21:44,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0223,18059,6963,605,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
29,29,30-07-2020 06:21:44,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0241,19503,7520,653,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
30,30,30-07-2020 06:21:44,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0246,19865,7659,665,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
31,31,30-07-2020 06:21:44,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0214,17336,6684,580,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
32,32,30-07-2020 06:21:44,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.025,20226,7798,677,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,33,30-07-2020 06:21:44,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0241,19503,7520,653,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,34,30-07-2020 06:21:44,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0178,15819,6099,530,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,35,30-07-2020 06:22:46,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,5,Тбилиси,5 гр,0.021,16975,6545,568,235.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
36,36,30-07-2020 06:22:46,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0195,17336,6684,580,240.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
37,37,30-07-2020 06:22:46,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0195,17336,6684,580,240.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
38,38,30-07-2020 06:22:46,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.021,16975,6545,568,235.0,,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
39,39,30-07-2020 06:22:46,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0241,19503,7520,653,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
40,40,30-07-2020 06:22:46,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2133,190000,87429,6358,,,,,,,,,,,,,reagent 25i nbome. 5gr
