,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
54,54,30-05-2020 22:04:28,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0635,42380,16203,1444,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,55,30-05-2020 22:04:28,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1364,91907,35138,3131,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
56,56,30-05-2020 22:04:28,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2625,176809,67598,6023,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
57,57,30-05-2020 22:04:28,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2521,169805,64920,5784,2400.0,,,,,,,,,,,100 gr marijuana buds
58,58,30-05-2020 22:04:28,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.21,141504,54100,4820,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,59,30-05-2020 22:04:28,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2626,176880,67625,6025,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,60,30-05-2020 22:04:28,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6196,417437,159595,14219,5900.0,,,,,,,,,,,180 gr marihuana persoalno
61,61,30-05-2020 22:04:28,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4831,325459,124430,11086,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
62,62,30-05-2020 22:04:28,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7877,530640,202875,18075,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
63,63,30-05-2020 22:04:28,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8927,601392,229925,20485,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,64,30-05-2020 22:04:28,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0191,14150,5410,482,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
65,65,30-05-2020 22:04:28,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.021,14150,5410,482,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
66,66,30-05-2020 22:04:28,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0263,17688,6763,603,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
67,67,30-05-2020 22:04:28,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5897,1061280,405750,36150,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
68,68,30-05-2020 22:05:50,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2311,155654,59510,5302,2200.0,,,,,,,True,,,,[100g] SPAIN HASH
69,69,30-05-2020 22:05:50,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,1,Батуми,0.5 гр,0.0089,6014,2299,205,85.0,,,,,,,True,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
