,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
13,13,08-02-2020 22:32:29,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,20,нет,Тбилиси,1 гр,0.004,2856,1112,98,45.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
14,14,08-02-2020 22:32:29,Tbilisi,21de5577be,1 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,4,нет,Тбилиси,1 гр,0.0046,2983,1161,102,47.0,,True,True,,,,,,,1 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
15,15,08-02-2020 22:32:29,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,12,нет,Тбилиси,1 гр,0.0119,7617,2964,261,120.0,,,,,,,,,,Apvp VHQ 1g 24/7
16,16,08-02-2020 22:32:29,Tbilisi,8219f5e7b8,Ketamine 1g,True,11,нет,Тбилиси,1 гр,0.01,6347,2470,218,100.0,,,,,,,,,,Ketamine 1g
17,17,08-02-2020 22:32:29,Tbilisi,366326d4d6,Ketamine 1g.,True,9,нет,Тбилиси,1 гр,0.0089,5649,2198,194,89.0,,,,,,,,,,Ketamine 1g.
18,18,08-02-2020 22:32:29,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0449,31736,12350,1088,500.0,,,,,,,,,,Metadon VHQ 1 24/7
19,19,08-02-2020 22:32:29,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0179,11361,4421,390,179.0,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
20,20,08-02-2020 22:32:29,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,6,нет,Тбилиси,1 гр,0.0126,8886,3458,305,140.0,,,,,,,,,,NZT-52 mind storm limited 1g muka
21,21,08-02-2020 22:32:29,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0142,9521,3705,326,150.0,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
22,22,08-02-2020 22:32:29,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0185,11996,4668,411,189.0,,,,,,,,,,Kokain HQ 1g.
23,23,08-02-2020 22:32:29,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0197,12631,4915,433,199.0,,True,,,,,,,,Kokain KOLUMBIA 1g
24,24,08-02-2020 22:32:29,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0445,28562,11115,979,450.0,,,,,,,,,,"Metadon, 1gr"
25,25,08-02-2020 22:32:29,Tbilisi,21de5577be,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,2,нет,Тбилиси,2 гр,0.0079,5078,1976,174,80.0,,,True,,,,,,,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
26,26,08-02-2020 22:32:29,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.0359,22850,8892,783,360.0,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
27,27,08-02-2020 22:32:29,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,2,нет,Тбилиси,2 гр,0.0373,24437,9510,838,385.0,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
28,28,08-02-2020 22:32:29,Tbilisi,8219f5e7b8,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.018000000000000002,11425,4446,392,180.0,,,,,,,,,,Ketamine 2 g
29,29,08-02-2020 22:32:29,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0216,15233,5928,522,240.0,,,,,,,,,,NZT-52 mind storm limited 2g muka
30,30,08-02-2020 22:32:29,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.035,24754,9633,849,390.0,,,,,,,,,,VHQ BEST Cocaine 2g.
31,31,08-02-2020 22:33:22,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.036000000000000004,24056,9361,825,379.0,,,,,,,,,,Kokain HQ 2g.
32,32,08-02-2020 22:33:22,Tbilisi,013e75d78f,C O C A i N E 2 g +0.2 g падарка. SALE SALE SALE !!! BiG SALE BTC -10 %%%%,True,1,нет,Тбилиси,2.2 гр,0.0359,25389,9880,870,400.0,,,,,,,,,,C O C A i N E 2 g +0.2 g padarka. SALE SALE SALE !!! BiG SALE BTC -10 %%%%
33,33,08-02-2020 22:33:22,Tbilisi,ad9cb826c6,"3 Grm Mdma , Purity A +++",True,2,нет,Тбилиси,3 гр,0.0198,13964,5434,479,220.0,,,,,,,,,,"3 Grm Mdma , Purity A +++"
34,34,08-02-2020 22:33:22,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0105,6665,2594,229,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
35,35,08-02-2020 22:33:22,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0306,21580,8398,740,340.0,,,,,,,,,,NZT-52 mind storm limited 3g muka
36,36,08-02-2020 22:33:22,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0875,61830,24065,2119,,,,,888.0,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
37,37,08-02-2020 22:33:22,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,2,нет,Тбилиси,5 гр,0.0125,8823,3433,303,139.0,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
38,38,08-02-2020 22:33:22,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,3,нет,Тбилиси,5 гр,0.015,9521,3705,326,150.0,,,,,,,,,,"LSD - 250 ug, 5 pieces"
39,39,08-02-2020 22:33:22,Tbilisi,c225d2f67d,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0199,13329,5187,457,210.0,,,,,,,,,,gashish evro 5g
40,40,08-02-2020 22:33:22,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0394,25325,9855,868,399.0,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
41,41,08-02-2020 22:33:22,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0379,25389,9880,870,400.0,,,,,,,,,,gashish evro 10g
42,42,08-02-2020 22:33:22,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,15,нет,Тбилиси,10 гр,0.009000000000000001,6347,2470,218,100.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
43,43,08-02-2020 22:33:22,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0913,116002,45149,3975,,,,,1666.0,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
44,44,08-02-2020 22:33:22,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0737,49318,19192,1691,777.0,,,,,,,,,,Gashish Evro 20gr
45,45,08-02-2020 22:33:22,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1521,193359,75257,6625,,,,,2777.0,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
46,46,08-02-2020 22:33:22,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,3,Тбилиси,0.27 гр,0.025,15868,6175,544,250.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
47,47,08-02-2020 22:33:22,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0349,22215,8645,762,350.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
48,48,08-02-2020 22:33:22,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0599,38083,14820,1306,600.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
49,49,08-02-2020 22:33:22,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0217,13964,5434,479,220.0,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
50,50,08-02-2020 22:33:22,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0395,25389,9880,870,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
51,51,08-02-2020 22:33:22,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0237,15233,5928,522,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
52,52,08-02-2020 22:33:22,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0247,15868,6175,544,250.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
53,53,08-02-2020 22:33:22,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1348,95208,37050,3264,1500.0,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
54,54,08-02-2020 22:33:22,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0247,15868,6175,544,250.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
55,55,08-02-2020 22:33:22,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0247,15868,6175,544,250.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
56,56,08-02-2020 22:33:22,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0197,12631,4915,433,199.0,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
57,57,08-02-2020 22:33:22,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0247,15868,6175,544,250.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
58,58,08-02-2020 22:33:22,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0197,13900,5409,477,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
59,59,08-02-2020 22:33:22,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0188,13266,5162,455,209.0,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
60,60,08-02-2020 22:33:22,Tbilisi,851e5b91a0,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0188,13266,5162,455,209.0,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
61,61,08-02-2020 22:33:22,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0188,13266,5162,455,209.0,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
62,62,08-02-2020 22:33:22,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0247,15868,6175,544,250.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
63,63,08-02-2020 22:33:22,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.018000000000000002,12694,4940,435,200.0,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
64,64,08-02-2020 22:35:05,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1982,140000,64421,4798,,,,,,,,,,,reagent 25i nbome. 5gr
65,65,08-02-2020 22:35:05,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2696,190416,74100,6529,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
66,66,08-02-2020 22:35:05,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0488,31038,12078,1064,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
67,67,08-02-2020 22:35:05,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.018000000000000002,11425,4446,392,180.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
68,68,08-02-2020 22:35:05,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0394,25325,9855,868,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
69,69,08-02-2020 22:35:05,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1797,126944,49400,4352,2000.0,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
70,70,08-02-2020 22:35:05,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0791,50778,19760,1741,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
71,71,08-02-2020 22:35:05,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0359,25325,9855,868,399.0,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
72,72,08-02-2020 22:35:05,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2199,141225,54958,4842,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
73,73,08-02-2020 22:35:05,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0807,51285,19958,1758,808.0,,,,,,,,,,💘✨10gram MDMA ✨💘
74,74,08-02-2020 22:35:05,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0299,18978,7385,651,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
75,75,08-02-2020 22:35:05,Tbilisi,84c8f0bee0,SALE 50%. Шишки 11гр (лсд феминиз),True,2,3,Тбилиси,11 гр,0.0148,9521,3705,326,150.0,,,,,,,,,,SALE 50%. Shishki 11gr (lsd feminiz)
76,76,08-02-2020 22:35:05,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0449,28562,11115,979,450.0,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
77,77,08-02-2020 22:35:05,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2965,209458,81510,7181,3300.0,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
78,78,08-02-2020 22:35:05,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0569,38083,14820,1306,600.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
79,79,08-02-2020 22:35:05,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1078,76166,29640,2611,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
80,80,08-02-2020 22:35:05,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0854,57125,22230,1959,900.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
81,81,08-02-2020 22:35:05,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0939,60298,23465,2067,950.0,,,,,,,,,,Hybrid Skunk! 50 gr
82,82,08-02-2020 22:35:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1977,126944,49400,4352,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
83,83,08-02-2020 22:35:05,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1779,114250,44460,3917,1800.0,,,,,,,,,,Hybrid Skunk! 100 gr
84,84,08-02-2020 22:35:05,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2471,158680,61750,5441,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
85,85,08-02-2020 22:35:05,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0386,27293,10621,936,430.0,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
86,86,08-02-2020 22:35:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4547,291971,113620,10011,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
87,87,08-02-2020 22:35:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7413,476040,185250,16322,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
88,88,08-02-2020 22:35:05,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8402,539512,209950,18498,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
89,89,08-02-2020 22:35:05,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.018000000000000002,12694,4940,435,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
90,90,08-02-2020 22:35:05,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.018000000000000002,12694,4940,435,200.0,,,,,,,,,,Trebuetsja Kur'er
91,91,08-02-2020 22:35:05,Tbilisi,16dfc5477e,Требуется сотрудник,True,1,нет,Тбилиси,1 гр,0.0198,12694,4940,435,200.0,,,,,,,,,,Trebuetsja sotrudnik
92,92,08-02-2020 22:35:05,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0198,12694,4940,435,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
93,93,08-02-2020 22:35:05,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0247,15868,6175,544,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
94,94,08-02-2020 22:35:05,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4962,952080,370500,32643,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
95,95,08-02-2020 22:36:52,Batumi,ea97036e14,Метамфетамин рацемат 2г (MQ),,2,нет,Батуми,2 гр,0.0085,5395,2100,185,85.0,,,,,,,True,,,Metamfetamin ratsemat 2g (MQ)
96,96,08-02-2020 22:36:52,Batumi,d50134d8a6,"Combo: bruce lee, wembley, speedi+ (3g)",,2,нет,Батуми,3 гр,0.0135,9521,3705,326,150.0,,,,,,,True,,,"Combo: bruce lee, wembley, speedi+ (3g)"
97,97,08-02-2020 22:36:52,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,1,10,Батуми,0.27 гр,0.0227,14408,5607,494,227.0,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
98,98,08-02-2020 22:36:52,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.018000000000000002,12694,4940,435,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
99,99,08-02-2020 22:36:52,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0939,60298,23465,2067,950.0,,,,,,,True,,,Hybrid Skunk! 50 gr
100,100,08-02-2020 22:36:52,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.17800000000000002,114250,44460,3917,1800.0,,,,,,,True,,,Hybrid Skunk! 100 gr
101,101,08-02-2020 22:36:52,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2996,190416,74100,6529,3000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
102,102,08-02-2020 22:36:52,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2496,158680,61750,5441,2500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
103,103,08-02-2020 22:36:52,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.01,6347,2470,218,100.0,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
104,104,08-02-2020 22:36:52,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0045,3174,1235,109,50.0,,,,,,,True,,,kur'er v Batumi
105,105,08-02-2020 22:36:52,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0045,3174,1235,109,50.0,,,,,,,True,,,Vakansija Kur'era v Batumi
