,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
47,16-08-2020 12:01:13,Tbilisi,OX85,amnesia420,2G 🔵🔵 BLUEBERRY (hybrid < indica),True,нет,1,Тбилиси,2 гр,0.0084,7322,2760,246,100,,,,,,,,,,,,2G 🔵🔵 BLUEBERRY (hybrid < indica)
48,16-08-2020 12:01:13,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0211,18304,6900,614,250,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
49,16-08-2020 12:01:13,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,5,Тбилиси,5 гр,0.0228,19768,7452,663,270,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
50,16-08-2020 12:01:13,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0232,20134,7590,676,275,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
51,16-08-2020 12:01:13,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0202,17572,6624,590,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
52,16-08-2020 12:01:13,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0236,20500,7728,688,280,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
53,16-08-2020 12:01:13,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0228,19768,7452,663,270,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
54,16-08-2020 12:01:13,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0168,16034,6044,538,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
55,16-08-2020 12:01:13,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0184,17572,6624,590,240,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
56,16-08-2020 12:01:13,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0211,18304,6900,614,250,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
57,16-08-2020 12:01:13,Tbilisi,6P9R,RickNMorty,Subotex From France B8 VHQ 5pc,True,нет,1,Тбилиси,5 гр,0.0911,79073,29808,2653,1080,,,,,,,,,,,,Subotex From France B8 VHQ 5pc
58,16-08-2020 12:01:13,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1989,190000,87429,6381,,,,,,,,,,,,,reagent 25i nbome. 5gr
59,16-08-2020 12:01:13,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.23,219647,82800,7369,3000,,,,True,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
60,16-08-2020 12:01:13,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0464,40269,15180,1351,550,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
61,16-08-2020 12:01:13,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,1,Тбилиси,10 гр,0.059,51251,19320,1719,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
