,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Didube,Gldani,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
57,57,09-05-2020 05:36:25,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,5,Тбилиси,8 гр,0.008,5910,2169,195,80.0,,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
58,58,09-05-2020 05:36:25,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0902,66485,24399,2197,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
59,59,09-05-2020 05:36:25,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0401,29549,10844,977,400.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
60,60,09-05-2020 05:36:25,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0702,51711,18977,1709,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
61,61,09-05-2020 05:36:25,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0421,31026,11386,1025,420.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
62,62,09-05-2020 05:36:25,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.01,7387,2711,244,100.0,,,,,,,,,,,,,10G Hybrid Marijuana Leafs
63,63,09-05-2020 05:36:25,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0802,59098,21688,1953,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
64,64,09-05-2020 05:36:25,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0291,21423,7862,708,290.0,,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
65,65,09-05-2020 05:36:25,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.223,164366,60320,5432,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
66,66,09-05-2020 05:36:25,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1578,115167,42264,3806,1559.0,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,67,09-05-2020 05:36:25,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0374,27259,10004,901,369.0,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,68,09-05-2020 05:36:25,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5062,369363,135550,12208,5000.0,,,,,,,,,,,,,METADON - 20 G.
69,69,09-05-2020 05:36:49,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0606,44250,16239,1462,599.0,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,70,09-05-2020 05:36:49,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1103,81260,29821,2686,1100.0,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
71,71,09-05-2020 05:36:49,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2406,177294,65064,5860,2400.0,,,,,,,,,,,,,100 gr marijuana buds
72,72,09-05-2020 05:36:49,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2005,147745,54220,4883,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
73,73,09-05-2020 05:36:49,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2506,184681,67775,6104,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,74,09-05-2020 05:36:49,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5914,435848,159949,14405,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
75,75,09-05-2020 05:36:49,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4611,339814,124706,11231,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
76,76,09-05-2020 05:36:49,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7518,554044,203325,18311,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
77,77,09-05-2020 05:36:49,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8521,627916,230435,20753,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
78,78,09-05-2020 05:36:49,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0182,14775,5422,488,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
79,79,09-05-2020 05:36:49,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.02,14775,5422,488,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
80,80,09-05-2020 05:36:49,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0251,18468,6778,610,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
81,81,09-05-2020 05:36:49,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.02,14775,5422,488,200.0,,,,,,,,,,,,,Rabota na marki (kur'er)
82,82,09-05-2020 05:36:49,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5173,1108088,406650,36623,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
83,83,09-05-2020 05:37:55,Batumi,c30e679930,BatumiBiz - Марихуана Бошки [2 gram],,2,нет,Батуми,2 гр,0.0044,3546,1301,117,48.0,,,,,,,,,True,,,,BatumiBiz - Marihuana Boshki [2 gram]
84,84,09-05-2020 05:37:55,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0036,2640,969,87,,,,,,,,,,True,33.0,,,Batumi n-booom 2 shtuki
85,85,09-05-2020 05:37:55,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2205,162520,59642,5371,2200.0,,,,,,,,,,,True,,[100g] SPAIN HASH
86,86,09-05-2020 05:37:55,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.008,5910,2169,195,80.0,,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
87,87,09-05-2020 05:37:55,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1533,112990,51992,3734,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
88,88,09-05-2020 05:37:55,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2428,178900,82321,5912,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
89,89,09-05-2020 05:37:55,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0091,7387,2711,244,100.0,,,,,,,,,,,True,,kur'er v Batumi
90,90,09-05-2020 05:37:55,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0228,18468,6778,610,250.0,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
91,91,09-05-2020 05:37:55,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0228,18468,6778,610,250.0,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
92,92,09-05-2020 05:37:55,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5173,1108088,406650,36623,15000.0,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
93,93,09-05-2020 05:37:55,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0501,36936,13555,1221,500.0,,,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
94,94,09-05-2020 05:39:30,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,2,нет,Кутаиси,1.5 гр,0.0185,13666,5015,452,185.0,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
95,95,09-05-2020 05:39:30,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,7,нет,Кутаиси,2 гр,0.0486,35828,13148,1184,485.0,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
96,96,09-05-2020 05:39:30,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,9,нет,Кутаиси,3 гр,0.0331,24378,8946,806,330.0,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
97,97,09-05-2020 05:39:30,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.02,14775,5422,488,200.0,,,,,,,,,,,,True,Rabota na marki (kur'er)
