,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Didube,Varketili,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
36,22-02-2020 12:20:09,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.0164,10931,4167,376,170,,,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
37,22-02-2020 12:20:09,Tbilisi,X4ZM,ZYX,Гашиш Double-Twesla ! 1g ! VHQ ! TOP ! NEW !,True,2,нет,Тбилиси,1 гр,0.0075,4823,1838,166,75,,,,,,,,,,,,,Gashish Double-Twesla ! 1g ! VHQ ! TOP ! NEW !
38,22-02-2020 12:20:09,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0188,12153,4632,418,189,,,,,,,,,,,,,Kokain HQ 1g.
39,22-02-2020 12:20:09,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.018,11510,4387,396,179,,,,,,True,,,,,,,Kokain KOLUMBIA 1g
40,22-02-2020 12:20:09,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0411,28935,11030,995,450,,,,,,,,,,,,,Metadon 1gr
41,22-02-2020 12:20:09,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,3,нет,Тбилиси,1 гр,0.0402,25720,9804,885,400,,,,,,,,,,,,,"Metadon, 1gr"
42,22-02-2020 12:20:09,Tbilisi,9VLN,AlienShop,❄1g. New COCAINE!!❄,True,2,нет,Тбилиси,1 гр,0.0183,11574,4412,398,180,,,,,,,,,,,,,❄1g. New COCAINE!!❄
43,22-02-2020 12:20:09,Tbilisi,X4ZM,ZYX,MDMA 0.8g + ketamine 0.3g ! VHQ,True,1,нет,Тбилиси,1.1 гр,0.014,8938,3407,307,139,,,,,,,,,,,,,MDMA 0.8g + ketamine 0.3g ! VHQ
44,22-02-2020 12:20:09,Tbilisi,03F3,geoshop,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.012,7716,2941,265,120,,,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
45,22-02-2020 12:20:09,Tbilisi,JVZTQ,partyshop,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0236,15111,5760,520,235,,,,,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
