,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Gldani,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
19,19,05-06-2020 18:57:55,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.1157,80299,31356,2805,,True,1170.0,,,,,,,,,,VHQ BEST Cocaine 5g.
20,20,05-06-2020 18:57:55,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,6,нет,Тбилиси,10 гр,0.0264,17776,6941,621,,True,259.0,,,,,,,,,,10 gr georgian weed. Package on magnet
21,21,05-06-2020 18:57:55,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,,4,нет,Тбилиси,10 гр,0.0102,6863,2680,240,,,100.0,,,True,,,,,,,10 gr marihuana list'ja top gibrid
22,22,05-06-2020 18:57:55,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,,6,нет,Тбилиси,10 гр,0.0015,1029,402,36,,True,15.0,,,,,,,,,,GABAGAMA 10 shtuk
23,23,05-06-2020 18:57:55,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",,7,нет,Тбилиси,10 гр,0.0088,6520,2546,228,,True,95.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
24,24,05-06-2020 18:57:55,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0464,34316,13400,1199,,True,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
25,25,05-06-2020 18:57:55,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,1,нет,Тбилиси,20 гр,0.0033,2471,965,86,,True,36.0,,,,,,,,,,GABAGAMA 20 SHTUK
26,26,05-06-2020 18:57:55,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2059,137264,53600,4795,,True,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,27,05-06-2020 18:57:55,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,,нет,8,Тбилиси,0.25 гр,0.0041,2745,1072,96,,True,40.0,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
28,28,05-06-2020 18:57:55,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0216,14413,5628,504,,True,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
29,29,05-06-2020 18:57:55,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.038,25325,9889,885,,True,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,30,05-06-2020 18:57:55,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0597,39738,15517,1388,,True,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
31,31,05-06-2020 18:57:55,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0408,27453,10720,959,,True,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,32,05-06-2020 18:57:55,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,2,Тбилиси,4 гр,0.0143,9608,3752,336,,,140.0,,,,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
33,33,05-06-2020 18:57:55,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0714,48042,18760,1678,,True,700.0,,,,,,,,,,"""Kief"" Weed trichomes 5G"
34,34,05-06-2020 18:59:10,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,8,Тбилиси,5 гр,0.024,16129,6298,563,,True,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,35,05-06-2020 18:59:10,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0245,16472,6432,575,,True,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,36,05-06-2020 18:59:10,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0235,15785,6164,551,,True,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,37,05-06-2020 18:59:10,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0245,16472,6432,575,,True,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
38,38,05-06-2020 18:59:10,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0245,16472,6432,575,,True,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
39,39,05-06-2020 18:59:10,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0235,15785,6164,551,,True,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
40,40,05-06-2020 18:59:10,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0204,15030,5869,525,,True,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
41,41,05-06-2020 18:59:10,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0258,17158,6700,599,,True,250.0,,,,,,,,,,MARIXYANA - INDICA - 5 G.
42,42,05-06-2020 18:59:10,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.024,16129,6298,563,,True,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,43,05-06-2020 18:59:10,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2573,190000,87429,6601,,True,,,,,,,,,,,reagent 25i nbome. 5gr
44,44,05-06-2020 18:59:10,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2788,205896,80400,7193,,,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
45,45,05-06-2020 18:59:10,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.099,65818,25701,2299,,True,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
46,46,05-06-2020 18:59:10,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0196,13040,5092,456,,True,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
47,47,05-06-2020 18:59:10,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0505,33561,13105,1172,,True,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
48,48,05-06-2020 18:59:10,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0206,13726,5360,480,,True,200.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
49,49,05-06-2020 18:59:10,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.092,61769,24120,2158,,True,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,50,05-06-2020 18:59:10,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0409,27453,10720,959,,True,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,51,05-06-2020 18:59:10,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0716,48042,18760,1678,,True,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,52,05-06-2020 18:59:10,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0429,28825,11256,1007,,True,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,05-06-2020 18:59:10,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0818,54906,21440,1918,,True,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,54,05-06-2020 18:59:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.0273,18325,7156,640,,True,267.0,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
55,55,05-06-2020 18:59:10,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2274,152706,59630,5335,,True,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
56,56,05-06-2020 18:59:10,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.161,106997,41781,3738,,True,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
57,57,05-06-2020 18:59:10,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0834,55455,21654,1937,,True,808.0,,,,,,,,,,💘✨10gram MDMA ✨💘
58,58,05-06-2020 18:59:10,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0381,25325,9889,885,,True,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
59,59,05-06-2020 18:59:10,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.036000000000000004,24021,9380,839,,True,350.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
60,60,05-06-2020 18:59:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.0521,35002,13668,1223,,True,510.0,,,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
61,61,05-06-2020 18:59:10,Tbilisi,f8a875c191,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.5162,343160,134000,11989,,True,5000.0,,,,,,,,,,METADON - 20 G.
62,62,05-06-2020 18:59:10,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1394,102948,40200,3597,,True,1500.0,,,,,,,,,,✨💘20g MDMA💘✨
63,63,05-06-2020 18:59:10,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0618,41111,16053,1436,,True,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
64,64,05-06-2020 18:59:10,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1328,89153,34813,3115,,True,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
65,65,05-06-2020 18:59:10,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2555,171511,66973,5992,,True,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
66,66,05-06-2020 18:59:10,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2453,164717,64320,5754,,True,2400.0,,,,,,,,,,100 gr marijuana buds
67,67,05-06-2020 18:59:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2044,137264,53600,4795,,True,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,05-06-2020 18:59:10,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2556,171580,67000,5994,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,05-06-2020 18:59:47,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2552,171580,67000,5994,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,70,05-06-2020 18:59:47,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6022,404928,158120,14146,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
71,71,05-06-2020 18:59:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4695,315707,123280,11029,,True,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,72,05-06-2020 18:59:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7656,514739,201000,17983,,True,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,73,05-06-2020 18:59:47,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8676,583371,227800,20380,,True,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,05-06-2020 18:59:47,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0186,13726,5360,480,,True,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
75,75,05-06-2020 18:59:47,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0204,13726,5360,480,,True,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,76,05-06-2020 18:59:47,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0255,17158,6700,599,,True,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,05-06-2020 18:59:47,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.545,1029479,402000,35966,,True,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
78,78,05-06-2020 19:02:14,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0421,28825,11256,1007,,,420.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
79,79,05-06-2020 19:02:14,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5162,343160,134000,11989,,,5000.0,,,,,,,True,,,METADON - 20 G.
80,80,05-06-2020 19:02:14,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1683,112990,51992,3925,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
81,81,05-06-2020 19:02:14,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2665,178900,82321,6215,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
82,82,05-06-2020 19:02:14,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6863,2680,240,,,100.0,,,,,,,True,,,kur'er v Batumi
83,83,05-06-2020 19:02:14,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,17158,6700,599,,,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
84,84,05-06-2020 19:02:14,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,17158,6700,599,,,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
85,85,05-06-2020 19:02:14,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0204,13726,5360,480,,,200.0,,,,,,,True,,,Kur'er Batumi na marihuanu
86,86,05-06-2020 19:02:14,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.028999999999999998,19491,7588,672,250.0,,,,,,,,,True,,,Rabota na marki (kur'er)
87,87,05-06-2020 19:02:14,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5473,1029479,402000,35966,,,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
88,88,05-06-2020 19:02:14,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0511,34316,13400,1199,,,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,89,05-06-2020 19:04:25,Kutaisi,be97026d1d,Cocaine 2g !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,2 гр,0.0291,19972,7799,698,,,291.0,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
90,90,05-06-2020 19:04:25,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.028999999999999998,19491,7588,672,250.0,,,,,,,,,,,True,Rabota na marki (kur'er)
