,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
45,45,05-03-2020 08:11:49,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0203,12555,4739,424,190.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
46,46,05-03-2020 08:11:49,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,16,Тбилиси,5 гр,0.0194,13216,4988,446,200.0,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
47,47,05-03-2020 08:11:49,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2796,190000,87429,6424,,,,,,,,,,reagent 25i nbome. 5gr
48,48,05-03-2020 08:11:49,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2917,198235,74820,6693,3000.0,,,True,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,05-03-2020 08:11:49,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0928,56761,21423,1917,859.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
50,50,05-03-2020 08:11:49,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.02,12225,4614,413,185.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
51,51,05-03-2020 08:11:49,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0528,32312,12196,1091,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
52,52,05-03-2020 08:11:49,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0355,21740,8205,734,329.0,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
53,53,05-03-2020 08:11:49,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0194,11894,4489,402,180.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
54,54,05-03-2020 08:11:49,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0963,59471,22446,2008,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
55,55,05-03-2020 08:11:49,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0749,46255,17458,1562,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,05-03-2020 08:11:49,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0427,26365,9951,890,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,05-03-2020 08:11:49,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0378,23127,8729,781,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
58,58,05-03-2020 08:11:49,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0856,52863,19952,1785,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,59,05-03-2020 08:11:49,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.23800000000000002,147024,55492,4964,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,05-03-2020 08:11:49,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1565,95748,36138,3233,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
61,61,05-03-2020 08:11:49,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0399,24383,9203,823,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,62,05-03-2020 08:11:49,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0323,19757,7457,667,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
63,63,05-03-2020 08:11:49,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0756,46255,17458,1562,700.0,,,,,,,,,20x Extasy Duracell 223mg MDMA.
64,64,05-03-2020 08:11:49,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0647,39581,14939,1336,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,65,05-03-2020 08:11:49,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0718,46255,17458,1562,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
66,66,05-03-2020 08:11:49,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1167,79294,29928,2677,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
67,67,05-03-2020 08:11:49,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1025,66012,24915,2229,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
68,68,05-03-2020 08:11:49,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2139,132157,49880,4462,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
69,69,05-03-2020 08:11:49,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2161,132157,49880,4462,2000.0,,,,,,,,,SUBOXIN - HQ - 100 G.
70,70,05-03-2020 08:11:49,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2674,165196,62350,5578,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,05-03-2020 08:12:35,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1627,99118,37410,3347,1500.0,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
