,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Nadzaladevi,Авлобари,Кутаиси,desc_en
46,46,03-03-2020 20:07:54,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0543,32491,12225,1093,489.0,,,,,,,,💘✨5g. MDMA ✨💘
47,47,03-03-2020 20:07:54,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0365,21860,8225,735,329.0,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
48,48,03-03-2020 20:07:54,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.02,11960,4500,402,180.0,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
49,49,03-03-2020 20:07:54,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0989,59799,22500,2011,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,50,03-03-2020 20:07:54,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0769,46511,17500,1564,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,51,03-03-2020 20:07:54,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0438,26511,9975,891,399.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,52,03-03-2020 20:07:54,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0388,23255,8750,782,350.0,,,,,,,,10x Extasy Duracell 223mg MDMA.
53,53,03-03-2020 20:07:54,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0879,53155,20000,1787,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,54,03-03-2020 20:07:54,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2445,147837,55625,4971,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
55,55,03-03-2020 20:07:54,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1608,96277,36225,3237,1449.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
