,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,€,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
35,35,20-03-2020 07:33:23,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0494,26051,9295,826,325.0,,True,,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
36,36,20-03-2020 07:33:23,Tbilisi,edfbad0151,THC Snow Leavs 6G,,5,нет,Тбилиси,6 гр,0.0068,3607,1287,114,45.0,True,,,,,,,,,,THC Snow Leavs 6G
37,37,20-03-2020 07:33:23,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0555,29257,10439,928,365.0,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
38,38,20-03-2020 07:33:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0406,21402,7636,679,267.0,True,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
39,39,20-03-2020 07:33:23,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.0137,7936,2831,252,99.0,True,,,,True,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
40,40,20-03-2020 07:33:23,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0583,32063,11440,1017,400.0,True,,,,,,,,,,gashish evro 10g
41,41,20-03-2020 07:33:23,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.0965,50900,18161,1614,635.0,,True,,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
42,42,20-03-2020 07:33:23,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2763,160314,57200,5083,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
43,43,20-03-2020 07:33:23,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,10,10,Тбилиси,0.27 гр,0.0384,20039,7150,635,250.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
44,44,20-03-2020 07:33:23,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),,14,5,Тбилиси,0.27 гр,0.0384,20039,7150,635,250.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
45,45,20-03-2020 07:33:23,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,2,3,Тбилиси,1.1 гр,0.1074,56110,20020,1779,700.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
46,46,20-03-2020 07:33:23,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,,нет,1,Тбилиси,1.4 гр,0.1064,56110,20020,1779,700.0,True,,,,,,,,,,Methadone HQ in city 1.4g
47,47,20-03-2020 07:33:23,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0905,47293,16874,1499,590.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
48,48,20-03-2020 07:33:23,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0608,32063,11440,1017,400.0,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
49,49,20-03-2020 07:33:23,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0836,44086,15730,1398,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
50,50,20-03-2020 07:33:23,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,3,Тбилиси,5 гр,0.0237,12505,4462,396,156.0,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
51,51,20-03-2020 07:33:23,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,10,Тбилиси,5 гр,0.0302,15951,5691,506,199.0,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
52,52,20-03-2020 07:33:23,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0243,12825,4576,407,160.0,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
53,53,20-03-2020 07:33:23,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0302,15951,5691,506,199.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
54,54,20-03-2020 07:33:23,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",,нет,1,Тбилиси,5 гр,0.0302,15951,5691,506,199.0,True,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
55,55,20-03-2020 07:33:23,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.022000000000000002,11623,4147,369,145.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
56,56,20-03-2020 07:33:23,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0303,17554,6263,557,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
57,57,20-03-2020 07:33:23,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.046,24047,8580,762,300.0,True,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
58,58,20-03-2020 07:33:23,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,8,Тбилиси,5 гр,0.0228,12024,4290,381,150.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
59,59,20-03-2020 07:33:23,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Тбилиси,5 гр,0.0276,16031,5720,508,200.0,True,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
60,60,20-03-2020 07:33:23,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3274,190000,87429,6043,,True,,,,,,,,,,reagent 25i nbome. 5gr
61,61,20-03-2020 07:33:23,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4144,240471,85800,7624,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
62,62,20-03-2020 07:33:23,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,3,Тбилиси,5 гр,0.1318,68855,24567,2183,859.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
63,63,20-03-2020 07:33:23,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,3,Тбилиси,5 гр,0.0284,14829,5291,470,185.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
64,64,20-03-2020 07:33:23,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.075,39197,13985,1243,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
65,65,20-03-2020 07:33:23,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,,нет,5,Тбилиси,5 гр,0.0505,26372,9409,836,329.0,True,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
66,66,20-03-2020 07:34:26,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,8,Тбилиси,5 гр,0.0276,14428,5148,457,180.0,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
67,67,20-03-2020 07:34:26,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1367,72141,25740,2287,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
68,68,20-03-2020 07:34:26,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1064,56110,20020,1779,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
69,69,20-03-2020 07:34:26,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,7,Тбилиси,10 гр,0.0486,25650,9152,813,320.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
70,70,20-03-2020 07:34:26,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.0537,28055,10010,889,350.0,True,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
71,71,20-03-2020 07:34:26,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1216,64126,22880,2033,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,72,20-03-2020 07:34:26,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3381,178349,63635,5655,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
73,73,20-03-2020 07:34:26,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2224,116148,41441,3682,1449.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,74,20-03-2020 07:34:26,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0566,29578,10553,938,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,75,20-03-2020 07:34:26,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0459,23967,8551,760,299.0,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
76,76,20-03-2020 07:34:26,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0919,48014,17131,1522,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,77,20-03-2020 07:34:26,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1658,96188,34320,3050,1200.0,True,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
78,78,20-03-2020 07:34:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.3039,160314,57200,5083,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,79,20-03-2020 07:34:26,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.3069,160314,57200,5083,2000.0,True,,,,,,,,,,SUBOXIN - HQ - 100 G.
80,80,20-03-2020 07:34:26,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3799,200393,71500,6354,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,81,20-03-2020 07:34:26,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2302,120236,42900,3812,1500.0,True,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
82,82,20-03-2020 07:34:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6989,368722,131560,11690,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
83,83,20-03-2020 07:34:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.1396,601178,214500,19061,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
84,84,20-03-2020 07:34:26,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2915,681335,243100,21602,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
85,85,20-03-2020 07:34:26,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0276,16031,5720,508,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
86,86,20-03-2020 07:34:26,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,10 гр,0.0207,12024,4290,381,150.0,True,,,,,,,,,,Rabota na marki (kur'er)
87,87,20-03-2020 07:34:26,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0304,16031,5720,508,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
88,88,20-03-2020 07:34:26,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.038,20039,7150,635,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
89,89,20-03-2020 07:34:26,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.2998,1202355,429000,38121,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
90,90,20-03-2020 07:35:23,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,26,нет,Батуми,1 гр,0.0263,15230,5434,483,190.0,,,,,,,,True,,,NZT-52 limited 1 g muka
91,91,20-03-2020 07:35:23,Batumi,c72111ac1a,NZT-52 limited 2г мука,,12,нет,Батуми,2 гр,0.047,27253,9724,864,340.0,,,,,,,,True,,,NZT-52 limited 2g muka
92,92,20-03-2020 07:35:23,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3347,176345,62920,5591,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
93,93,20-03-2020 07:35:23,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0277,16031,5720,508,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
94,94,20-03-2020 07:35:23,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3073,160314,57200,5083,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
95,95,20-03-2020 07:35:23,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2305,120236,42900,3812,1500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
96,96,20-03-2020 07:35:23,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0138,8016,2860,254,100.0,,,,,,,,True,,,kur'er v Batumi
97,97,20-03-2020 07:35:23,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0346,20039,7150,635,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
98,98,20-03-2020 07:35:23,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0207,12024,4290,381,150.0,,,,,,,,True,,,Rabota na marki (kur'er)
99,99,20-03-2020 07:35:23,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0346,20039,7150,635,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
100,100,20-03-2020 07:35:23,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.3026,1202355,429000,38121,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
101,101,20-03-2020 07:35:23,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0761,40079,14300,1271,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
102,102,20-03-2020 07:37:07,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! КУТАИСИ!!!,,10,нет,Кутаиси,1 гр,0.0309,16432,5863,521,205.0,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! KUTAISI!!!
103,103,20-03-2020 07:37:07,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! КУТАИСИ!!!,,8,нет,Кутаиси,1.5 гр,0.027000000000000003,14348,5119,455,179.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! KUTAISI!!!
104,104,20-03-2020 07:37:07,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! КУТАИСИ!!!,,11,нет,Кутаиси,2 гр,0.0586,31181,11125,989,389.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! KUTAISI!!!
