,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
70,12-02-2020 15:04:02,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0189,13807,5396,480,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
71,12-02-2020 15:04:02,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.018,13177,5150,458,209,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
72,12-02-2020 15:04:02,Tbilisi,V4QM9,PotHero420,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.018,13177,5150,458,209,,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
73,12-02-2020 15:04:02,Tbilisi,V4QM9,PotHero420,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.018,13177,5150,458,209,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
74,12-02-2020 15:04:02,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0237,15762,6160,548,250,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
75,12-02-2020 15:04:02,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0172,12609,4928,438,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
76,12-02-2020 15:04:02,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1914,140000,64421,4800,,,,,,,,,,,,reagent 25i nbome. 5gr
77,12-02-2020 15:04:02,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2586,189141,73920,6577,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
78,12-02-2020 15:04:02,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0468,30830,12049,1072,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
79,12-02-2020 15:04:02,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,1,Тбилиси,5 гр,0.0172,11348,4435,395,180,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
80,12-02-2020 15:04:02,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0378,25156,9831,875,399,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
81,12-02-2020 15:04:02,Tbilisi,7B8EQ,w1ld1nd1an,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1724,126094,49280,4385,2000,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
82,12-02-2020 15:04:02,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0759,50438,19712,1754,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
83,12-02-2020 15:04:02,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0344,25156,9831,875,399,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
84,12-02-2020 15:04:02,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.211,140280,54824,4878,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
85,12-02-2020 15:04:02,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0774,50942,19909,1771,808,,,,,,,,,,,💘✨10gram MDMA ✨💘
86,12-02-2020 15:04:02,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0286,18851,7367,656,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
87,12-02-2020 15:04:02,Tbilisi,V8EPD,GREENWEED,SALE 50%. Шишки 11гр (лсд феминиз),True,1,2,Тбилиси,11 гр,0.0142,9457,3696,329,150,,,,,,,,,,,SALE 50%. Shishki 11gr (lsd feminiz)
88,12-02-2020 15:04:02,Tbilisi,NVOG,ProperMgzn,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0431,28371,11088,987,450,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
89,12-02-2020 15:04:02,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2845,208055,81312,7235,3300,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
90,12-02-2020 15:04:02,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0546,37828,14784,1315,600,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
91,12-02-2020 15:04:02,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1035,75656,29568,2631,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
92,12-02-2020 15:04:02,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0819,56742,22176,1973,900,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
93,12-02-2020 15:04:02,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0901,59895,23408,2083,950,,,,,,,,,,,Hybrid Skunk! 50 gr
94,12-02-2020 15:04:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1897,126094,49280,4385,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
95,12-02-2020 15:04:02,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1707,113485,44352,3946,1800,,,,,,,,,,,Hybrid Skunk! 100 gr
96,12-02-2020 15:04:02,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2371,157618,61600,5481,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
97,12-02-2020 15:04:02,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0371,27110,10595,943,430,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
98,12-02-2020 15:04:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4362,290016,113344,10085,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
99,12-02-2020 15:04:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7113,472853,184800,16443,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
