,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
22,22,15-05-2020 14:24:09,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0101,2610,238,7191,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
23,23,15-05-2020 14:24:09,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,8,Тбилиси,0.5 гр,0.0078,2014,184,5545,75.0,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
24,24,15-05-2020 14:24:09,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0166,4296,392,11829,160.0,,,,,,,,"""Kief"" Weed trichomes 1G"
25,25,15-05-2020 14:24:09,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0387,9908,905,27280,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
26,26,15-05-2020 14:24:09,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0608,15546,1419,42805,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,27,15-05-2020 14:24:09,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0416,10740,980,29572,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,28,15-05-2020 14:24:09,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0146,3759,343,10350,140.0,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
29,29,15-05-2020 14:24:09,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0572,14768,1348,40661,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,30,15-05-2020 14:24:09,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0244,6310,576,17374,235.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,31,15-05-2020 14:24:09,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0249,6444,588,17743,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,32,15-05-2020 14:24:09,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0239,6176,564,17004,230.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,33,15-05-2020 14:24:09,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0165,4269,390,11755,159.0,,,,,,,,5 gr Shishki “OG KUSH VHQ”
34,34,15-05-2020 14:24:50,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0165,4269,390,11755,159.0,,,,,,,,5 gr Shishki “OG KUSH VHQ”
35,35,15-05-2020 14:24:50,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0249,6444,588,17743,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
36,36,15-05-2020 14:24:50,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0249,6444,588,17743,240.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
37,37,15-05-2020 14:24:50,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0238,6176,564,17004,230.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,38,15-05-2020 14:24:50,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0206,5880,537,16191,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,39,15-05-2020 14:24:50,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0243,6310,576,17374,235.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
40,40,15-05-2020 14:24:50,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0166,4296,392,11829,160.0,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
41,41,15-05-2020 14:24:50,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2419,87429,6307,190000,,,,,,,,,reagent 25i nbome. 5gr
42,42,15-05-2020 14:24:50,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2824,80550,7354,221789,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
43,43,15-05-2020 14:24:50,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1003,25749,2351,70899,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
44,44,15-05-2020 14:24:50,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,4,Тбилиси,5 гр,0.0199,5102,466,14047,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
45,45,15-05-2020 14:24:50,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0511,13130,1199,36152,489.0,,,,,,,,💘✨5g. MDMA ✨💘
46,46,15-05-2020 14:24:50,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0198,5075,463,13973,189.0,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
47,47,15-05-2020 14:24:50,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0932,24165,2206,66537,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
48,48,15-05-2020 14:24:50,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0414,10740,980,29572,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
49,49,15-05-2020 14:24:50,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0725,18795,1716,51751,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,50,15-05-2020 14:24:50,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0435,11277,1030,31051,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,51,15-05-2020 14:24:50,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0104,2685,245,7393,100.0,,,,,,,,10G Hybrid Marijuana Leafs
52,52,15-05-2020 14:24:50,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0828,21480,1961,59144,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,53,15-05-2020 14:24:50,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.03,7787,711,21440,290.0,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
54,54,15-05-2020 14:24:50,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2304,59741,5454,164494,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
55,55,15-05-2020 14:24:50,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1631,41859,3821,115257,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,56,15-05-2020 14:24:50,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0386,9908,905,27280,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,57,15-05-2020 14:24:50,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5229,134250,12256,369649,5000.0,,,,,,,,METADON - 20 G.
58,58,15-05-2020 14:24:50,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0626,16083,1468,44284,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,15-05-2020 14:24:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1139,29535,2696,81323,1100.0,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
60,60,15-05-2020 14:24:50,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2485,64440,5883,177432,2400.0,,,,,,,,100 gr marijuana buds
61,61,15-05-2020 14:24:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2071,53700,4902,147860,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
62,62,15-05-2020 14:24:50,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2589,67125,6128,184825,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,15-05-2020 14:24:50,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.611,158415,14462,436186,5900.0,,,,,,,,180 gr marihuana persoalno
64,64,15-05-2020 14:24:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4763,123510,11276,340077,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
65,65,15-05-2020 14:24:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7766,201375,18384,554474,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
66,66,15-05-2020 14:24:50,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8802,228225,20835,628403,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,15-05-2020 14:24:50,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0188,5370,490,14786,200.0,,,,,,,,KURYER..500RUB.+BONUS
68,68,15-05-2020 14:24:50,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0207,5370,490,14786,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,69,15-05-2020 14:25:40,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5685,402750,36768,1108947,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
70,70,15-05-2020 14:27:03,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2287,59070,5393,162646,2200.0,,,,,True,,,[100g] SPAIN HASH
71,71,15-05-2020 14:27:03,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1588,51992,3751,112990,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
72,72,15-05-2020 14:27:03,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2515,82321,5939,178900,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
73,73,15-05-2020 14:27:03,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,2685,245,7393,100.0,,,,,True,,,kur'er v Batumi
74,74,15-05-2020 14:27:03,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,6713,613,18482,250.0,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
75,75,15-05-2020 14:27:03,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,6713,613,18482,250.0,,,,,True,,,Ischu kur'era v Gruzii!
76,76,15-05-2020 14:27:03,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5732,402750,36768,1108947,15000.0,,,,,True,,,Vakansija optovogo kur'era na mef
77,77,15-05-2020 14:27:03,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.052000000000000005,13425,1226,36965,500.0,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
78,78,15-05-2020 14:28:56,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0214,5639,515,15525,210.0,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,79,15-05-2020 14:28:56,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0498,13022,1189,35856,485.0,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
80,80,15-05-2020 14:28:56,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0387,10203,931,28093,380.0,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
81,81,15-05-2020 14:28:56,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0208,5370,490,14786,200.0,,,,,,,True,Rabota na marki (kur'er)
