,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Didube,Батуми,Центр,desc_en
44,04-08-2020 21:21:45,Tbilisi,2LY77,SveetWeed,15 + GRAMM NEW BEASTWEED,True,1,нет,Тбилиси,15 гр,0.0167,15337,5842,512,209,,,,,,,,,,,,15 + GRAMM NEW BEASTWEED
45,04-08-2020 21:21:45,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (1 грамм)",True,нет,27,Тбилиси,1 гр,0.0044,3669,1398,122,50,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (1 gramm)"
46,04-08-2020 21:21:45,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0219,18345,6988,612,250,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
47,04-08-2020 21:21:45,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0237,19813,7547,661,270,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
48,04-08-2020 21:21:45,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0241,20180,7686,673,275,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
49,04-08-2020 21:21:45,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.021,17611,6708,587,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
50,04-08-2020 21:21:45,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0245,20547,7826,685,280,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,04-08-2020 21:21:45,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0237,19813,7547,661,270,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,04-08-2020 21:21:45,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0174,16070,6121,536,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,04-08-2020 21:21:45,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,1,Тбилиси,5 гр,0.0191,17611,6708,587,240,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
54,04-08-2020 21:21:45,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0237,19813,7547,661,270,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,04-08-2020 21:21:45,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2063,190000,87429,6269,,,,,,,,,,,,,reagent 25i nbome. 5gr
56,04-08-2020 21:21:45,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.239,220142,83850,7343,3000,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,04-08-2020 21:21:45,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0482,40359,15373,1346,550,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
58,04-08-2020 21:21:45,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0613,51366,19565,1713,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,04-08-2020 21:21:45,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0368,30820,11739,1028,420,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
