,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Дигоми,$,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
13,13,17-07-2020 13:47:13,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,8,нет,Тбилиси,2 гр,0.0126,8548,3306,288,,True,,120.0,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
14,14,17-07-2020 13:47:13,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,3,нет,Тбилиси,2 гр,0.0116,7835,3031,264,,True,,110.0,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
15,15,17-07-2020 13:47:13,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0126,8548,3306,288,,True,,120.0,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
16,16,17-07-2020 13:47:13,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.0105,7123,2755,240,,True,,100.0,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
17,17,17-07-2020 13:47:13,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,2 гр,0.0105,7123,2755,240,,True,,100.0,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
18,18,17-07-2020 13:47:13,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,5,нет,Тбилиси,2 гр,0.0105,7835,3031,264,,,True,110.0,True,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
19,19,17-07-2020 13:47:13,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,,3,нет,Тбилиси,2 гр,0.0126,8548,3306,288,,True,,120.0,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
20,20,17-07-2020 13:47:13,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 2gram,,1,нет,Тбилиси,2 гр,0.0091,6767,2617,228,,True,,95.0,,,,,,,,,Northern Lights Regular [budsonly] 2gram
21,21,17-07-2020 13:47:13,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0124,9260,3582,312,,True,,130.0,,,,,,,,,3g. marihuana shishki Critical
22,22,17-07-2020 13:47:13,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,24,нет,Тбилиси,3 гр,0.0058,3918,1515,132,,True,,55.0,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
23,23,17-07-2020 13:47:13,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0158,10685,4133,360,,,,150.0,,,,,,,,,Badazz Kush 3G VHQ 25% THC
24,24,17-07-2020 13:47:13,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,10,нет,Тбилиси,3 гр,0.0036,2422,937,82,,,True,34.0,,,,,,,,,Marijuana Super Skunk leaves 3g plan
25,25,17-07-2020 13:47:13,Tbilisi,e771f4c371,4.2G Peppermint Kush 26%THC *VHQ*,,2,нет,Тбилиси,4.2 гр,0.0221,14959,5786,504,,True,,210.0,,,,,,,,,4.2G Peppermint Kush 26%THC *VHQ*
26,26,17-07-2020 13:47:13,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0273,18520,7163,624,,True,,260.0,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
27,27,17-07-2020 13:47:13,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0294,19945,7714,672,,True,,280.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
28,28,17-07-2020 13:47:13,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0284,19232,7439,648,,True,,270.0,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,29,17-07-2020 13:47:13,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0186,13890,5372,468,,True,,195.0,,,,,,,,,5g. marihuana shishki Critical
30,30,17-07-2020 13:47:13,Tbilisi,fccfd69694,"Трим и низовые шишки, 5 г Trichome trim 5 g",,5,нет,Тбилиси,5 гр,0.0042,2849,1102,96,,True,,40.0,,,,,,,,,"Trim i nizovye shishki, 5 g Trichome trim 5 g"
31,31,17-07-2020 13:47:13,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0459,32054,12398,1080,,True,,450.0,,,,,,,,,Gashish Evro 10gr
32,32,17-07-2020 13:47:13,Tbilisi,8528108b62,12g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0315,23506,9092,792,,True,,330.0,,,,,,,,,12g. marihuana shishki Critical
33,33,17-07-2020 13:47:13,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2122,142462,55100,4799,,True,,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,34,17-07-2020 13:47:13,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0375,25182,9719,848,310.0,True,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
35,35,17-07-2020 13:48:19,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,,нет,1,Тбилиси,2 гр,0.0231,15671,6061,528,,True,,220.0,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
36,36,17-07-2020 13:48:19,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,,нет,10,Тбилиси,4 гр,0.0062,4630,1791,156,,True,,65.0,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
37,37,17-07-2020 13:48:19,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0263,17808,6888,600,,True,,250.0,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
38,38,17-07-2020 13:48:19,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,2,Тбилиси,5 гр,0.0578,39177,15153,1320,,True,,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
39,39,17-07-2020 13:48:19,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0284,19232,7439,648,,True,,270.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
40,40,17-07-2020 13:48:19,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0289,19589,7576,660,,True,,275.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
41,41,17-07-2020 13:48:19,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.0252,17095,6612,576,,True,,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
42,42,17-07-2020 13:48:19,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0294,19945,7714,672,,True,,280.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,43,17-07-2020 13:48:19,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0284,19232,7439,648,,True,,270.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,44,17-07-2020 13:48:19,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0209,15600,6033,526,,True,,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,45,17-07-2020 13:48:19,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0284,19232,7439,648,,True,,270.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,17-07-2020 13:48:19,Tbilisi,f374062dcd,Кристаллы Синие очень мощные на рынке 5 гр,,нет,1,Тбилиси,5 гр,0.0803,59834,23142,2016,,True,,840.0,,,,,,,,,Kristally Sinie ochen' moschnye na rynke 5 gr
47,47,17-07-2020 13:48:19,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.255,190000,87429,6399,,True,,,,,,,,,,,reagent 25i nbome. 5gr
48,48,17-07-2020 13:48:19,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2868,213693,82650,7199,,,,3000.0,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,17-07-2020 13:48:19,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭,,нет,5,Тбилиси,5 гр,0.0526,35616,13775,1200,,True,,500.0,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭
50,50,17-07-2020 13:48:19,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0242,16246,6270,547,200.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
51,51,17-07-2020 13:48:19,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0946,64108,24795,2160,,True,,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,52,17-07-2020 13:48:19,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0578,39177,15153,1320,,True,,550.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,53,17-07-2020 13:48:19,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0736,49862,19285,1680,,True,,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,17-07-2020 13:48:19,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0442,29917,11571,1008,,True,,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,17-07-2020 13:48:19,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0841,56985,22040,1920,,True,,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,17-07-2020 13:48:19,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,,нет,10,Тбилиси,10 гр,0.0363,27068,10469,912,,True,,380.0,,,,,,,,,Northern Lights Regular [budsonly] 10gram
57,57,17-07-2020 13:48:19,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.23399999999999999,158489,61299,5339,,True,,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
58,58,17-07-2020 13:48:19,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0532,35742,13794,1204,440.0,True,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
59,59,17-07-2020 13:48:19,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0472,31680,12227,1067,390.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
60,60,17-07-2020 13:48:19,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0621,46300,17908,1560,,True,,650.0,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
61,61,17-07-2020 13:48:19,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2524,170954,66120,5759,,True,,2400.0,,,,,,,,,100 gr marijuana buds
62,62,17-07-2020 13:48:19,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2629,178078,68875,5999,,True,,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,17-07-2020 13:48:19,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6204,420263,162545,14157,,True,,5900.0,,,,,,,,,180 gr marihuana persoalno
64,64,17-07-2020 13:48:19,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8938,605464,234175,20396,,True,,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,65,17-07-2020 13:48:19,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14246,5510,480,,True,,200.0,,,,,,,,,KURYER..500RUB.+BONUS
66,66,17-07-2020 13:48:19,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0263,17808,6888,600,,True,,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
67,67,17-07-2020 13:48:19,Tbilisi,ebadfc162f,"Galiak ищет курьерa толка за марихуани в тбилиси, клад 7$. Залог с 200$",,1,нет,Тбилиси,10 гр,0.0191,14246,5510,480,,True,,200.0,,,,,,,,,"Galiak ischet kur'era tolka za marihuani v tbilisi, klad 7$. Zalog s 200$"
68,68,17-07-2020 13:48:19,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.021,14246,5510,480,,True,,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,69,17-07-2020 13:48:56,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0263,17808,6888,600,,True,,250.0,,,,,,,,,Rabota na marki (kur'er)
70,70,17-07-2020 13:48:56,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0526,35616,13775,1200,,True,,500.0,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
71,71,17-07-2020 13:48:56,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.0211,14246,5510,480,,True,,200.0,,,,,,,,,Rabota kur'erom
72,72,17-07-2020 13:48:56,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5930000000000002,1068465,413250,35993,,True,,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
73,73,17-07-2020 13:48:56,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0526,35616,13775,1200,,,,500.0,,True,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
74,74,17-07-2020 13:50:37,Batumi,75738ec358,ASTRAL 1g,,2,нет,Батуми,1 гр,0.0077,5698,2204,192,,,,80.0,,,,,,True,,,ASTRAL 1g
75,75,17-07-2020 13:50:37,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,9,нет,Батуми,2 гр,0.0044,2992,1157,101,,,,42.0,,,,,,True,,,Melkie shishki (Indica) 2g
76,76,17-07-2020 13:50:37,Batumi,f8a875c191,METADON - 0.30 - SALE,,5,5,Батуми,0.3 гр,0.0319,21369,8265,720,,,,300.0,,,,,,True,,,METADON - 0.30 - SALE
77,77,17-07-2020 13:50:37,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0375,25182,9719,848,310.0,,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
78,78,17-07-2020 13:50:37,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0335,24931,9643,840,,,,350.0,,,,,,True,,,Mefedron 3g
79,79,17-07-2020 13:50:37,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0402,29917,11571,1008,,,,420.0,,,,,,True,,,Tably Punisher 300 mg. 5sht.
80,80,17-07-2020 13:50:37,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0533,35742,13794,1204,440.0,,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
81,81,17-07-2020 13:50:37,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0472,31680,12227,1067,390.0,,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
82,82,17-07-2020 13:50:37,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0483,32411,12509,1092,399.0,,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
83,83,17-07-2020 13:50:37,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1669,112990,51992,3805,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
84,84,17-07-2020 13:50:37,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2643,178900,82321,6025,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
85,85,17-07-2020 13:50:37,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7123,2755,240,,,,100.0,,,,,,True,,,kur'er v Batumi
86,86,17-07-2020 13:50:37,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17808,6888,600,,,,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
87,87,17-07-2020 13:50:37,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17808,6888,600,,,,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
88,88,17-07-2020 13:50:37,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14246,5510,480,,,,200.0,,,,,,True,,,Kur'er Batumi na marihuanu
89,89,17-07-2020 13:50:37,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5930000000000002,1068465,413250,35993,,,,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
90,90,17-07-2020 13:50:37,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0526,35616,13775,1200,,,,500.0,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,91,17-07-2020 13:51:40,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4441,300595,116261,10126,,,,4220.0,,,,,,,,True,CUSTOM Shishki 230g 3in1
