,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
35,35,21-05-2020 12:56:45,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0254,17361,6456,578,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,36,21-05-2020 12:56:45,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0244,16638,6187,554,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,37,21-05-2020 12:56:45,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0169,11502,4277,383,159.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,38,21-05-2020 12:56:45,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0254,17361,6456,578,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,39,21-05-2020 12:56:45,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0254,17361,6456,578,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,21-05-2020 12:56:45,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0244,16638,6187,554,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,21-05-2020 12:56:45,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0211,15842,5891,528,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,21-05-2020 12:56:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0249,16999,6322,566,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,43,21-05-2020 12:56:45,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.017,11574,4304,385,160.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
44,44,21-05-2020 12:56:45,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2531,190000,87429,6331,,,,,,,,,,,reagent 25i nbome. 5gr
45,45,21-05-2020 12:56:45,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2891,217014,80700,7226,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,46,21-05-2020 12:56:45,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1027,69372,25797,2310,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,47,21-05-2020 12:56:45,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0203,13744,5111,458,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,48,21-05-2020 12:56:45,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,4,Тбилиси,5 гр,0.0524,35373,13154,1178,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
49,49,21-05-2020 12:56:45,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0954,65104,24210,2168,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,50,21-05-2020 12:56:45,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0424,28935,10760,963,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,51,21-05-2020 12:56:45,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0742,50637,18830,1686,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,52,21-05-2020 12:56:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0445,30382,11298,1012,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,21-05-2020 12:56:45,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,38,Тбилиси,10 гр,0.0106,7234,2690,241,100.0,,,,,,,,,,10G Hybrid Marijuana Leafs
54,54,21-05-2020 12:56:45,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0848,57870,21520,1927,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,55,21-05-2020 12:56:45,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0307,20978,7801,699,290.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
56,56,21-05-2020 12:56:45,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2358,160952,59853,5359,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
57,57,21-05-2020 12:56:45,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1669,112775,41937,3755,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
58,58,21-05-2020 12:56:45,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0395,26693,9926,889,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
59,59,21-05-2020 12:56:45,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0337,22787,8474,759,315.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
60,60,21-05-2020 12:56:45,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5353,361691,134500,12044,5000.0,,,,,,,,,,METADON - 20 G.
61,61,21-05-2020 12:56:45,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0641,43331,16113,1443,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
62,62,21-05-2020 12:56:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1166,79572,29590,2650,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
63,63,21-05-2020 12:56:45,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2544,173611,64560,5781,2400.0,,,,,,,,,,100 gr marijuana buds
64,64,21-05-2020 12:56:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.212,144676,53800,4817,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,65,21-05-2020 12:56:45,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.265,180845,67250,6022,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,21-05-2020 12:56:45,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6254,426795,158710,14211,5900.0,,,,,,,,,,180 gr marihuana persoalno
67,67,21-05-2020 12:56:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4876,332755,123740,11080,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,68,21-05-2020 12:56:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.795,542536,201750,18065,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,69,21-05-2020 12:57:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7981,542536,201750,18065,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
70,70,21-05-2020 12:57:09,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9045,614874,228650,20474,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,71,21-05-2020 12:57:09,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,14468,5380,482,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
72,72,21-05-2020 12:57:09,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0426,28935,10760,963,400.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
73,73,21-05-2020 12:57:09,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0213,14468,5380,482,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,74,21-05-2020 12:57:09,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0266,18085,6725,602,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,75,21-05-2020 12:57:09,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6106,1085072,403500,36131,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
76,76,21-05-2020 12:58:40,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,9,нет,Батуми,0.5 гр,0.0064,4340,1614,145,60.0,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
77,77,21-05-2020 12:58:40,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 1 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,3,нет,Батуми,1 гр,0.0111,7596,2825,253,105.0,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 1 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
78,78,21-05-2020 12:58:40,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2345,159144,59180,5299,2200.0,,,,,,,True,,,[100g] SPAIN HASH
79,79,21-05-2020 12:58:40,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0039,2613,972,87,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
80,80,21-05-2020 12:58:40,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1665,112990,51992,3765,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
81,81,21-05-2020 12:58:40,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2636,178900,82321,5961,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
82,82,21-05-2020 12:58:40,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7234,2690,241,100.0,,,,,,,True,,,kur'er v Batumi
83,83,21-05-2020 12:58:40,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0242,18085,6725,602,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
84,84,21-05-2020 12:58:40,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0242,18085,6725,602,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
85,85,21-05-2020 12:58:40,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6132,1085072,403500,36131,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
86,86,21-05-2020 12:58:40,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0533,36169,13450,1204,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,87,21-05-2020 12:59:52,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0512,35084,13047,1168,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
88,88,21-05-2020 12:59:52,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.039,26765,9953,891,370.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
89,89,21-05-2020 12:59:52,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0213,14468,5380,482,200.0,,,,,,,,,True,Rabota na marki (kur'er)
