,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Varketili,Didube,Old Tbilisi (Старый город),Gldani,Vazisubani,Nadzaladevi,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
39,39,01-05-2020 23:57:38,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,True,нет,9,Тбилиси,4 гр,0.0065,4364,1632,145,60.0,,,,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
40,40,01-05-2020 23:57:38,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0597,39999,14960,1328,550.0,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
41,41,01-05-2020 23:57:38,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.0185,12363,4624,410,170.0,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
42,42,01-05-2020 23:57:38,Tbilisi,8ddca45a78,5g WEED MIX / выбери свои сорта,True,нет,3,Тбилиси,5 гр,0.0237,15854,5930,526,218.0,,,,,,,,,,,,,,5g WEED MIX / vyberi svoi sorta
43,43,01-05-2020 23:57:38,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0216,14473,5413,480,199.0,,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
44,44,01-05-2020 23:57:38,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0216,14473,5413,480,199.0,,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
45,45,01-05-2020 23:57:38,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0216,15927,5957,529,219.0,,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
46,46,01-05-2020 23:57:38,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0216,14473,5413,480,199.0,,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
47,47,01-05-2020 23:57:38,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2578,190000,87429,6306,,,,,,,,,,,,,,,reagent 25i nbome. 5gr
48,48,01-05-2020 23:57:38,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2961,218179,81600,7243,3000.0,,,,,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,01-05-2020 23:57:38,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1051,69745,26085,2315,959.0,,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
50,50,01-05-2020 23:57:38,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0207,13745,5141,456,189.0,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
51,51,01-05-2020 23:57:38,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0208,13818,5168,459,190.0,,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
52,52,01-05-2020 23:57:38,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0536,35563,13301,1181,489.0,,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
53,53,01-05-2020 23:57:38,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0207,13745,5141,456,189.0,,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
54,54,01-05-2020 23:57:38,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,10,Тбилиси,10 гр,0.0119,8000,2992,266,110.0,,,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
55,55,01-05-2020 23:57:38,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0977,65454,24480,2173,900.0,,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
56,56,01-05-2020 23:57:38,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.076,50908,19040,1690,700.0,,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
57,57,01-05-2020 23:57:38,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0347,23272,8704,773,320.0,,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
58,58,01-05-2020 23:57:38,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0109,7273,2720,241,100.0,,,,,,,,,,,,,,10G Hybrid Marijuana Leafs
59,59,01-05-2020 23:57:38,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0868,58181,21760,1931,800.0,,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
60,60,01-05-2020 23:57:38,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2415,161816,60520,5372,2225.0,,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
61,61,01-05-2020 23:57:38,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,6,Тбилиси,10 гр,0.1709,113380,42405,3764,1559.0,,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
62,62,01-05-2020 23:57:38,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0405,26836,10037,891,369.0,,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
63,63,01-05-2020 23:57:38,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0345,22909,8568,761,315.0,,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
64,64,01-05-2020 23:57:38,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5482,363632,136000,12072,5000.0,,,,,,,,,,,,,,METADON - 20 G.
65,65,01-05-2020 23:57:38,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0657,43563,16293,1446,599.0,,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
66,66,01-05-2020 23:57:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1194,79999,29920,2656,1100.0,,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
67,67,01-05-2020 23:57:38,Tbilisi,52fe6d0af9,White Russia Fem Buds Only 21%+ THC 50G,True,нет,5,Тбилиси,50 гр,0.1504,101817,38080,3380,1400.0,,,,,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
68,68,01-05-2020 23:57:38,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2605,174543,65280,5794,2400.0,,,,,,,,,,,,,,100 gr marijuana buds
69,69,01-05-2020 23:58:11,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,2,Тбилиси,100 гр,0.3257,218179,81600,7243,3000.0,,,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
70,70,01-05-2020 23:58:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2171,145453,54400,4829,2000.0,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
71,71,01-05-2020 23:58:11,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2714,181816,68000,6036,2500.0,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
72,72,01-05-2020 23:58:11,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6405,429085,160480,14244,5900.0,,,,,,,,,,,,,,180 gr marihuana persoalno
73,73,01-05-2020 23:58:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4993,334541,125120,11106,4600.0,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
74,74,01-05-2020 23:58:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8141,545447,204000,18107,7500.0,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
75,75,01-05-2020 23:58:11,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9227,618174,231200,20522,8500.0,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
76,76,01-05-2020 23:58:11,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0197,14545,5440,483,200.0,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
77,77,01-05-2020 23:58:11,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0217,14545,5440,483,200.0,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,78,01-05-2020 23:58:11,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0271,18182,6800,604,250.0,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
79,79,01-05-2020 23:58:11,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0217,14545,5440,483,200.0,,,,,,,,,,,,,,Rabota na marki (kur'er)
80,80,01-05-2020 23:58:11,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6431,1090895,408000,36215,15000.0,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
81,81,01-05-2020 23:59:25,Batumi,54915c4374,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0038,2532,950,84,,,,,,,,,,32.0,,True,,,Batumi n-booom 2 shtuki
82,82,01-05-2020 23:59:25,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2388,159998,59840,5311,2200.0,,,,,,,,,,,,True,,[100g] SPAIN HASH
83,83,01-05-2020 23:59:25,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0066,4431,1663,147,,,,,,,,,,56.0,,,True,,Marki N-VoooooM!!!! 4 shtuki
84,84,01-05-2020 23:59:25,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,9,Батуми,10 гр,0.0119,8000,2992,266,110.0,,,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 10 sht"
85,85,01-05-2020 23:59:25,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0099,7273,2720,241,100.0,,,,,,,,,,,,True,,kur'er v Batumi
86,86,01-05-2020 23:59:25,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0247,18182,6800,604,250.0,,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
87,87,01-05-2020 23:59:25,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0247,18182,6800,604,250.0,,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
88,88,01-05-2020 23:59:25,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6431,1090895,408000,36215,15000.0,,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
89,89,01-05-2020 23:59:25,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0543,36363,13600,1207,500.0,,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
90,90,02-05-2020 00:00:37,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0234,16000,5984,531,220.0,,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
91,91,02-05-2020 00:00:37,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0564,37818,14144,1255,520.0,,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,92,02-05-2020 00:00:37,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0415,28363,10608,942,390.0,,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,93,02-05-2020 00:00:37,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0217,14545,5440,483,200.0,,,,,,,,,,,,,True,Rabota na marki (kur'er)
