,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Didube,Дигоми,Old Tbilisi (Старый город),Saburtalo,Авлобари,Центр,Батуми,Кутаиси,desc_en
18,18,17-04-2020 09:24:07,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0407,22414,8220,738,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
19,19,17-04-2020 09:24:07,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.05,28391,10412,934,380.0,,,,,,,,,,,5g MDMA (IMPORTED)
20,20,17-04-2020 09:24:07,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,8,нет,Тбилиси,5 гр,0.0184,10011,3672,329,134.0,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
21,21,17-04-2020 09:24:07,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0242,13075,4795,430,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
22,22,17-04-2020 09:24:07,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0069,4109,1507,135,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
23,23,17-04-2020 09:24:07,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,8,нет,Тбилиси,10 гр,0.0287,15615,5727,514,209.0,,,,,,,,,,,10 gr marijuana buds. -indica-
24,24,17-04-2020 09:24:07,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0547,29810,10933,981,399.0,,,,True,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
25,25,17-04-2020 09:24:07,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,5,нет,Тбилиси,10 гр,0.0149,8128,2986,267,,,100.0,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
26,26,17-04-2020 09:24:07,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0106,6351,2329,209,85.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
27,27,17-04-2020 09:24:07,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0526,29885,10960,983,400.0,,,,,,,,,,,gashish evro 10g
28,28,17-04-2020 09:24:07,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1022,58051,21290,1910,777.0,,,,,,,,,,,Gashish Evro 20gr
29,29,17-04-2020 09:24:07,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2493,149424,54800,4917,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,30,17-04-2020 09:24:07,Tbilisi,2f51af8159,"ЧИСТЫЙ ГЕРОИН 999 КАМНИ 0,1",,нет,3,Тбилиси,0.1 гр,0.0152,8293,3041,273,111.0,,,,,,True,,,,,"ChISTYJ GEROIN 999 KAMNI 0,1"
31,31,17-04-2020 09:24:07,Tbilisi,2f51af8159,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE",True,нет,4,Тбилиси,0.2 гр,0.0052,2839,1041,93,38.0,,,,,,,,,,,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE"
32,32,17-04-2020 09:24:07,Tbilisi,2f51af8159,NEW MDMA 0.25 G MELKIE KRISTALI,,нет,3,Тбилиси,0.25 гр,0.0048,2615,959,86,35.0,,,,,,True,,,,,NEW MDMA 0.25 G MELKIE KRISTALI
33,33,17-04-2020 09:24:07,Tbilisi,2f51af8159,VHQ KETAMINE 0.25G,,нет,1,Тбилиси,0.25 гр,0.0078,4259,1562,140,57.0,,,,,,True,,,,,VHQ KETAMINE 0.25G
34,34,17-04-2020 09:24:07,Tbilisi,2f51af8159,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0058,3138,1151,103,42.0,,,,,,True,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
35,35,17-04-2020 09:24:37,Tbilisi,2f51af8159,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE,,нет,3,Тбилиси,1 гр,0.0053,2914,1069,96,39.0,,,,,,True,,,,,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE
36,36,17-04-2020 09:24:37,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0511,27569,10111,907,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
37,37,17-04-2020 09:24:37,Tbilisi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,2,Тбилиси,3 гр,0.0411,24655,9042,811,330.0,,,,,,True,,,,,Sk sinij kris ochen' sil'nyj 3gr
38,38,17-04-2020 09:24:37,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0816,44080,16166,1451,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
39,39,17-04-2020 09:24:37,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0548,29885,10960,983,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
40,40,17-04-2020 09:24:37,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0219,11954,4384,393,160.0,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
41,41,17-04-2020 09:24:37,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0753,41092,15070,1352,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
42,42,17-04-2020 09:24:37,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0233,12701,4658,418,170.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
43,43,17-04-2020 09:24:37,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0273,14868,5453,489,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
44,44,17-04-2020 09:24:37,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0273,14868,5453,489,199.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
45,45,17-04-2020 09:24:37,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0273,16362,6001,538,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
46,46,17-04-2020 09:24:37,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0273,14868,5453,489,199.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
47,47,17-04-2020 09:24:37,Tbilisi,54915c4374,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0522,28448,10451,936,,,350.0,,,,,,,,,MDMA 5 gr!!!
48,48,17-04-2020 09:24:37,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3167,190000,87429,6255,,,,,,,,,,,,reagent 25i nbome. 5gr
49,49,17-04-2020 09:24:37,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3736,224136,82200,7376,3000.0,,,,,True,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
50,50,17-04-2020 09:24:37,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1202,64925,23811,2137,869.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
51,51,17-04-2020 09:24:37,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0261,14121,5179,465,189.0,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
52,52,17-04-2020 09:24:37,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0263,14195,5206,467,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
53,53,17-04-2020 09:24:37,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0677,36534,13399,1202,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
54,54,17-04-2020 09:24:37,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0261,14121,5179,465,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
55,55,17-04-2020 09:24:37,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1233,67241,24660,2213,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
56,56,17-04-2020 09:24:37,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0959,52298,19180,1721,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
57,57,17-04-2020 09:24:37,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0438,23908,8768,787,320.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
58,58,17-04-2020 09:24:37,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1096,59770,21920,1967,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,59,17-04-2020 09:24:37,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3048,166234,60965,5471,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,17-04-2020 09:24:37,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.2005,108258,39703,3563,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
61,61,17-04-2020 09:24:37,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0511,27569,10111,907,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,62,17-04-2020 09:24:37,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0414,22339,8193,735,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
63,63,17-04-2020 09:24:37,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,1,2,Тбилиси,20 гр,0.0555,30258,11097,996,405.0,,,,,,True,,,,,20 gr Indica marijuana buds (hight quality)
64,64,17-04-2020 09:24:37,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0829,44752,16413,1473,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,65,17-04-2020 09:24:37,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1507,82183,30140,2705,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
66,66,17-04-2020 09:24:37,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3288,179309,65760,5901,2400.0,,,,,,,,,,,100 gr marijuana buds
67,67,17-04-2020 09:24:37,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.27399999999999997,149424,54800,4917,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,17-04-2020 09:24:58,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2769,149424,54800,4917,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
69,69,17-04-2020 09:24:58,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3427,186780,68500,6147,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,70,17-04-2020 09:24:58,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8088,440800,161660,14506,5900.0,,,,,,,,,,,180 gr marihuana persoalno
71,71,17-04-2020 09:24:58,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4318,235342,86310,7745,3150.0,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
72,72,17-04-2020 09:24:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6306,343675,126040,11310,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,73,17-04-2020 09:24:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0282,560339,205500,18440,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,74,17-04-2020 09:24:58,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1653,635051,232900,20899,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,17-04-2020 09:24:58,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0249,14942,5480,492,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
76,76,17-04-2020 09:24:58,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0274,14942,5480,492,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,77,17-04-2020 09:24:58,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0343,18678,6850,615,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,78,17-04-2020 09:24:58,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0751,1120679,411000,36881,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,17-04-2020 09:26:44,Batumi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,,7,нет,Батуми,1 гр,0.0027,1463,537,48,,,18.0,,,,,,True,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
80,80,17-04-2020 09:26:44,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,3,нет,Батуми,5 гр,0.0411,22414,8220,738,300.0,,,,,,,,True,,,Super Critical HIGHEST QUALITY 5G
81,81,17-04-2020 09:26:44,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3016,164366,60280,5409,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
82,82,17-04-2020 09:26:44,Batumi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0411,24655,9042,811,330.0,,,,,,,,True,,,Sk sinij kris ochen' sil'nyj 3gr
83,83,17-04-2020 09:26:44,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2769,149424,54800,4917,2000.0,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
84,84,17-04-2020 09:26:44,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7471,2740,246,100.0,,,,,,,,,True,,kur'er v Batumi
85,85,17-04-2020 09:26:44,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0312,18678,6850,615,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
86,86,17-04-2020 09:26:44,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0312,18678,6850,615,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
87,87,17-04-2020 09:26:44,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0751,1120679,411000,36881,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
88,88,17-04-2020 09:26:44,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0685,37356,13700,1229,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,89,17-04-2020 09:28:07,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0197,10833,3973,357,145.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,90,17-04-2020 09:28:07,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0495,27270,10001,897,365.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
91,91,17-04-2020 09:28:07,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0373,20546,7535,676,275.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
