,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Тбилиси,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,05-06-2020 14:04:12,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0221,16564,6432,575,240.0,,,True,,,,,,,,5g. marihuana shishki Critical
11,11,05-06-2020 14:04:12,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,,1,нет,Тбилиси,5 гр,0.006,4072,1581,141,59.0,,,True,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
12,12,05-06-2020 14:04:12,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,5 гр,0.0179,12078,4690,420,175.0,,,True,,,,,,,,5x Extasy Duracell 223mg MDMA.
13,13,05-06-2020 14:04:12,Tbilisi,3ea41fd329,"SUBOQSIN ""DNK"" 8ML",True,1,нет,Тбилиси,8 гр,0.0151,10283,3993,357,149.0,,,,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
14,14,05-06-2020 14:04:12,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,2,нет,Тбилиси,10 гр,0.0272,18565,7209,645,269.0,,,True,,,,,,,,10 gr georgian weed. Package on magnet
15,15,05-06-2020 14:04:12,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,,5,нет,Тбилиси,10 гр,0.0101,6902,2680,240,100.0,,,,,True,,,,,,10 gr marihuana list'ja top gibrid
16,16,05-06-2020 14:04:12,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",,9,нет,Тбилиси,10 гр,0.0087,6556,2546,228,95.0,,,True,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
17,17,05-06-2020 14:04:12,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.046,34508,13400,1199,500.0,,,True,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
18,18,05-06-2020 14:04:12,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,1,нет,Тбилиси,20 гр,0.0033,2485,965,86,36.0,,,True,,,,,,,,GABAGAMA 20 SHTUK
19,19,05-06-2020 14:04:12,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.204,138030,53600,4795,2000.0,,,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
20,20,05-06-2020 14:04:12,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,,нет,7,Тбилиси,0.25 гр,0.004,2761,1072,96,40.0,,,True,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
21,21,05-06-2020 14:04:12,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.5G A+++,,нет,1,Тбилиси,0.5 гр,0.0066,4486,1742,156,65.0,,,True,,,,,,,,VHQ MDMA Champagne Imported 0.5G A+++
22,22,05-06-2020 14:04:12,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0214,14493,5628,504,210.0,,,True,,,,,,,,✨✨2gram. MDMA✨✨
23,23,05-06-2020 14:04:12,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,5,Тбилиси,2 гр,0.0377,25467,9889,885,369.0,,,True,,,,,,,,❄❄2g HQ COCAINE❄❄
24,24,05-06-2020 14:04:12,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0591,39960,15517,1388,579.0,,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,25,05-06-2020 14:04:12,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0404,27606,10720,959,400.0,,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,05-06-2020 14:04:12,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,True,1,2,Тбилиси,4 гр,0.0142,9662,3752,336,140.0,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
27,27,05-06-2020 14:04:12,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0708,48311,18760,1678,700.0,,,True,,,,,,,,"""Kief"" Weed trichomes 5G"
28,28,05-06-2020 14:04:12,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0556,37958,14740,1319,550.0,,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,29,05-06-2020 14:04:12,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,8,Тбилиси,5 гр,0.0238,16219,6298,563,235.0,,,True,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
30,30,05-06-2020 14:04:12,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0243,16564,6432,575,240.0,,,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
31,31,05-06-2020 14:04:12,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0233,15873,6164,551,230.0,,,True,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
32,32,05-06-2020 14:04:12,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0243,16564,6432,575,240.0,,,True,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
33,33,05-06-2020 14:04:12,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0243,16564,6432,575,240.0,,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
34,34,05-06-2020 14:05:13,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0243,16564,6432,575,240.0,,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
35,35,05-06-2020 14:05:13,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0233,15873,6164,551,230.0,,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
36,36,05-06-2020 14:05:13,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0201,15114,5869,525,219.0,,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
37,37,05-06-2020 14:05:13,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0255,17254,6700,599,250.0,,,True,,,,,,,,MARIXYANA - INDICA - 5 G.
38,38,05-06-2020 14:05:13,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0238,16219,6298,563,235.0,,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
39,39,05-06-2020 14:05:13,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2531,190000,87429,6601,,,,True,,,,,,,,reagent 25i nbome. 5gr
40,40,05-06-2020 14:05:13,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2758,207045,80400,7193,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
41,41,05-06-2020 14:05:13,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.098,66185,25701,2299,959.0,,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
42,42,05-06-2020 14:05:13,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0194,13113,5092,456,190.0,,,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
43,43,05-06-2020 14:05:13,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.05,33748,13105,1172,489.0,,,True,,,,,,,,💘✨5g. MDMA ✨💘
44,44,05-06-2020 14:05:13,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0204,13803,5360,480,200.0,,,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
45,45,05-06-2020 14:05:13,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.091,62114,24120,2158,900.0,,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
46,46,05-06-2020 14:05:13,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0405,27606,10720,959,400.0,,,True,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
47,47,05-06-2020 14:05:13,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0708,48311,18760,1678,700.0,,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
48,48,05-06-2020 14:05:13,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0425,28986,11256,1007,420.0,,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
49,49,05-06-2020 14:05:13,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0809,55212,21440,1918,800.0,,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
50,50,05-06-2020 14:05:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.027000000000000003,18427,7156,640,267.0,,,True,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
51,51,05-06-2020 14:05:13,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.225,153559,59630,5335,2225.0,,,True,,,,,,,,Amfetamin [White] [Import] 10G
52,52,05-06-2020 14:05:13,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1593,107595,41781,3738,1559.0,,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
53,53,05-06-2020 14:05:13,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0825,55764,21654,1937,808.0,,,True,,,,,,,,💘✨10gram MDMA ✨💘
54,54,05-06-2020 14:05:13,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0377,25467,9889,885,369.0,,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
55,55,05-06-2020 14:05:13,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0357,24155,9380,839,350.0,,,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
56,56,05-06-2020 14:05:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.0516,35198,13668,1223,510.0,,,True,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
57,57,05-06-2020 14:05:13,Tbilisi,f8a875c191,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.5108,345076,134000,11989,5000.0,,,True,,,,,,,,METADON - 20 G.
58,58,05-06-2020 14:05:13,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1379,103523,40200,3597,1500.0,,,True,,,,,,,,✨💘20g MDMA💘✨
59,59,05-06-2020 14:05:13,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0612,41340,16053,1436,599.0,,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,60,05-06-2020 14:05:13,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1314,89651,34813,3115,1299.0,,,True,,,,,,,,50 gr georgian weed. Package on magnet
61,61,05-06-2020 14:05:13,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2528,172469,66973,5992,2499.0,,,True,,,,,,,,100 gr georgian weed. Package on magnet
62,62,05-06-2020 14:05:13,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2427,165636,64320,5754,2400.0,,,True,,,,,,,,100 gr marijuana buds
63,63,05-06-2020 14:05:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2023,138030,53600,4795,2000.0,,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,64,05-06-2020 14:05:13,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,нет,1,Тбилиси,100 гр,0.2529,172538,67000,5994,2500.0,,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,65,05-06-2020 14:05:13,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5967,407189,158120,14146,5900.0,,,True,,,,,,,,180 gr marihuana persoalno
66,66,05-06-2020 14:05:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4653,317469,123280,11029,4600.0,,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
67,67,05-06-2020 14:05:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7586,517613,201000,17983,7500.0,,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
68,68,05-06-2020 14:05:13,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8597,586628,227800,20380,8500.0,,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
69,69,05-06-2020 14:05:44,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0202,13803,5360,480,200.0,,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,70,05-06-2020 14:05:44,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0253,17254,6700,599,250.0,,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,05-06-2020 14:05:44,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5319,1035227,402000,35966,15000.0,,,True,,,,,,,,Vakansija optovogo kur'era na mef
72,72,05-06-2020 14:06:57,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0416,28986,11256,1007,420.0,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
73,73,05-06-2020 14:06:57,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5108,345076,134000,11989,5000.0,,,,,,,,True,,,METADON - 20 G.
74,74,05-06-2020 14:06:57,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1656,112990,51992,3925,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
75,75,05-06-2020 14:06:57,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2622,178900,82321,6215,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
76,76,05-06-2020 14:06:57,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6902,2680,240,100.0,,,,,,,,True,,,kur'er v Batumi
77,77,05-06-2020 14:06:57,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,17254,6700,599,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
78,78,05-06-2020 14:06:57,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,17254,6700,599,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
79,79,05-06-2020 14:06:57,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0202,13803,5360,480,200.0,,,,,,,,True,,,Kur'er Batumi na marihuanu
80,80,05-06-2020 14:06:57,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0283,19331,7600,672,,,250.0,,,,,,True,,,Rabota na marki (kur'er)
81,81,05-06-2020 14:06:57,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.531,1035227,402000,35966,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
82,82,05-06-2020 14:06:57,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0506,34508,13400,1199,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
83,83,05-06-2020 14:08:38,Kutaisi,be97026d1d,Cocaine 2g !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.0288,20083,7799,698,291.0,,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
84,84,05-06-2020 14:08:38,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0283,19331,7600,672,,,250.0,,,,,,,,True,Rabota na marki (kur'er)
