,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
12,08-07-2020 19:14:58,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,2 гр,0.0102,7053,2693,242,,,99,True,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
13,08-07-2020 19:14:58,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0113,7765,2965,266,,,109,True,,,,,,,,2 G Hybrid Marijuana Buds
14,08-07-2020 19:14:58,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,2 гр,0.0124,8549,3264,293,,True,120,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
15,08-07-2020 19:14:58,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0104,7124,2720,244,,,100,,True,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
16,08-07-2020 19:14:58,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,2 гр,0.0104,7124,2720,244,,,100,,True,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
17,08-07-2020 19:14:58,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",,1,нет,Тбилиси,2 гр,0.0104,7836,2992,269,,,110,,,True,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
18,08-07-2020 19:14:58,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0141,10686,4080,367,,True,150,,,,,,,,,3g. marihuana shishki Critical
19,08-07-2020 19:14:58,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,14,нет,Тбилиси,3 гр,0.0057,3918,1496,134,,True,55,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
20,08-07-2020 19:14:58,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0226,17097,6528,587,,True,240,,,,,,,,,5g. marihuana shishki Critical
21,08-07-2020 19:14:58,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,24,нет,Тбилиси,5 гр,0.0072,4915,1877,169,,True,69,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
22,08-07-2020 19:14:58,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0226,17097,6528,587,,,240,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
23,08-07-2020 19:14:58,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.1397,96100,36693,3297,,True,1349,,,,,,,,,VHQ BEST Cocaine 5g.
24,08-07-2020 19:14:58,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,2,нет,Тбилиси,5 гр,0.0259,17809,6800,611,,,250,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
25,08-07-2020 19:14:58,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,2,нет,Тбилиси,10 гр,0.0135,9190,3509,315,,True,129,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
26,08-07-2020 19:14:58,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0452,32057,12240,1100,,True,450,,,,,,,,,Gashish Evro 10gr
27,08-07-2020 19:14:58,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0471,35619,13600,1222,,True,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
28,08-07-2020 19:14:58,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0067,4630,1768,159,,True,65,,,,,,,,,Silver haze leaves list'ja 15gr sale
29,08-07-2020 19:14:58,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2089,142476,54400,4888,,True,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,08-07-2020 19:14:58,Tbilisi,NLKH,STARS,A PVP Белая мука высшего качества 0.33 г.,,нет,2,Тбилиси,0.33 гр,0.0135,9261,3536,318,,True,130,,,,,,,,,A PVP Belaja muka vysshego kachestva 0.33 g.
31,08-07-2020 19:14:58,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.094,64043,24453,2197,,True,899,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
32,08-07-2020 19:14:58,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,4,Тбилиси,4 гр,0.0414,28495,10880,978,,True,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
33,08-07-2020 19:17:13,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0569,39181,14960,1344,,True,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
34,08-07-2020 19:17:13,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0279,19234,7344,660,,True,270,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,08-07-2020 19:17:14,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.029,19947,7616,684,,True,280,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,08-07-2020 19:17:14,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0285,19590,7480,672,,True,275,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,08-07-2020 19:17:14,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0248,17097,6528,587,,True,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
38,08-07-2020 19:17:14,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.029,19947,7616,684,,True,280,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
39,08-07-2020 19:17:14,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0279,19234,7344,660,,True,270,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
40,08-07-2020 19:17:14,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0206,15601,5957,535,,True,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
41,08-07-2020 19:17:14,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0279,19234,7344,660,,True,270,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
42,08-07-2020 19:17:14,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2509,190000,87429,6438,,True,,,,,,,,,,reagent 25i nbome. 5gr
43,08-07-2020 19:17:14,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2822,213714,81600,7332,,,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,08-07-2020 19:17:14,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0931,64114,24480,2200,,True,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
45,08-07-2020 19:17:14,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0569,39181,14960,1344,,True,550,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
46,08-07-2020 19:17:14,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0724,49867,19040,1711,,True,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,08-07-2020 19:17:14,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0435,29920,11424,1026,,True,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,08-07-2020 19:17:14,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0828,56990,21760,1955,,True,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,08-07-2020 19:17:14,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2302,158504,60520,5438,,True,2225,,,,,,,,,Amfetamin [White] [Import] 10G
50,08-07-2020 19:17:14,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.046,31358,11973,1075,390,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
51,08-07-2020 19:17:14,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0611,46305,17680,1589,,True,650,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
52,08-07-2020 19:17:14,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2483,170971,65280,5866,,True,2400,,,,,,,,,100 gr marijuana buds
53,08-07-2020 19:17:14,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2587,178095,68000,6110,,True,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
54,08-07-2020 19:17:14,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6104,420304,160480,14420,,True,5900,,,,,,,,,180 gr marihuana persoalno
55,08-07-2020 19:17:14,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8795,605522,231200,20774,,True,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
56,08-07-2020 19:17:14,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0188,14248,5440,489,,True,200,,,,,,,,,KURYER..500RUB.+BONUS
57,08-07-2020 19:17:14,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0259,17809,6800,611,,True,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
58,08-07-2020 19:17:14,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0207,14248,5440,489,,True,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
59,08-07-2020 19:17:14,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0259,17809,6800,611,,True,250,,,,,,,,,Rabota na marki (kur'er)
60,08-07-2020 19:17:14,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5661,1068569,408000,36660,,True,15000,,,,,,,,,Vakansija optovogo kur'era na mef
61,08-07-2020 19:17:14,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0517,35619,13600,1222,,,500,,,True,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
62,08-07-2020 19:21:07,Batumi,5HQU,LIKEaBOSS,Golosa(GHS)+ DOS-vi-DOS 2g,,5,нет,Батуми,2 гр,0.0188,14248,5440,489,,,200,,,,,,,True,,Golosa(GHS)+ DOS-vi-DOS 2g
63,08-07-2020 19:21:07,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.046,31358,11973,1075,390,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
64,08-07-2020 19:21:07,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0495,33771,12894,1158,420,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
65,08-07-2020 19:21:07,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1642,112990,51992,3828,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
66,08-07-2020 19:21:07,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.26,178900,82321,6061,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
67,08-07-2020 19:21:07,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7124,2720,244,,,100,,,,,,,True,,kur'er v Batumi
68,08-07-2020 19:21:07,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0235,17809,6800,611,,,250,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
69,08-07-2020 19:21:07,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0235,17809,6800,611,,,250,,,,,,,True,,Ischu kur'era v Gruzii!
70,08-07-2020 19:21:07,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0207,14248,5440,489,,,200,,,,,,,True,,Kur'er Batumi na marihuanu
71,08-07-2020 19:21:07,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5669,1068569,408000,36660,,,15000,,,,,,,True,,Vakansija optovogo kur'era na mef
72,08-07-2020 19:21:07,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0518,35619,13600,1222,,,500,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
