,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Vake,$,Тбилиси,Tbilisis Zgva,Saburtalo,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
45,45,12-06-2020 07:33:18,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0821,54537,21106,1874,,,789.0,True,,,,,,,,,💘✨10gram MDMA ✨💘
46,46,12-06-2020 07:33:18,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0384,25506,9871,876,,,369.0,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,47,12-06-2020 07:33:18,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,11 гр,0.0363,24193,9363,831,,,350.0,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
48,48,12-06-2020 07:33:18,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1406,103683,40125,3562,,,1500.0,True,,,,,,,,,✨💘20g MDMA💘✨
49,49,12-06-2020 07:33:18,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0624,41404,16023,1423,,,599.0,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,50,12-06-2020 07:33:18,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1339,89789,34748,3085,,,1299.0,True,,,,,,,,,50 gr georgian weed. Package on magnet
51,51,12-06-2020 07:33:18,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2576,172736,66848,5935,,,2499.0,True,,,,,,,,,100 gr georgian weed. Package on magnet
52,52,12-06-2020 07:33:18,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2474,165893,64200,5700,,,2400.0,True,,,,,,,,,100 gr marijuana buds
53,53,12-06-2020 07:33:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2061,138244,53500,4750,,,2000.0,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
54,54,12-06-2020 07:33:18,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2577,172805,66875,5937,,,2500.0,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,55,12-06-2020 07:33:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 150шт. вес таблетки 450mg,,нет,1,Тбилиси,150 гр,0.2783,186629,72225,6412,,,2700.0,True,,,,,,,,,Extasy GUCCI 150sht. ves tabletki 450mg
56,56,12-06-2020 07:33:18,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6081,407819,157825,14011,,,5900.0,True,,,,,,,,,180 gr marihuana persoalno
57,57,12-06-2020 07:33:18,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.442,293768,113688,10093,,,4250.0,True,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
58,58,12-06-2020 07:33:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4741,317961,123050,10924,,,4600.0,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
59,59,12-06-2020 07:33:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.773,518414,200625,17811,,,7500.0,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
60,60,12-06-2020 07:33:18,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8761,587536,227375,20186,,,8500.0,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
61,61,12-06-2020 07:33:18,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0187,13824,5350,475,,,200.0,True,,,,,,,,,KURYER..500RUB.+BONUS
62,62,12-06-2020 07:33:18,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0206,13824,5350,475,,,200.0,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
63,63,12-06-2020 07:33:18,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5601,1036829,401250,35622,,,15000.0,True,,,,,,,,,Vakansija optovogo kur'era na mef
64,64,12-06-2020 07:34:52,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1685,112990,51992,3885,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
65,65,12-06-2020 07:34:52,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2668,178900,82321,6152,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
66,66,12-06-2020 07:34:52,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,6912,2675,237,,,100.0,,,,,,,True,,,kur'er v Batumi
67,67,12-06-2020 07:34:52,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0234,17280,6688,594,,,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
68,68,12-06-2020 07:34:52,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0234,17280,6688,594,,,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
69,69,12-06-2020 07:34:52,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0206,13824,5350,475,,,200.0,,,,,,,True,,,Kur'er Batumi na marihuanu
70,70,12-06-2020 07:34:52,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5601,1036829,401250,35622,,,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
71,71,12-06-2020 07:34:52,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0515,34561,13375,1187,,,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
72,72,12-06-2020 07:36:28,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,1 гр,0.0026,1728,669,59,,,25.0,,,,,,,,,True,Rabota na marki (kur'er)
