,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Didube,Varketili,Vake,Центр,Батуми,desc_en
45,45,01-08-2020 14:47:30,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0228,19825,7522,658,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
46,46,01-08-2020 14:47:30,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0232,20192,7662,670,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
47,47,01-08-2020 14:47:30,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0202,17622,6686,585,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
48,48,01-08-2020 14:47:30,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0236,20559,7801,683,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
49,49,01-08-2020 14:47:30,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0228,19825,7522,658,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
50,50,01-08-2020 14:47:30,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0168,16080,6101,534,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,51,01-08-2020 14:47:30,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0184,17622,6686,585,240.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
52,52,01-08-2020 14:47:30,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0184,17622,6686,585,240.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
53,53,01-08-2020 14:47:30,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0198,17255,6547,573,235.0,,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
54,54,01-08-2020 14:47:30,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0228,19825,7522,658,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,55,01-08-2020 14:47:30,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1984,190000,87429,6300,,,,,,,,,,,,,reagent 25i nbome. 5gr
56,56,01-08-2020 14:47:30,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2301,220278,83580,7313,3000.0,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,57,01-08-2020 14:47:30,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0464,40384,15323,1341,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
58,58,01-08-2020 14:47:30,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.059000000000000004,51398,19502,1706,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,59,01-08-2020 14:47:30,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0354,30839,11701,1024,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,60,01-08-2020 14:47:30,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0675,58741,22288,1950,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
61,61,01-08-2020 14:47:30,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,5,Тбилиси,10 гр,0.0354,30839,11701,1024,420.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
62,62,01-08-2020 14:47:30,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1877,163373,61989,5423,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
63,63,01-08-2020 14:47:30,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0445,38407,14524,1276,,,,,440.0,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
64,64,01-08-2020 14:47:30,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0395,34043,12874,1131,,,,,390.0,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
65,65,01-08-2020 14:47:30,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0498,47727,18109,1584,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
66,66,01-08-2020 14:47:30,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2025,176223,66864,5850,2400.0,,,,,,,,,,,,100 gr marijuana buds
67,67,01-08-2020 14:47:30,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,2,Тбилиси,100 гр,0.0084,7269,2758,241,99.0,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
68,68,01-08-2020 14:47:30,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2109,183565,69650,6094,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,01-08-2020 14:47:30,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4977,433214,164374,14381,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
70,70,01-08-2020 14:48:47,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0207,18000,8283,597,,,,,,,,True,,,,,GABAGAMA 250 shtuk
71,71,01-08-2020 14:48:47,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,3,Тбилиси,500 гр,0.0845,73426,27860,2438,1000.0,True,,,,,True,,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
72,72,01-08-2020 14:48:47,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7182,624122,236810,20719,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,73,01-08-2020 14:48:47,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0154,14685,5572,488,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
74,74,01-08-2020 14:48:47,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0211,18357,6965,609,250.0,True,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
75,75,01-08-2020 14:48:47,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0211,18357,6965,609,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,76,01-08-2020 14:48:47,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0461,44056,16716,1463,600.0,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
77,77,01-08-2020 14:48:47,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0169,14685,5572,488,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,78,01-08-2020 14:48:47,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0211,18357,6965,609,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
79,79,01-08-2020 14:48:47,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0422,36713,13930,1219,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
