,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
12,12,16-03-2020 22:27:38,Tbilisi,99accec7c7,MDMA 1gr лучший товар на площадке!,,3,нет,Тбилиси,1 гр,0.0191,8154,3053,257,110.0,True,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
13,13,16-03-2020 22:27:38,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,5,нет,Тбилиси,1 гр,0.0867,40769,15263,1287,550.0,,,,,,,,,,,Metadon VHQ 1 24/7
14,14,16-03-2020 22:27:38,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0331,14751,5522,466,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
15,15,16-03-2020 22:27:38,Tbilisi,99accec7c7,cocaine 1gr СУПЕР COCA!!!,,6,нет,Тбилиси,1 гр,0.0315,14825,5550,468,200.0,True,,,,,,,,,,cocaine 1gr SUPER COCA!!!
16,16,16-03-2020 22:27:38,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0324,14010,5245,442,189.0,,,,,,,,,,,Kokain HQ 1g.
17,17,16-03-2020 22:27:38,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1419,66714,24975,2106,900.0,,,,,,,,,,,Metadon 1gr
18,18,16-03-2020 22:27:38,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,4,нет,Тбилиси,1 гр,0.0032,1483,555,47,20.0,,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
19,19,16-03-2020 22:27:38,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,16,нет,Тбилиси,2 гр,0.0142,6671,2498,211,90.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
20,20,16-03-2020 22:27:38,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,2 гр,0.0137,5856,2192,185,79.0,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
21,21,16-03-2020 22:27:38,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0138,5856,2192,185,79.0,,,True,,,,,,,,2g super Skunk top class buds. Indica
22,22,16-03-2020 22:27:38,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0631,26685,9990,842,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
23,23,16-03-2020 22:27:38,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0615,28909,10823,913,390.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
24,24,16-03-2020 22:27:38,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,2,нет,Тбилиси,2 гр,0.0055,2594,971,82,35.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
25,25,16-03-2020 22:27:38,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0464,20687,7693,654,,,,,250.0,,,,,,,3 gr mdma (skidka v bitkoin 5%)
26,26,16-03-2020 22:27:38,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0184,7783,2914,246,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
27,27,16-03-2020 22:27:38,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0505,23720,8880,749,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
28,28,16-03-2020 22:27:38,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0515,22238,8325,702,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
29,29,16-03-2020 22:27:38,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0632,28134,10462,889,,,,,340.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
30,30,16-03-2020 22:27:38,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.0307,12972,4856,410,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
31,31,16-03-2020 22:27:38,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1365,58337,21839,1842,787.0,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
32,32,16-03-2020 22:27:38,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,2,нет,Тбилиси,5 гр,0.0268,12601,4718,398,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
33,33,16-03-2020 22:27:38,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,12,нет,Тбилиси,5 гр,0.0102,4818,1804,152,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
34,34,16-03-2020 22:29:15,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0564,24091,9019,761,325.0,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
35,35,16-03-2020 22:29:15,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0633,27056,10129,854,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
36,36,16-03-2020 22:29:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0463,19792,7409,625,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,37,16-03-2020 22:29:15,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,10 гр,0.0156,7339,2747,232,99.0,,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
38,38,16-03-2020 22:29:15,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0666,29650,11100,936,400.0,,,,,,,,,,,gashish evro 10g
39,39,16-03-2020 22:29:15,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,11 гр,0.1101,47070,17621,1486,635.0,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
40,40,16-03-2020 22:29:15,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),True,15,5,Тбилиси,0.27 гр,0.0398,16827,6299,531,227.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
41,41,16-03-2020 22:29:15,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,1,1,Тбилиси,0.35 гр,0.0399,17049,6383,538,230.0,,,,,,,,,,,Methadone HQ in city 0.35g
42,42,16-03-2020 22:29:15,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,3,Тбилиси,1.1 гр,0.1139,48182,18038,1521,650.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
43,43,16-03-2020 22:29:15,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.1033,43734,16373,1381,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
44,44,16-03-2020 22:29:15,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0694,29650,11100,936,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,45,16-03-2020 22:29:15,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0954,40769,15263,1287,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
46,46,16-03-2020 22:29:15,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0271,11564,4329,365,156.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
47,47,16-03-2020 22:29:15,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0345,14751,5522,466,199.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
48,48,16-03-2020 22:29:15,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0277,11860,4440,374,160.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
49,49,16-03-2020 22:29:15,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0345,14751,5522,466,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
50,50,16-03-2020 22:29:15,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0345,14751,5522,466,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
51,51,16-03-2020 22:29:15,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0251,10748,4024,339,145.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,52,16-03-2020 22:29:15,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0345,16234,6077,513,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,53,16-03-2020 22:29:15,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0525,22238,8325,702,300.0,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
54,54,16-03-2020 22:29:15,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,9,Тбилиси,5 гр,0.026000000000000002,11119,4163,351,150.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,55,16-03-2020 22:29:15,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0315,14825,5550,468,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
56,56,16-03-2020 22:29:15,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.4041,190000,87429,6072,,,,,,,,,,,,reagent 25i nbome. 5gr
57,57,16-03-2020 22:29:15,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.473,222379,83250,7021,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
58,58,16-03-2020 22:29:15,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1505,63674,23837,2010,859.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
59,59,16-03-2020 22:29:15,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0324,13713,5134,433,185.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
60,60,16-03-2020 22:29:15,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0857,36248,13570,1144,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
61,61,16-03-2020 22:29:15,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0576,24388,9130,770,329.0,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
62,62,16-03-2020 22:29:15,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0315,13343,4995,421,180.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
63,63,16-03-2020 22:29:15,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1561,66714,24975,2106,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
64,64,16-03-2020 22:29:15,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1214,51888,19425,1638,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
65,65,16-03-2020 22:29:15,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0692,29576,11072,934,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
66,66,16-03-2020 22:30:13,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0613,25944,9713,819,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
67,67,16-03-2020 22:30:13,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1387,59301,22200,1872,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
68,68,16-03-2020 22:30:13,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3859,164931,61744,5207,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
69,69,16-03-2020 22:30:13,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2538,107409,40210,3391,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
70,70,16-03-2020 22:30:13,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0646,27353,10240,864,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
71,71,16-03-2020 22:30:13,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0524,22164,8297,700,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
72,72,16-03-2020 22:30:13,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.1049,44402,16622,1402,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,73,16-03-2020 22:30:13,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1892,88951,33300,2808,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
74,74,16-03-2020 22:30:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3468,148252,55500,4680,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
75,75,16-03-2020 22:30:13,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3503,148252,55500,4680,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
76,76,16-03-2020 22:30:13,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4336,185316,69375,5851,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
77,77,16-03-2020 22:30:13,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2627,111189,41625,3510,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
78,78,16-03-2020 22:30:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7977,340981,127650,10765,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,79,16-03-2020 22:30:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.3007,555947,208125,17552,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,80,16-03-2020 22:30:13,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.4741,630073,235875,19892,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,16-03-2020 22:30:13,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0315,14825,5550,468,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
82,82,16-03-2020 22:30:13,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0236,11119,4163,351,150.0,,,,,,,,,,,Rabota na marki (kur'er)
83,83,16-03-2020 22:30:13,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0347,14825,5550,468,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,84,16-03-2020 22:30:13,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0434,18532,6938,585,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,85,16-03-2020 22:30:13,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.625,1111893,416250,35103,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
86,86,16-03-2020 22:31:17,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2601,111189,41625,3510,1500.0,,,,,,,,True,,,Skunk! 50 gr.
87,87,16-03-2020 22:31:17,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0315,14825,5550,468,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
88,88,16-03-2020 22:31:17,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3503,148252,55500,4680,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
89,89,16-03-2020 22:31:17,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2627,111189,41625,3510,1500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
90,90,16-03-2020 22:31:17,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0158,7413,2775,234,100.0,,,,,,,,True,,,kur'er v Batumi
91,91,16-03-2020 22:31:17,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0394,18532,6938,585,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
92,92,16-03-2020 22:31:17,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0236,11119,4163,351,150.0,,,,,,,,True,,,Rabota na marki (kur'er)
93,93,16-03-2020 22:31:17,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0394,18532,6938,585,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
94,94,16-03-2020 22:31:17,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.625,1111893,416250,35103,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
95,95,16-03-2020 22:31:17,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0867,37063,13875,1170,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
96,96,16-03-2020 22:32:47,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0235,11119,4163,351,150.0,,,,,,,,,,True,Rabota na marki (kur'er)
