,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
37,37,12-03-2020 08:49:32,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0194,11364,4214,368,159.0,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
38,38,12-03-2020 08:49:32,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.019,11078,4108,359,155.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
39,39,12-03-2020 08:49:32,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0352,22871,8480,741,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
40,40,12-03-2020 08:49:32,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0494,30383,11269,983,,,375.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
41,41,12-03-2020 08:49:32,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),True,5,нет,Тбилиси,5 гр,0.0153,9935,3684,322,139.0,True,,,,,,,,,5gr georgian indica (hight quality)
42,42,12-03-2020 08:49:32,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,4,нет,Тбилиси,5 гр,0.018000000000000002,10721,3975,347,150.0,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
43,43,12-03-2020 08:49:32,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.0953,56248,20856,1821,787.0,,,,True,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
44,44,12-03-2020 08:49:32,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0187,12150,4505,393,170.0,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
45,45,12-03-2020 08:49:32,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0194,11364,4214,368,159.0,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
46,46,12-03-2020 08:49:32,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,9,нет,Тбилиси,5 гр,0.0072,4646,1723,150,65.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
47,47,12-03-2020 08:49:32,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0532,31734,11766,1027,444.0,,,,True,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
48,48,12-03-2020 08:49:32,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0442,26087,9673,845,365.0,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
49,49,12-03-2020 08:49:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0323,19083,7076,618,267.0,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
50,50,12-03-2020 08:49:32,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0109,7076,2624,229,99.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
51,51,12-03-2020 08:49:32,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0465,28589,10600,926,400.0,,,,,,,,,,gashish evro 10g
52,52,12-03-2020 08:49:32,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1027,60608,22472,1962,848.0,,,,True,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
53,53,12-03-2020 08:49:32,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,8,5,Тбилиси,0.27 гр,0.033,19297,7155,625,270.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
54,54,12-03-2020 08:49:32,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.043,25658,9514,831,359.0,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
55,55,12-03-2020 08:49:32,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0722,42168,15635,1365,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
56,56,12-03-2020 08:49:32,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0484,28589,10600,926,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
57,57,12-03-2020 08:49:32,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0666,39310,14575,1273,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
58,58,12-03-2020 08:49:32,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0189,11150,4134,361,156.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
59,59,12-03-2020 08:49:32,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0241,14223,5274,461,199.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
60,60,12-03-2020 08:49:32,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0194,11436,4240,370,160.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
61,61,12-03-2020 08:49:32,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0241,14223,5274,461,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
62,62,12-03-2020 08:49:32,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0241,14223,5274,461,199.0,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
