,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Nadzaladevi,Old Tbilisi (Старый город),Vake,Gldani,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
69,04-04-2020 01:20:37,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0274,14769,5254,492,190,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
70,04-04-2020 01:20:37,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0705,38011,13521,1266,489,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
71,04-04-2020 01:20:37,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0272,14691,5226,489,189,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
72,04-04-2020 01:20:37,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1284,69959,24885,2330,900,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
73,04-04-2020 01:20:37,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0999,54413,19355,1813,700,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
74,04-04-2020 01:20:37,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0456,24874,8848,829,320,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
75,04-04-2020 01:20:37,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1141,62186,22120,2071,800,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
76,04-04-2020 01:20:37,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3174,172955,61521,5761,2225,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
77,04-04-2020 01:20:37,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2088,112634,40065,3752,1449,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
78,04-04-2020 01:20:37,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0532,28683,10203,955,369,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
79,04-04-2020 01:20:37,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0431,23242,8267,774,299,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
80,04-04-2020 01:20:37,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,8,Тбилиси,20 гр,0.0712,38789,13797,1292,499,True,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
81,04-04-2020 01:20:37,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0863,46562,16562,1551,599,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
