,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Vazisubani,Zahesi,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
40,04-07-2020 13:17:16,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,8,Тбилиси,2 гр,0.0095,6345,2462,218,,True,90,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
41,04-07-2020 13:17:16,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,9,Тбилиси,2 гр,0.053,35179,13648,1208,,True,499,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
42,04-07-2020 13:17:16,Tbilisi,A3I9,Joookerrr,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0089,5942,2295,205,75,True,,,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
43,04-07-2020 13:17:16,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,3,Тбилиси,3 гр,0.0126,8460,3282,291,,True,120,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
44,04-07-2020 13:17:16,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,20,Тбилиси,3 гр,0.0796,52875,20513,1816,,True,750,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
45,04-07-2020 13:17:16,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,5,Тбилиси,4 гр,0.0421,28200,10940,969,,True,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,04-07-2020 13:17:16,Tbilisi,A3I9,Joookerrr,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,8,Тбилиси,4 гр,0.0126,8460,3282,291,,True,120,,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
47,04-07-2020 13:17:16,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0263,17625,6838,605,,True,250,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
48,04-07-2020 13:17:16,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0578,38775,15043,1332,,True,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
49,04-07-2020 13:17:16,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0284,19035,7385,654,,True,270,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
50,04-07-2020 13:17:16,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0294,19740,7658,678,,True,280,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
51,04-07-2020 13:17:16,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0289,19387,7521,666,,True,275,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
52,04-07-2020 13:17:16,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0252,16920,6564,581,,True,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
53,04-07-2020 13:17:16,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0294,19740,7658,678,,True,280,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
