,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,desc_en
18,18,23-04-2020 15:32:01,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,2,Тбилиси,5 гр,0.0219,12021,4352,399,160.0,,,,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
19,19,23-04-2020 15:32:01,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0752,41321,14960,1372,550.0,,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
20,20,23-04-2020 15:32:01,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0232,12772,4624,424,170.0,,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
21,21,23-04-2020 15:32:01,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0272,14951,5413,496,199.0,,,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
22,22,23-04-2020 15:32:01,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0272,14951,5413,496,199.0,,,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
23,23,23-04-2020 15:32:01,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0272,16453,5957,546,219.0,,,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
24,24,23-04-2020 15:32:01,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0272,14951,5413,496,199.0,,,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
25,25,23-04-2020 15:32:01,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3142,190000,87429,6167,,,,,,,,,,,,,,,,reagent 25i nbome. 5gr
26,26,23-04-2020 15:32:01,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3727,225387,81600,7485,3000.0,,,,,,True,True,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
27,27,23-04-2020 15:32:01,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1199,65287,23637,2168,869.0,,,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
28,28,23-04-2020 15:32:01,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0261,14199,5141,472,189.0,,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
29,29,23-04-2020 15:32:01,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0262,14275,5168,474,190.0,,,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
30,30,23-04-2020 15:32:01,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0675,36738,13301,1220,489.0,,,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
31,31,23-04-2020 15:32:01,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0261,14199,5141,472,189.0,,,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
32,32,23-04-2020 15:32:01,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.12300000000000001,67616,24480,2245,900.0,,,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
33,33,23-04-2020 15:32:36,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1226,67616,24480,2245,900.0,,,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
34,34,23-04-2020 15:32:36,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0954,52590,19040,1746,700.0,,,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
35,35,23-04-2020 15:32:36,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0436,24041,8704,798,320.0,,,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
36,36,23-04-2020 15:32:36,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.109,60103,21760,1996,800.0,,,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
37,37,23-04-2020 15:32:36,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3031,167162,60520,5551,2225.0,,,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
38,38,23-04-2020 15:32:36,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1994,108862,39413,3615,1449.0,,,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
39,39,23-04-2020 15:32:36,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0508,27723,10037,921,369.0,,,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
40,40,23-04-2020 15:32:36,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0411,22464,8133,746,299.0,,,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
41,41,23-04-2020 15:32:36,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0552,30427,11016,1010,405.0,,,,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
42,42,23-04-2020 15:32:36,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0824,45002,16293,1494,599.0,,,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
43,43,23-04-2020 15:32:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1498,82642,29920,2744,1100.0,,,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
44,44,23-04-2020 15:32:36,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3269,180310,65280,5988,2400.0,,,,,,,,,,,,,,,100 gr marijuana buds
45,45,23-04-2020 15:32:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2724,150258,54400,4990,2000.0,,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
46,46,23-04-2020 15:32:36,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3405,187823,68000,6237,2500.0,,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
47,47,23-04-2020 15:32:36,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8037,443261,160480,14720,5900.0,,,,,,,,,,,,,,,180 gr marihuana persoalno
48,48,23-04-2020 15:32:36,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4291,236656,85680,7859,3150.0,,,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
49,49,23-04-2020 15:32:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6266,345593,125120,11477,4600.0,,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
50,50,23-04-2020 15:32:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0216,563468,204000,18712,7500.0,,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
51,51,23-04-2020 15:32:36,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1579,638597,231200,21207,8500.0,,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
52,52,23-04-2020 15:32:36,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0248,15026,5440,499,200.0,,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
53,53,23-04-2020 15:32:36,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0272,15026,5440,499,200.0,,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
54,54,23-04-2020 15:32:36,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0272,15026,5440,499,200.0,,,,,,,,,,,,,,,Rabota na marki (kur'er)
55,55,23-04-2020 15:32:36,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0618,1126935,408000,37424,15000.0,,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
56,56,23-04-2020 15:34:17,Batumi,54915c4374,Батуми н-бооом 1 штука,,2,нет,Батуми,1 гр,0.0024,1461,531,49,,,,,,,,,,,,,18.0,True,,Batumi n-booom 1 shtuka
57,57,23-04-2020 15:34:17,Batumi,54915c4374,Батуми н-бооом 2 штуки,,4,нет,Батуми,2 гр,0.0047,2597,944,86,,,,,,,,,,,,,32.0,True,,Batumi n-booom 2 shtuki
58,58,23-04-2020 15:34:17,Batumi,54915c4374,Батуми н-бооом 4 штуки,,4,нет,Батуми,4 гр,0.0074,4463,1623,149,,,,,,,,,,,,,55.0,True,True,Batumi n-booom 4 shtuki
59,59,23-04-2020 15:34:17,Batumi,54915c4374,Батуми н-бооом 5 штук,,4,нет,Батуми,5 гр,0.008,4869,1770,162,,,,,,,,,,,,,60.0,True,,Batumi n-booom 5 shtuk
60,60,23-04-2020 15:34:17,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3001,165284,59840,5489,2200.0,,,,,,,,,,,,,True,,[100g] SPAIN HASH
61,61,23-04-2020 15:34:17,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0124,7513,2720,249,100.0,,,,,,,,,,,,,True,,kur'er v Batumi
62,62,23-04-2020 15:34:17,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.031,18782,6800,624,250.0,,,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
63,63,23-04-2020 15:34:17,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.031,18782,6800,624,250.0,,,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
64,64,23-04-2020 15:34:17,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0648,1126935,408000,37424,15000.0,,,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
65,65,23-04-2020 15:34:17,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0682,37565,13600,1247,500.0,,,,,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
