,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,€,Центр,desc_en
73,15-08-2020 18:22:11,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0243,21000,9663,705,,,,,,,True,,,,,,GABAGAMA 250 shtuk
74,15-08-2020 18:22:11,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.72,622333,234600,20879,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,15-08-2020 18:22:11,Tbilisi,XUYA,MRweed,Курьер Тбилиси,True,1,нет,Тбилиси,1 гр,0.0308,29286,11040,983,400,,,,,,,,,,,,Kur'er Tbilisi
76,15-08-2020 18:22:11,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0212,18304,6900,614,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,15-08-2020 18:22:11,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0169,14643,5520,491,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,15-08-2020 18:22:11,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0212,18304,6900,614,250,,,,,,,,,,,,Rabota na marki (kur'er)
79,15-08-2020 18:22:11,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0424,36608,13800,1228,500,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
80,15-08-2020 18:22:11,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0424,36608,13800,1228,500,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
81,15-08-2020 18:22:11,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2822,1098236,414000,36846,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
82,15-08-2020 18:22:11,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0424,36608,13800,1228,500,,,,True,,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
83,15-08-2020 18:22:11,Tbilisi,ALISA,AlisaMSK,верифицированный аккаунт на localbitcoins 1 шт,True,нет,2,Тбилиси,1 гр,0.0035,3000,1380,101,,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
84,15-08-2020 18:22:11,Tbilisi,ALISA,AlisaMSK,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0085,7322,2760,246,100,,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
85,15-08-2020 18:24:02,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,1,нет,Батуми,0.3 гр,0.0257,21965,8280,737,300,,,,,,,,,True,,,METADON - 0.30 - SALE
86,15-08-2020 18:24:02,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,4,нет,Батуми,2 гр,0.0028,2416,911,81,33,,,,,,,,,True,,,Melkie shishki (Indica) 2g
87,15-08-2020 18:24:02,Batumi,5HQU,LIKEaBOSS,ASTRAL 15g,,1,нет,Батуми,15 гр,0.0706,62233,23460,2088,850,,,,,,,,,True,,,ASTRAL 15g
88,15-08-2020 18:24:02,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0403,34477,13007,1157,,,,,,,,,,True,399,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
89,15-08-2020 18:24:02,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0393,33700,12714,1131,,,,,,,,,,True,390,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
90,15-08-2020 18:24:02,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0193,18304,6900,614,250,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
91,15-08-2020 18:24:02,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0193,18304,6900,614,250,,,,,,,,,True,,,Ischu kur'era v Gruzii!
92,15-08-2020 18:24:02,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.017,14643,5520,491,200,,,,,,,,,True,,,Kur'er Batumi na marihuanu
93,15-08-2020 18:24:02,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2837,1098236,414000,36846,15000,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
94,15-08-2020 18:24:02,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0424,36608,13800,1228,500,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
