,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Gldani,Didube,Авлобари,Батуми,Центр,desc_en
10,10,11-03-2020 05:14:54,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0207,12892,4625,415,179.0,,,,,,,,,Cocaine Pure VHQ 1g
11,11,11-03-2020 05:14:54,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,2,нет,Тбилиси,1 гр,0.0054,3241,1163,104,45.0,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
12,12,11-03-2020 05:14:54,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.023,13612,4884,439,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
13,13,11-03-2020 05:14:54,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,1,нет,Тбилиси,1 гр,0.0153,10083,3618,325,140.0,,,,,,,,,NZT-52 mind storm limited 1g muka
14,14,11-03-2020 05:14:54,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.023,14332,5142,462,199.0,,,,,,,,,VHQ BEST Cocaine 1g.
15,15,11-03-2020 05:14:54,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0225,13612,4884,439,189.0,,,,,,,,,Kokain HQ 1g.
16,16,11-03-2020 05:14:54,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0216,12892,4625,415,179.0,,True,,,,,,,Kokain KOLUMBIA 1g
17,17,11-03-2020 05:14:54,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0985,64819,23256,2089,900.0,,,,,,,,,Metadon 1gr
18,18,11-03-2020 05:14:54,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,3,нет,Тбилиси,1 гр,0.0219,12964,4651,418,180.0,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
19,19,11-03-2020 05:14:54,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,2 гр,0.0236,14735,5279,474,,,,180.0,,,,,,2 gr mdma (skidka v bitkoin 5%)
20,20,11-03-2020 05:14:54,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,2 гр,0.0095,5690,2041,183,79.0,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
21,21,11-03-2020 05:14:54,Tbilisi,64284550d9,2G ---> INDICA,,26,нет,Тбилиси,2 гр,0.0079,4825,1731,156,67.0,True,,,,,,,,2G ---> INDICA
22,22,11-03-2020 05:14:54,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0101,5978,2145,193,83.0,,,,True,,,,,2g super Skunk top class buds. Indica
23,23,11-03-2020 05:14:54,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.0438,25927,9302,835,360.0,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
24,24,11-03-2020 05:14:54,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,2,нет,Тбилиси,2 гр,0.0038,2521,904,81,35.0,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
25,25,11-03-2020 05:14:54,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0438,27296,9793,880,379.0,,,,,,,,,Kokain HQ 2g.
26,26,11-03-2020 05:14:54,Tbilisi,64284550d9,3G ---> INDICA,,21,нет,Тбилиси,3 гр,0.0102,6698,2403,216,93.0,True,,,,,,,,3G ---> INDICA
27,27,11-03-2020 05:14:54,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0193,11451,4109,369,159.0,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
28,28,11-03-2020 05:14:54,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0189,11163,4005,360,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
29,29,11-03-2020 05:14:54,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.035,23047,8269,743,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
30,30,11-03-2020 05:14:54,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0493,30697,10999,988,,,,375.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
31,31,11-03-2020 05:14:54,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),True,6,нет,Тбилиси,5 гр,0.0152,10011,3592,323,139.0,,True,,,,,,,5gr georgian indica (hight quality)
32,32,11-03-2020 05:14:54,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0213,12604,4522,406,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
33,33,11-03-2020 05:14:54,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,5,нет,Тбилиси,5 гр,0.0179,10803,3876,348,150.0,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
34,34,11-03-2020 05:15:33,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,5,нет,Тбилиси,5 гр,0.0179,10803,3876,348,150.0,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
35,35,11-03-2020 05:15:33,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.044000000000000004,26288,9432,847,365.0,,,,,True,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
36,36,11-03-2020 05:15:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0322,19230,6899,620,267.0,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,37,11-03-2020 05:15:33,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0462,28808,10336,928,400.0,,,,,,,,,gashish evro 10g
38,38,11-03-2020 05:15:33,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,8,5,Тбилиси,0.27 гр,0.0328,19446,6977,627,270.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
39,39,11-03-2020 05:15:33,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,нет,2,Тбилиси,0.35 гр,0.0277,16565,5943,534,230.0,,,,,,,,,Methadone HQ in city 0.35g
40,40,11-03-2020 05:15:33,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0718,42492,15246,1369,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
41,41,11-03-2020 05:15:33,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0482,28808,10336,928,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
42,42,11-03-2020 05:15:33,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0662,39611,14212,1276,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
43,43,11-03-2020 05:15:33,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0188,11235,4031,362,156.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
44,44,11-03-2020 05:15:33,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.024,14332,5142,462,199.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
45,45,11-03-2020 05:15:33,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0193,11523,4134,371,160.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
46,46,11-03-2020 05:15:33,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.024,14332,5142,462,199.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,47,11-03-2020 05:15:33,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.024,14332,5142,462,199.0,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
48,48,11-03-2020 05:15:33,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0175,10443,3747,337,145.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
49,49,11-03-2020 05:15:33,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.024,15773,5659,508,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
50,50,11-03-2020 05:15:33,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0243,14404,5168,464,200.0,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
51,51,11-03-2020 05:15:33,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0181,10803,3876,348,150.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
52,52,11-03-2020 05:15:33,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0219,14404,5168,464,200.0,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
53,53,11-03-2020 05:15:33,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2888,190000,87429,6120,,,,,,,,,,reagent 25i nbome. 5gr
54,54,11-03-2020 05:15:33,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3285,216062,77520,6962,3000.0,,True,,,,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,11-03-2020 05:15:33,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1045,61866,22197,1994,859.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
56,56,11-03-2020 05:15:33,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0225,13324,4780,429,185.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
57,57,11-03-2020 05:15:33,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0595,35218,12636,1135,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
58,58,11-03-2020 05:15:33,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.04,23695,8501,764,329.0,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
59,59,11-03-2020 05:15:33,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0219,12964,4651,418,180.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
60,60,11-03-2020 05:15:33,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1084,64819,23256,2089,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
61,61,11-03-2020 05:15:33,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0843,50415,18088,1625,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
62,62,11-03-2020 05:15:33,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0481,28736,10310,926,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,63,11-03-2020 05:15:33,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0426,25207,9044,812,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
64,64,11-03-2020 05:15:33,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0964,57617,20672,1857,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
65,65,11-03-2020 05:15:33,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.268,160246,57494,5164,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
66,66,11-03-2020 05:15:33,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1763,104358,37442,3363,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,67,11-03-2020 05:16:08,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0449,26576,9535,856,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,68,11-03-2020 05:16:08,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0364,21534,7726,694,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
69,69,11-03-2020 05:16:08,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0729,43140,15478,1390,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,70,11-03-2020 05:16:08,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0809,50415,18088,1625,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
71,71,11-03-2020 05:16:08,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1314,86425,31008,2785,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
72,72,11-03-2020 05:16:08,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1155,71949,25814,2318,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
73,73,11-03-2020 05:16:08,Tbilisi,28bf667d16,Hashish Ice-o-lator 50g,True,нет,1,Тбилиси,50 гр,0.2529,151244,54264,4874,2100.0,,,,,,,,,Hashish Ice-o-lator 50g
74,74,11-03-2020 05:16:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2409,144042,51680,4642,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
75,75,11-03-2020 05:16:08,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2433,144042,51680,4642,2000.0,,,,,,,,,SUBOXIN - HQ - 100 G.
76,76,11-03-2020 05:16:08,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3011,180052,64600,5802,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
77,77,11-03-2020 05:16:08,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1825,108031,38760,3481,1500.0,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
78,78,11-03-2020 05:16:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5539999999999999,331296,118864,10676,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,79,11-03-2020 05:16:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9033,540156,193800,17406,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,80,11-03-2020 05:16:08,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0237,612177,219640,19727,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,11-03-2020 05:16:08,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0219,14404,5168,464,200.0,,,,,,,,,KURYER..500RUB.+BONUS
82,82,11-03-2020 05:16:08,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0164,10803,3876,348,150.0,,,,,,,,,Rabota na marki (kur'er)
83,83,11-03-2020 05:16:08,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0241,14404,5168,464,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,84,11-03-2020 05:16:08,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0301,18005,6460,580,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,85,11-03-2020 05:16:08,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.8230000000000002,1080312,387600,34812,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
86,86,11-03-2020 05:17:26,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,18,нет,Батуми,1 гр,0.0219,14404,5168,464,200.0,,,,,,,True,,NZT-52 limited 1 g muka
87,87,11-03-2020 05:17:26,Batumi,3ee37c89bb,ORANGE PUNCH [1g],,3,нет,Батуми,1 гр,0.0072,4321,1550,139,60.0,,,,,,,True,,ORANGE PUNCH [1g]
88,88,11-03-2020 05:17:26,Batumi,012f23b5ea,Power Africa 1g,,4,нет,Батуми,1 гр,0.0055,3601,1292,116,50.0,,,,,,,True,,Power Africa 1g
89,89,11-03-2020 05:17:26,Batumi,c72111ac1a,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0394,25927,9302,835,360.0,,,,,,,True,,NZT-52 limited 2g muka
90,90,11-03-2020 05:17:26,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 2G,,1,нет,Батуми,2 гр,0.012,7202,2584,232,100.0,,,,,,,,True,Super Critical HIGHEST QUALITY 2G
91,91,11-03-2020 05:17:26,Batumi,012f23b5ea,Power Africa 2.5 g,,2,нет,Батуми,2.5 гр,0.0115,7562,2713,244,105.0,,,,,,,True,,Power Africa 2.5 g
92,92,11-03-2020 05:17:26,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,1,нет,Батуми,5 гр,0.0301,18005,6460,580,250.0,,,,,,,,True,Super Critical HIGHEST QUALITY 5G
93,93,11-03-2020 05:17:26,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1804,108031,38760,3481,1500.0,,,,,,,True,,Skunk! 50 gr.
94,94,11-03-2020 05:17:26,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,4,4,Батуми,0.27 гр,0.0328,19446,6977,627,270.0,,,,,,,True,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
95,95,11-03-2020 05:17:26,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,2,16,Батуми,5 гр,0.0219,14404,5168,464,200.0,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
96,96,11-03-2020 05:17:26,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.243,144042,51680,4642,2000.0,,,,,,,True,,SUBOXIN - HQ - 100 G.
97,97,11-03-2020 05:17:26,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1822,108031,38760,3481,1500.0,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
98,98,11-03-2020 05:17:26,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0055,3601,1292,116,50.0,,,,,,,True,,kur'er v Batumi
99,99,11-03-2020 05:17:26,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0273,18005,6460,580,250.0,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
100,100,11-03-2020 05:17:26,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0164,10803,3876,348,150.0,,,,,,,True,,Rabota na marki (kur'er)
101,101,11-03-2020 05:17:26,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0273,18005,6460,580,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
102,102,11-03-2020 05:17:26,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.8205,1080312,387600,34812,15000.0,,,,,,,True,,Vakansija optovogo kur'era na mef
103,103,11-03-2020 05:17:26,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0601,36010,12920,1160,500.0,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
