,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,€,Батуми,Центр,Кутаиси,desc_en
24,24,06-05-2020 23:23:13,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,13,нет,Тбилиси,2 гр,0.0094,6584,2407,217,89.0,,,True,,,,True,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
25,25,06-05-2020 23:23:13,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,1,нет,Тбилиси,2 гр,0.0503,35507,12984,1171,480.0,,True,,,,,,,,,,,VHQ BEST Cocaine 2g.
26,26,06-05-2020 23:23:13,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,3,нет,Тбилиси,3 гр,0.0127,8803,3219,290,119.0,,True,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
27,27,06-05-2020 23:23:13,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,,5,нет,Тбилиси,3 гр,0.0138,9616,3517,317,130.0,,True,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
28,28,06-05-2020 23:23:13,Tbilisi,7c395c455d,3 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,3 гр,0.0134,10282,3760,339,139.0,,True,,,,,,,,,,,3 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,29,06-05-2020 23:23:13,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,,1,нет,Тбилиси,3 гр,0.0127,8803,3219,290,119.0,,True,,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
30,30,06-05-2020 23:23:13,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,2,нет,Тбилиси,3 гр,0.0112,7767,2840,256,105.0,,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
31,31,06-05-2020 23:23:13,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,,1,нет,Тбилиси,3 гр,0.0127,8803,3219,290,119.0,,,,True,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
32,32,06-05-2020 23:23:13,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0325,23671,8656,781,320.0,,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
33,33,06-05-2020 23:23:13,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0314,22192,8115,732,300.0,,True,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
34,34,06-05-2020 23:23:13,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),,1,нет,Тбилиси,5 гр,0.0386,28109,10279,927,380.0,,True,,,,,,,,,,,5g MDMA (IMPORTED)
35,35,06-05-2020 23:23:47,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,5 гр,0.0187,12945,4734,427,175.0,,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
36,36,06-05-2020 23:23:47,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 5g (TOP)(VHQ),,4,нет,Тбилиси,5 гр,0.018000000000000002,12575,4599,415,170.0,,True,,,,,,,,,,,THE BEST GAGARIN WEED 5g (TOP)(VHQ)
37,37,06-05-2020 23:23:47,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.11800000000000001,85068,31108,2806,1150.0,,True,,,,,,,,,,,VHQ BEST Cocaine 5g.
38,38,06-05-2020 23:23:47,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,1,3,Тбилиси,5 гр,0.0202,13981,5112,461,189.0,True,True,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
39,39,06-05-2020 23:23:47,Tbilisi,3ea41fd329,"SUBOQSIN ""DNK"" 8ML",,1,нет,Тбилиси,8 гр,0.0106,7397,2705,244,100.0,True,,,,,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
40,40,06-05-2020 23:23:47,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,10 гр,0.0211,14720,5383,486,199.0,True,,,,,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
41,41,06-05-2020 23:23:47,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,,1,нет,Тбилиси,10 гр,0.0349,24411,8927,805,330.0,,True,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
42,42,06-05-2020 23:23:47,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 10g (TOP)(VHQ),,5,нет,Тбилиси,10 гр,0.0349,24411,8927,805,330.0,,True,,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ)
43,43,06-05-2020 23:23:47,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0406,29589,10820,976,400.0,,True,,,,,,,,,,,gashish evro 10g
44,44,06-05-2020 23:23:47,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,5,нет,Тбилиси,20 гр,0.0401,28035,10252,925,379.0,,,,,,,True,True,,,,,20 gr Indica marijuana buds (hight quality)
45,45,06-05-2020 23:23:47,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0789,57476,21018,1896,777.0,,True,,,,,,,,,,,Gashish Evro 20gr
46,46,06-05-2020 23:23:47,Tbilisi,e56bb6ca93,50 гр Марихуана шишки. ИНДИКА,,2,нет,Тбилиси,50 гр,0.0898,62802,22965,2072,849.0,True,,,,,,,,,,,,50 gr Marihuana shishki. INDIKA
47,47,06-05-2020 23:23:47,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1924,147944,54100,4881,2000.0,,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
48,48,06-05-2020 23:23:47,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.1745,121980,44605,4024,1649.0,True,,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
49,49,06-05-2020 23:23:47,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",,нет,3,Тбилиси,0.7 гр,0.0111,7767,2840,256,105.0,,True,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
50,50,06-05-2020 23:23:47,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",,нет,6,Тбилиси,1 гр,0.0169,11836,4328,390,160.0,,True,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
51,51,06-05-2020 23:23:47,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,нет,1,Тбилиси,1 гр,0.0143,9986,3652,329,135.0,,True,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
52,52,06-05-2020 23:23:47,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Тбилиси,1 гр,0.0344,26420,9669,877,,,True,,,,,,,330.0,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
53,53,06-05-2020 23:23:47,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,3,Тбилиси,2 гр,0.0224,15534,5681,512,210.0,,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
54,54,06-05-2020 23:23:47,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,5,Тбилиси,2 гр,0.0394,27296,9981,901,369.0,,True,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
55,55,06-05-2020 23:23:47,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0619,42830,15662,1413,579.0,,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
56,56,06-05-2020 23:23:47,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0423,29589,10820,976,400.0,,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
57,57,06-05-2020 23:23:47,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,,нет,6,Тбилиси,4 гр,0.0064,4438,1623,146,60.0,,True,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
58,58,06-05-2020 23:23:47,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0582,40685,14878,1342,550.0,,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
59,59,06-05-2020 23:23:47,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,10,Тбилиси,5 гр,0.0249,17383,6357,574,235.0,,True,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
60,60,06-05-2020 23:23:47,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,7,Тбилиси,5 гр,0.0254,17753,6492,586,240.0,,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
61,61,06-05-2020 23:23:47,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,5 гр,0.0243,17014,6222,561,230.0,,True,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
62,62,06-05-2020 23:23:47,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,3,Тбилиси,5 гр,0.0254,17753,6492,586,240.0,,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
63,63,06-05-2020 23:23:47,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,5,Тбилиси,5 гр,0.0254,17753,6492,586,240.0,,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
64,64,06-05-2020 23:23:47,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0254,17753,6492,586,240.0,,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
65,65,06-05-2020 23:23:47,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,нет,10,Тбилиси,5 гр,0.0254,17753,6492,586,240.0,,True,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
66,66,06-05-2020 23:23:47,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0243,17014,6222,561,230.0,,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
67,67,06-05-2020 23:23:47,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0211,16200,5924,534,219.0,,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
68,68,06-05-2020 23:23:47,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0249,17383,6357,574,235.0,,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
69,69,06-05-2020 23:24:27,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0249,17383,6357,574,235.0,,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
70,70,06-05-2020 23:24:27,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,,нет,1,Тбилиси,5 гр,0.0169,11836,4328,390,160.0,,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
71,71,06-05-2020 23:24:27,Tbilisi,54915c4374,"Марки Н-ВоооооМ!!!! ""Джокер экспресс"" 5 штук",,нет,71,Тбилиси,5 гр,0.0053,3699,1353,122,50.0,,True,,,,,,,,,,,"Marki N-VoooooM!!!! ""Dzhoker ekspress"" 5 shtuk"
72,72,06-05-2020 23:24:27,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2471,190000,87429,6259,,,True,,,,,,,,,,,reagent 25i nbome. 5gr
73,73,06-05-2020 23:24:27,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.2886,221916,81150,7321,3000.0,,,,,True,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
74,74,06-05-2020 23:24:27,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,9,Тбилиси,5 гр,0.1025,70939,25941,2340,959.0,,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
75,75,06-05-2020 23:24:27,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0203,14055,5140,464,190.0,,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
76,76,06-05-2020 23:24:27,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0523,36172,13227,1193,489.0,,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
77,77,06-05-2020 23:24:27,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0202,13981,5112,461,189.0,,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
78,78,06-05-2020 23:24:27,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,8,Тбилиси,10 гр,0.0106,7397,2705,244,100.0,,True,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
79,79,06-05-2020 23:24:27,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0952,66575,24345,2196,900.0,,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
80,80,06-05-2020 23:24:27,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0423,29589,10820,976,400.0,,True,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
81,81,06-05-2020 23:24:27,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0741,51780,18935,1708,700.0,,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
82,82,06-05-2020 23:24:27,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0339,23671,8656,781,320.0,,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
83,83,06-05-2020 23:24:27,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,нет,40,Тбилиси,10 гр,0.0106,7397,2705,244,100.0,,True,,,,,,,,,,,10G Hybrid Marijuana Leafs
84,84,06-05-2020 23:24:27,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.0847,59178,21640,1952,800.0,,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
85,85,06-05-2020 23:24:27,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,,нет,1,Тбилиси,10 гр,0.0307,21452,7845,708,290.0,,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
86,86,06-05-2020 23:24:27,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2355,164587,60186,5430,2225.0,,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
87,87,06-05-2020 23:24:27,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1666,115322,42171,3805,1559.0,,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
88,88,06-05-2020 23:24:27,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0394,27296,9981,901,369.0,,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
89,89,06-05-2020 23:24:27,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5344,369860,135250,12202,5000.0,,True,,,,,,,,,,,METADON - 20 G.
90,90,06-05-2020 23:24:27,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.064,44309,16203,1462,599.0,,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
91,91,06-05-2020 23:24:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1164,81369,29755,2684,1100.0,,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
92,92,06-05-2020 23:24:27,Tbilisi,d8a8858dfe,VHQ A-PVP [Crystal] 50г.,,нет,1,Тбилиси,50 гр,0.0412,30000,13805,988,,,True,,,,,,,,,,,VHQ A-PVP [Crystal] 50g.
93,93,06-05-2020 23:24:27,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.254,177533,64920,5857,2400.0,,True,,,,,,,,,,,100 gr marijuana buds
94,94,06-05-2020 23:24:27,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,,нет,1,Тбилиси,100 гр,0.3175,221916,81150,7321,3000.0,,True,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
95,95,06-05-2020 23:24:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2116,147944,54100,4881,2000.0,,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
96,96,06-05-2020 23:24:27,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2646,184930,67625,6101,2500.0,,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
97,97,06-05-2020 23:24:27,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6244,436434,159595,14398,5900.0,,True,,,,,,,,,,,180 gr marihuana persoalno
98,98,06-05-2020 23:24:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4868,340271,124430,11226,4600.0,,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
99,99,06-05-2020 23:24:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7937,554789,202875,18303,7500.0,,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
100,100,06-05-2020 23:24:27,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8995,628761,229925,20743,8500.0,,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
101,101,06-05-2020 23:24:27,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0192,14794,5410,488,200.0,,True,,,,,,,,,,,KURYER..500RUB.+BONUS
