,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
33,33,25-05-2020 13:04:05,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0264,17251,6492,576,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
34,34,25-05-2020 13:04:30,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0175,11429,4301,381,159.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
35,35,25-05-2020 13:04:30,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0264,17251,6492,576,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
36,36,25-05-2020 13:04:30,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0264,17251,6492,576,240.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
37,37,25-05-2020 13:04:30,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0253,16533,6222,552,230.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,38,25-05-2020 13:04:30,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0219,15742,5924,525,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,39,25-05-2020 13:04:30,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0258,16892,6357,564,235.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
40,40,25-05-2020 13:04:30,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0275,17970,6763,600,250.0,,,,,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
41,41,25-05-2020 13:04:30,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2643,190000,87429,6351,,,,,,,,,,,,,,reagent 25i nbome. 5gr
42,42,25-05-2020 13:04:30,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2999,215641,81150,7196,3000.0,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
43,43,25-05-2020 13:04:30,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1065,68933,25941,2300,959.0,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
44,44,25-05-2020 13:04:30,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0211,13657,5140,456,190.0,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
45,45,25-05-2020 13:04:30,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0543,35150,13227,1173,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
46,46,25-05-2020 13:04:30,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.021,13585,5112,453,189.0,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
