,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Gldani,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
17,26-05-2020 08:09:47,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0183,13245,5004,444,185,,,,,,,,,,,,,GABAGAMA 150 shtuk
18,26-05-2020 08:09:47,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0107,7009,2651,235,,,,,,,90,,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
19,26-05-2020 08:09:47,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0356,25701,9719,862,,,,,,,330,,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
20,26-05-2020 08:09:47,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0231,15035,5681,504,210,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
21,26-05-2020 08:09:47,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0406,26419,9981,885,369,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
22,26-05-2020 08:09:47,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0637,41454,15662,1389,579,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
23,26-05-2020 08:09:47,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0436,28638,10820,960,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,26-05-2020 08:09:47,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0153,10023,3787,336,140,,,,,,,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
25,26-05-2020 08:09:47,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0599,39378,14878,1320,550,,,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
26,26-05-2020 08:09:47,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0599,39378,14878,1320,550,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,26-05-2020 08:09:47,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0256,16825,6357,564,235,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,26-05-2020 08:09:47,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0261,17183,6492,576,240,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,26-05-2020 08:09:47,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0251,16467,6222,552,230,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
30,26-05-2020 08:09:47,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0173,11384,4301,382,159,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
31,26-05-2020 08:09:47,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0261,17183,6492,576,240,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
32,26-05-2020 08:09:47,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0261,17183,6492,576,240,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,26-05-2020 08:10:19,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.025,16467,6222,552,230,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,26-05-2020 08:10:19,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0217,15680,5924,526,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,26-05-2020 08:10:19,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0256,16825,6357,564,235,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
36,26-05-2020 08:10:19,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0272,17899,6763,600,250,,,,,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
37,26-05-2020 08:10:19,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2627,190000,87429,6368,,,,,,,,,,,,,,reagent 25i nbome. 5gr
38,26-05-2020 08:10:19,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.297,214789,81150,7199,3000,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
39,26-05-2020 08:10:19,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1055,68661,25941,2301,959,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
40,26-05-2020 08:10:19,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0209,13603,5140,456,190,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
41,26-05-2020 08:10:19,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0538,35011,13227,1173,489,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
42,26-05-2020 08:10:19,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0208,13532,5112,454,189,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
43,26-05-2020 08:10:19,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.098,64437,24345,2160,900,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,26-05-2020 08:10:19,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0436,28638,10820,960,400,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
45,26-05-2020 08:10:19,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0762,50117,18935,1680,700,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
46,26-05-2020 08:10:19,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0457,30070,11361,1008,420,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,26-05-2020 08:10:19,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0147,9665,3652,324,135,,,,,,,,,,,,,10G Hybrid Marijuana Leafs
48,26-05-2020 08:10:19,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0871,57277,21640,1920,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,26-05-2020 08:10:19,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2423,159302,60186,5339,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
50,26-05-2020 08:10:19,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1715,111618,42171,3741,1559,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
51,26-05-2020 08:10:19,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0406,26419,9981,885,369,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
52,26-05-2020 08:10:19,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0346,22553,8521,756,315,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
53,26-05-2020 08:10:19,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5499,357981,135250,11998,5000,,,,,,,,,,,,,METADON - 20 G.
54,26-05-2020 08:10:19,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0659,42886,16203,1437,599,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,26-05-2020 08:10:19,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1415,93003,35138,3117,1299,,,,,,,,,,,,,50 gr georgian weed. Package on magnet
56,26-05-2020 08:10:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1198,78756,29755,2639,1100,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
57,26-05-2020 08:10:19,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2721,178919,67598,5996,2499,,,,,,,,,,,,,100 gr georgian weed. Package on magnet
58,26-05-2020 08:10:19,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2613,171831,64920,5759,2400,,,,,,,,,,,,,100 gr marijuana buds
59,26-05-2020 08:10:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2178,143192,54100,4799,2000,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
60,26-05-2020 08:10:19,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2722,178991,67625,5999,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,26-05-2020 08:10:19,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6425,422418,159595,14157,5900,,,,,,,,,,,,,180 gr marihuana persoalno
62,26-05-2020 08:10:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5009,329343,124430,11038,4600,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
63,26-05-2020 08:10:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8167,536972,202875,17996,7500,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
64,26-05-2020 08:10:19,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9256,608568,229925,20396,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,26-05-2020 08:10:19,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0198,14319,5410,480,200,,,,,,,,,,,,,KURYER..500RUB.+BONUS
66,26-05-2020 08:10:19,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0218,14319,5410,480,200,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,26-05-2020 08:10:19,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0272,17899,6763,600,250,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,26-05-2020 08:10:50,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6482,1073943,405750,35993,15000,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
69,26-05-2020 08:12:27,Batumi,Z9UT,Rainbow,шишки марихуаны 5G,,3,нет,Батуми,5 гр,0.0327,21479,8115,720,300,,,,,,,,,,True,,,shishki marihuany 5G
70,26-05-2020 08:12:27,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2398,157512,59510,5279,2200,,,,,,,,,,,True,,[100g] SPAIN HASH
71,26-05-2020 08:12:27,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,3,Батуми,0.5 гр,0.0093,6086,2299,204,85,,,,,,,,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
72,26-05-2020 08:12:27,Batumi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0356,25701,9719,862,,,,,,,330,,,,,True,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
73,26-05-2020 08:12:27,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0491,32218,12173,1080,450,,,,,,,,,,,True,,MDMA !! 3 gramma
74,26-05-2020 08:12:27,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.172,112990,51992,3787,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
75,26-05-2020 08:12:27,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2724,178900,82321,5996,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
76,26-05-2020 08:12:27,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0099,7160,2705,240,100,,,,,,,,,,,True,,kur'er v Batumi
77,26-05-2020 08:12:27,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0248,17899,6763,600,250,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
78,26-05-2020 08:12:27,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0248,17899,6763,600,250,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
79,26-05-2020 08:12:27,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0119,7788,2945,261,,,,,,,100,,,,,True,,Rabota na marki (kur'er)
80,26-05-2020 08:12:27,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6499,1073943,405750,35993,15000,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
81,26-05-2020 08:12:27,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0545,35798,13525,1200,500,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
82,26-05-2020 08:13:53,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0523,34724,13119,1164,485,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,26-05-2020 08:13:53,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,3 гр,0.0267,17899,6763,600,250,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,26-05-2020 08:13:53,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0074,5370,2029,180,75,,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
85,26-05-2020 08:13:53,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.0114,8234,3111,276,115,,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
86,26-05-2020 08:13:53,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0119,7788,2945,261,,,,,,,100,,,,,,True,Rabota na marki (kur'er)
