,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
17,17,30-03-2020 16:46:06,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0097,5364,1967,178,69.0,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
18,18,30-03-2020 16:46:06,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,8,нет,Тбилиси,2 гр,0.0097,5364,1967,178,69.0,,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
19,19,30-03-2020 16:46:06,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,5,нет,Тбилиси,2 гр,0.0112,6141,2252,203,79.0,,True,,,,,,,,,,2g super Skunk top class buds. Indica
20,20,30-03-2020 16:46:06,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0099,5441,1995,180,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
21,21,30-03-2020 16:46:06,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,7,нет,Тбилиси,2 гр,0.046,27984,10260,927,360.0,,,,,,,,,,,,Cocaine Pure VHQ 2 g
22,22,30-03-2020 16:46:06,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!! (в упаковке одна бумага которую вы можете сами ножницей поднлить так как вы считайте нужным! или же если вы старец и имейте большой опыт можно целую,True,4,нет,Тбилиси,2 гр,0.0045,2721,998,90,35.0,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!! (v upakovke odna bumaga kotoruju vy mozhete sami nozhnitsej podnlit' tak kak vy schitajte nuzhnym! ili zhe esli vy starets i imejte bol'shoj opyt mozhno tseluju
23,23,30-03-2020 16:46:06,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,2 гр,0.0045,2721,998,90,35.0,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
24,24,30-03-2020 16:46:06,Tbilisi,4be7861731,metadon hydrochloride 4г,,2,нет,Тбилиси,4 гр,0.0077,4275,1568,142,55.0,True,,,,,,,,,,,metadon hydrochloride 4g
25,25,30-03-2020 16:46:06,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0409,24874,9120,824,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
26,26,30-03-2020 16:46:06,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0417,23320,8550,773,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
27,27,30-03-2020 16:46:06,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,5 гр,0.0232,12826,4703,425,165.0,,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
28,28,30-03-2020 16:46:06,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0342,19720,7257,653,,,,,230.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
29,29,30-03-2020 16:46:06,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.0248,13603,4988,451,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,30-03-2020 16:46:06,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,2,нет,Тбилиси,5 гр,0.102,62108,22772,2058,799.0,,,,,,,,,,,,Cocaine Pure VHQ 5g.
31,31,30-03-2020 16:46:06,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.006999999999999999,4275,1568,142,55.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
32,32,30-03-2020 16:46:06,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,2,нет,Тбилиси,10 гр,0.0336,18578,6812,616,239.0,True,,,,,,,,,,,10 gr marijuana buds. -indica-
33,33,30-03-2020 16:46:06,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.055999999999999994,31015,11372,1028,399.0,True,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
34,34,30-03-2020 16:46:40,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0515,28372,10403,940,365.0,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
35,35,30-03-2020 16:46:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0377,20755,7610,688,267.0,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
36,36,30-03-2020 16:46:40,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0109,6607,2423,219,85.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
37,37,30-03-2020 16:46:40,Tbilisi,c225d2f67d,гашиш евро 10г,True,1,нет,Тбилиси,10 гр,0.0542,31093,11400,1030,400.0,,,,,,,,,,,,gashish evro 10g
38,38,30-03-2020 16:46:40,Tbilisi,be97026d1d,MDMA from Europe!!! 25g SALE!!!,,1,нет,Тбилиси,25 гр,0.1764,97088,35597,3217,1249.0,,,,,,True,,,,,,MDMA from Europe!!! 25g SALE!!!
39,39,30-03-2020 16:46:40,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2567,155465,57000,5151,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,40,30-03-2020 16:46:40,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0513,31093,11400,1030,400.0,,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
41,41,30-03-2020 16:46:40,Tbilisi,f8a875c191,0.25G - METADON - VHQ,True,нет,5,Тбилиси,0.25 гр,0.0357,19433,7125,644,250.0,,,,,,,,,,,,0.25G - METADON - VHQ
42,42,30-03-2020 16:46:40,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,1,2,Тбилиси,2 гр,0.0285,15547,5700,515,200.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
43,43,30-03-2020 16:46:40,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0526,28683,10517,950,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
44,44,30-03-2020 16:46:40,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0841,45862,16815,1519,590.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
45,45,30-03-2020 16:46:40,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0565,31093,11400,1030,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,46,30-03-2020 16:46:40,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0226,12437,4560,412,160.0,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
47,47,30-03-2020 16:46:40,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0777,42753,15675,1416,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
48,48,30-03-2020 16:46:40,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0239,13137,4817,435,169.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
49,49,30-03-2020 16:46:40,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.024,13215,4845,438,170.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
50,50,30-03-2020 16:46:40,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0281,15469,5672,513,199.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
51,51,30-03-2020 16:46:40,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0281,15469,5672,513,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
52,52,30-03-2020 16:46:40,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0281,15469,5672,513,199.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
53,53,30-03-2020 16:46:40,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0281,17023,6242,564,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
54,54,30-03-2020 16:46:40,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0428,23320,8550,773,300.0,,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
55,55,30-03-2020 16:46:40,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0281,15469,5672,513,199.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
56,56,30-03-2020 16:46:40,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,13,Тбилиси,5 гр,0.0257,15547,5700,515,200.0,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
57,57,30-03-2020 16:46:40,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3138,190000,87429,6293,,,,,,,,,,,,,reagent 25i nbome. 5gr
58,58,30-03-2020 16:46:40,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3851,233198,85500,7726,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
59,59,30-03-2020 16:46:40,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1239,67550,24767,2238,869.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
60,60,30-03-2020 16:46:40,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0271,14769,5415,489,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
61,61,30-03-2020 16:46:40,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0697,38011,13937,1259,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
62,62,30-03-2020 16:46:40,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,7,Тбилиси,5 гр,0.027000000000000003,14691,5387,487,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
63,63,30-03-2020 16:46:40,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1271,69959,25650,2318,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
64,64,30-03-2020 16:46:40,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0988,54413,19950,1803,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
65,65,30-03-2020 16:46:40,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0452,24874,9120,824,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
66,66,30-03-2020 16:47:21,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1124,62186,22800,2060,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
67,67,30-03-2020 16:47:21,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3125,172955,63413,5730,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
68,68,30-03-2020 16:47:21,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.2056,112634,41297,3732,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
69,69,30-03-2020 16:47:21,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0523,28683,10517,950,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
70,70,30-03-2020 16:47:21,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0424,23242,8522,770,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
71,71,30-03-2020 16:47:21,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.085,46562,17072,1543,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
72,72,30-03-2020 16:47:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1545,85506,31350,2833,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
73,73,30-03-2020 16:47:21,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3371,186558,68400,6181,2400.0,,,,,,,,,,,,100 gr marijuana buds
74,74,30-03-2020 16:47:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2809,155465,57000,5151,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
75,75,30-03-2020 16:47:21,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2837,155465,57000,5151,2000.0,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
76,76,30-03-2020 16:47:21,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3511,194331,71250,6439,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
77,77,30-03-2020 16:47:21,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2128,116599,42750,3863,1500.0,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
78,78,30-03-2020 16:47:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6461,357570,131100,11847,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,79,30-03-2020 16:47:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0534,582994,213750,19316,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,80,30-03-2020 16:47:21,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1939,660726,242250,21891,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,30-03-2020 16:47:21,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0255,15547,5700,515,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
82,82,30-03-2020 16:47:21,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",True,1,нет,Тбилиси,1 гр,0.0281,15547,5700,515,200.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
83,83,30-03-2020 16:47:21,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,50 гр,0.0352,21435,7888,709,,,,,250.0,,,,,,,,Rabota na marki (kur'er)
84,84,30-03-2020 16:47:21,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0281,15547,5700,515,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
85,85,30-03-2020 16:47:21,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0351,19433,7125,644,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,86,30-03-2020 16:47:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.126,1165988,427500,38631,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
87,87,30-03-2020 16:49:03,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0103,6219,2280,206,80.0,,,,,,,,,True,,,MEPHEDRONE 0.5 gr
88,88,30-03-2020 16:49:03,Batumi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,4,нет,Батуми,1 гр,0.0211,11660,4275,386,150.0,,,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
89,89,30-03-2020 16:49:03,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,17,нет,Батуми,2 гр,0.0049,2954,1083,98,38.0,,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
90,90,30-03-2020 16:49:03,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 4 штуки!!!,,1,нет,Батуми,4 гр,0.0082,4975,1824,165,64.0,,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 4 shtuki!!!
91,91,30-03-2020 16:49:03,Batumi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,1,нет,Батуми,6 гр,0.0122,7385,2708,245,95.0,,,,,,,,,,True,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
92,92,30-03-2020 16:49:03,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3102,171012,62700,5666,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
93,93,30-03-2020 16:49:03,Batumi,f8a875c191,0.25G - METADON - VHQ,,нет,5,Батуми,0.25 гр,0.0356,19433,7125,644,250.0,,,,,,,,,,True,,0.25G - METADON - VHQ
94,94,30-03-2020 16:49:03,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,13,Батуми,5 гр,0.0256,15547,5700,515,200.0,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
95,95,30-03-2020 16:49:03,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2848,155465,57000,5151,2000.0,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
96,96,30-03-2020 16:49:03,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2136,116599,42750,3863,1500.0,,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
97,97,30-03-2020 16:49:03,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0128,7773,2850,258,100.0,,,,,,,,,,True,,kur'er v Batumi
98,98,30-03-2020 16:49:03,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.032,19433,7125,644,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
99,99,30-03-2020 16:49:03,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.032,19433,7125,644,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
100,100,30-03-2020 16:49:03,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0353,21435,7888,709,,,,,250.0,,,,,,True,,Rabota na marki (kur'er)
101,101,30-03-2020 16:49:03,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1339,1165988,427500,38631,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
