,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
42,42,11-06-2020 21:51:01,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2313,153796,59519,5278,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
43,43,11-06-2020 21:51:01,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1637,107761,41703,3698,,True,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
44,44,11-06-2020 21:51:01,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0828,54537,21106,1872,,True,789.0,,,,,,,,💘✨10gram MDMA ✨💘
45,45,11-06-2020 21:51:01,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0387,25506,9871,875,,True,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
46,46,11-06-2020 21:51:01,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,11 гр,0.0366,24193,9363,830,,True,350.0,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
47,47,11-06-2020 21:51:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.053,35252,13643,1210,,True,510.0,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
48,48,11-06-2020 21:51:01,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1418,103683,40125,3558,,True,1500.0,,,,,,,,✨💘20g MDMA💘✨
49,49,11-06-2020 21:51:01,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0629,41404,16023,1421,,True,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,50,11-06-2020 21:51:01,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.135,89789,34748,3081,,True,1299.0,,,,,,,,50 gr georgian weed. Package on magnet
51,51,11-06-2020 21:51:01,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2598,172736,66848,5928,,True,2499.0,,,,,,,,100 gr georgian weed. Package on magnet
52,52,11-06-2020 21:51:01,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2495,165893,64200,5693,,True,2400.0,,,,,,,,100 gr marijuana buds
53,53,11-06-2020 21:51:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2079,138244,53500,4744,,True,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
54,54,11-06-2020 21:51:01,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2599,172805,66875,5930,,True,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,55,11-06-2020 21:51:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 150шт. вес таблетки 450mg,,нет,1,Тбилиси,150 гр,0.2807,186629,72225,6405,,True,2700.0,,,,,,,,Extasy GUCCI 150sht. ves tabletki 450mg
56,56,11-06-2020 21:51:01,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6133,407819,157825,13995,,True,5900.0,,,,,,,,180 gr marihuana persoalno
57,57,11-06-2020 21:51:01,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4458,293768,113688,10081,,True,4250.0,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
58,58,11-06-2020 21:51:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4782,317961,123050,10912,,True,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
59,59,11-06-2020 21:51:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7796,518414,200625,17791,,True,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
60,60,11-06-2020 21:51:01,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8836,587536,227375,20163,,True,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
61,61,11-06-2020 21:51:01,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0189,13824,5350,474,,True,200.0,,,,,,,,KURYER..500RUB.+BONUS
62,62,11-06-2020 21:51:01,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0208,13824,5350,474,,True,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
63,63,11-06-2020 21:51:01,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5734,1036829,401250,35582,,True,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
64,64,11-06-2020 21:52:29,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1693,112990,51992,3902,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
65,65,11-06-2020 21:52:29,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.268,178900,82321,6178,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
66,66,11-06-2020 21:52:29,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,6912,2675,237,,,100.0,,,,,True,,,kur'er v Batumi
67,67,11-06-2020 21:52:29,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0235,17280,6688,593,,,250.0,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
68,68,11-06-2020 21:52:29,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0235,17280,6688,593,,,250.0,,,,,True,,,Ischu kur'era v Gruzii!
69,69,11-06-2020 21:52:29,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0207,13824,5350,474,,,200.0,,,,,True,,,Kur'er Batumi na marihuanu
70,70,11-06-2020 21:52:29,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5674,1036829,401250,35582,,,15000.0,,,,,True,,,Vakansija optovogo kur'era na mef
71,71,11-06-2020 21:52:29,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0518,34561,13375,1186,,,500.0,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
72,72,11-06-2020 21:53:56,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,1 гр,0.0026,1728,669,59,,,25.0,,,,,,,True,Rabota na marki (kur'er)
