,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,€,Didube,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
13,13,18-07-2020 12:56:56,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.0105,7100,2737,238,99.0,,True,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,14,18-07-2020 12:56:56,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0115,7817,3014,262,109.0,,True,,,,,,,,,,2 G Hybrid Marijuana Buds
15,15,18-07-2020 12:56:56,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,8,нет,Тбилиси,2 гр,0.0127,8606,3318,288,120.0,True,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
16,16,18-07-2020 12:56:56,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,2 гр,0.0116,7889,3042,264,110.0,True,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
17,17,18-07-2020 12:56:56,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0127,8606,3318,288,120.0,True,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
18,18,18-07-2020 12:56:56,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0106,7171,2765,240,100.0,True,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
19,19,18-07-2020 12:56:56,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,2 гр,0.0106,7171,2765,240,100.0,True,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
20,20,18-07-2020 12:56:56,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,4,нет,Тбилиси,2 гр,0.0106,7889,3042,264,110.0,,True,,True,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
21,21,18-07-2020 12:56:56,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,,1,нет,Тбилиси,2 гр,0.0127,8606,3318,288,120.0,True,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
22,22,18-07-2020 12:56:56,Tbilisi,c47f675e02,Lsd-25 auto 2gram,,1,нет,Тбилиси,2 гр,0.0087,6454,2489,216,90.0,True,,,,,,,,,,,Lsd-25 auto 2gram
23,23,18-07-2020 12:56:56,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 2gram,,1,нет,Тбилиси,2 гр,0.0085,6311,2433,211,88.0,True,,,,,,,,,,,Northern Lights Regular [budsonly] 2gram
24,24,18-07-2020 12:56:56,Tbilisi,c47f675e02,"Skunk auto 2,2 gram мокрые щишки",,1,нет,Тбилиси,2 гр,0.0034,2510,968,84,35.0,,,,,True,,,,,,,"Skunk auto 2,2 gram mokrye schishki"
25,25,18-07-2020 12:56:56,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,16,нет,Тбилиси,3 гр,0.0059,3944,1521,132,55.0,True,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
26,26,18-07-2020 12:56:56,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0138,9323,3595,312,130.0,,,,,,,,,,,,Badazz Kush 3G VHQ 25% THC
27,27,18-07-2020 12:56:56,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,6,нет,Тбилиси,3 гр,0.0036,2438,940,82,34.0,,True,,,,,,,,,,Marijuana Super Skunk leaves 3g plan
28,28,18-07-2020 12:56:56,Tbilisi,e771f4c371,4.2G Delta Kush 26%THC *VHQ* FROM EUROPE,,2,нет,Тбилиси,4.2 гр,0.0212,14343,5530,480,200.0,True,,,,,,,,,,,4.2G Delta Kush 26%THC *VHQ* FROM EUROPE
29,29,18-07-2020 12:56:56,Tbilisi,c47f675e02,4.5 gram + skunk auto мокрые шишки,,1,нет,Тбилиси,4.5 гр,0.0087,6454,2489,216,90.0,,,,,True,,,,,,,4.5 gram + skunk auto mokrye shishki
30,30,18-07-2020 12:56:56,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0275,18646,7189,624,260.0,True,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
31,31,18-07-2020 12:56:56,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0296,20080,7742,672,280.0,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,32,18-07-2020 12:56:56,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0286,19363,7466,648,270.0,True,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
33,33,18-07-2020 12:56:56,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0188,13984,5392,468,195.0,True,,,,,,,,,,,5g. marihuana shishki Critical
34,34,18-07-2020 12:56:56,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0462,32271,12443,1080,450.0,True,,,,,,,,,,,Gashish Evro 10gr
35,35,18-07-2020 12:57:37,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2136,143428,55300,4799,2000.0,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,36,18-07-2020 12:57:37,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.25 A+++,,нет,15,Тбилиси,0.25 гр,0.0042,2869,1106,96,40.0,True,,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++
37,37,18-07-2020 12:57:37,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,,нет,2,Тбилиси,0.5 гр,0.0222,15060,5807,504,210.0,True,,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
38,38,18-07-2020 12:57:37,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0377,25321,9750,847,,True,,310.0,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
39,39,18-07-2020 12:57:37,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,,нет,10,Тбилиси,4 гр,0.0063,4661,1797,156,65.0,True,,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
40,40,18-07-2020 12:57:37,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0265,17928,6913,600,250.0,True,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
41,41,18-07-2020 12:57:37,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,3,Тбилиси,5 гр,0.0582,39443,15208,1320,550.0,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
42,42,18-07-2020 12:57:37,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0286,19363,7466,648,270.0,True,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
43,43,18-07-2020 12:57:37,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0291,19721,7604,660,275.0,True,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
44,44,18-07-2020 12:57:37,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.0254,17211,6636,576,240.0,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
45,45,18-07-2020 12:57:37,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0296,20080,7742,672,280.0,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
46,46,18-07-2020 12:57:37,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0286,19363,7466,648,270.0,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
47,47,18-07-2020 12:57:37,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0211,15705,6055,525,219.0,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
48,48,18-07-2020 12:57:37,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0286,19363,7466,648,270.0,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,49,18-07-2020 12:57:37,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2549,190000,87429,6356,,True,,,,,,,,,,,reagent 25i nbome. 5gr
50,50,18-07-2020 12:57:37,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2887,215142,82950,7198,3000.0,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
51,51,18-07-2020 12:57:37,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭,,нет,5,Тбилиси,5 гр,0.0529,35857,13825,1200,500.0,True,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭
52,52,18-07-2020 12:57:37,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0243,16336,6290,546,,True,,200.0,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
53,53,18-07-2020 12:57:37,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0953,64543,24885,2159,900.0,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,54,18-07-2020 12:57:37,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0582,39443,15208,1320,550.0,True,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,55,18-07-2020 12:57:37,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0741,50200,19355,1680,700.0,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,18-07-2020 12:57:37,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0445,30120,11613,1008,420.0,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,18-07-2020 12:57:37,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0847,57371,22120,1920,800.0,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,58,18-07-2020 12:57:37,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,,1,10,Тбилиси,10 гр,0.0366,27251,10507,912,380.0,True,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
59,59,18-07-2020 12:57:37,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2355,159563,61521,5339,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,18-07-2020 12:57:37,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0535,35940,13838,1202,,True,,440.0,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
61,61,18-07-2020 12:57:37,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0474,31856,12266,1065,,True,,390.0,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
62,62,18-07-2020 12:57:37,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0625,46614,17973,1560,650.0,True,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
63,63,18-07-2020 12:57:37,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.254,172113,66360,5759,2400.0,True,,,,,,,,,,,100 gr marijuana buds
64,64,18-07-2020 12:57:37,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2646,179285,69125,5999,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,65,18-07-2020 12:57:37,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6245,423112,163135,14156,5900.0,True,,,,,,,,,,,180 gr marihuana persoalno
66,66,18-07-2020 12:57:37,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8997,609568,235025,20395,8500.0,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,18-07-2020 12:57:37,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0192,14343,5530,480,200.0,True,,,,,,,,,,,KURYER..500RUB.+BONUS
68,68,18-07-2020 12:57:37,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0265,17928,6913,600,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
69,69,18-07-2020 12:58:14,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0265,17928,6913,600,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,70,18-07-2020 12:58:14,Tbilisi,ebadfc162f,"Galiak ищет курьерa толка за марихуани в тбилиси, клад 7$. Залог с 200$",,1,нет,Тбилиси,10 гр,0.0192,14343,5530,480,200.0,True,,,,,,,,,,,"Galiak ischet kur'era tolka za marihuani v tbilisi, klad 7$. Zalog s 200$"
71,71,18-07-2020 12:58:14,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0212,14343,5530,480,200.0,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,72,18-07-2020 12:58:14,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0265,17928,6913,600,250.0,True,,,,,,,,,,,Rabota na marki (kur'er)
73,73,18-07-2020 12:58:14,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0529,35857,13825,1200,500.0,True,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
74,74,18-07-2020 12:58:14,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.0212,14343,5530,480,200.0,True,,,,,,,,,,,Rabota kur'erom
75,75,18-07-2020 12:58:14,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6017,1075709,414750,35991,15000.0,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
76,76,18-07-2020 12:58:14,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0529,35857,13825,1200,500.0,,,,,True,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,77,18-07-2020 13:00:39,Batumi,75738ec358,ASTRAL 1g,,4,нет,Батуми,1 гр,0.0081,5737,2212,192,80.0,,,,,,,,,True,True,,ASTRAL 1g
78,78,18-07-2020 13:00:39,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,8,нет,Батуми,2 гр,0.0044,3012,1161,101,42.0,,,,,,,,,True,,,Melkie shishki (Indica) 2g
79,79,18-07-2020 13:00:39,Batumi,3c4662c591,шишки марихуаны 5G,,1,нет,Батуми,5 гр,0.0265,17928,6913,600,250.0,,,,,,,,,,True,,shishki marihuany 5G
80,80,18-07-2020 13:00:39,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0476,32271,12443,1080,450.0,,,,,,,,,,True,,Super Critical 10G
81,81,18-07-2020 13:00:39,Batumi,f8a875c191,METADON - 0.30 - SALE,,1,5,Батуми,0.3 гр,0.0321,21514,8295,720,300.0,,,,,,,,,True,,,METADON - 0.30 - SALE
82,82,18-07-2020 13:00:39,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0377,25321,9750,847,,,,310.0,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
83,83,18-07-2020 13:00:39,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0337,25100,9678,840,350.0,,,,,,,,,True,,,Mefedron 3g
84,84,18-07-2020 13:00:39,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0404,30120,11613,1008,420.0,,,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
85,85,18-07-2020 13:00:39,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0535,35940,13838,1202,,,,440.0,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
86,86,18-07-2020 13:00:39,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0474,31856,12266,1065,,,,390.0,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
87,87,18-07-2020 13:00:39,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0485,32591,12549,1090,,,,399.0,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
88,88,18-07-2020 13:00:39,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1667,112990,51992,3780,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
89,89,18-07-2020 13:00:39,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.264,178900,82321,5984,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
90,90,18-07-2020 13:00:39,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7171,2765,240,100.0,,,,,,,,,True,,,kur'er v Batumi
91,91,18-07-2020 13:00:39,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17928,6913,600,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
92,92,18-07-2020 13:00:39,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17928,6913,600,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
93,93,18-07-2020 13:00:39,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0212,14343,5530,480,200.0,,,,,,,,,True,,,Kur'er Batumi na marihuanu
94,94,18-07-2020 13:00:39,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6017,1075709,414750,35991,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
95,95,18-07-2020 13:00:39,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0529,35857,13825,1200,500.0,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
96,96,18-07-2020 13:02:12,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4463,302633,116683,10125,4220.0,,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
