,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Varketili,Saburtalo,Didube,Nadzaladevi,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
63,63,11-07-2020 13:25:59,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2536,170952,65400,5832,,2400.0,,,,,,,,,,,,100 gr marijuana buds
64,64,11-07-2020 13:25:59,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2642,178075,68125,6075,,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,65,11-07-2020 13:25:59,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6236,420256,160775,14337,,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
66,66,11-07-2020 13:25:59,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8983,605453,231625,20655,,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,11-07-2020 13:25:59,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14246,5450,486,,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
68,68,11-07-2020 13:26:52,Tbilisi,83f3d55917,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,True,1,нет,Тбилиси,1 гр,0.0159,10684,4088,365,,150.0,,,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
69,69,11-07-2020 13:26:52,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0264,17807,6813,608,,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,70,11-07-2020 13:26:52,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0211,14246,5450,486,,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
71,71,11-07-2020 13:26:52,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0264,17807,6813,608,,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
72,72,11-07-2020 13:26:52,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0528,35615,13625,1215,,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
