,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
11,11,15-03-2020 01:28:15,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,4,нет,Тбилиси,1 гр,0.0143,6221,2286,199,85.0,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
12,12,15-03-2020 01:28:15,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,16,нет,Тбилиси,1 гр,0.0064,2854,1049,91,39.0,,,,,,,,,,,,1G ---> ONLY BUDS
13,13,15-03-2020 01:28:15,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,6,нет,Тбилиси,1 гр,0.0143,6221,2286,199,85.0,,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
14,14,15-03-2020 01:28:15,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,1,нет,Тбилиси,1 гр,0.0335,14491,5324,463,198.0,,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
15,15,15-03-2020 01:28:15,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.0077,3367,1237,108,46.0,,,,,,,,,,,,Amsterdam weed sativa 1gr
16,16,15-03-2020 01:28:15,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0288,13101,4813,419,179.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
17,17,15-03-2020 01:28:15,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,3,нет,Тбилиси,1 гр,0.0838,40254,14790,1287,550.0,,,,,,,,,,,,Metadon VHQ 1 24/7
18,18,15-03-2020 01:28:15,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0075,3293,1210,105,45.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
19,19,15-03-2020 01:28:15,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,10,нет,Тбилиси,1 гр,0.0073,3220,1183,103,44.0,,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
20,20,15-03-2020 01:28:15,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.032,14564,5351,466,199.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
21,21,15-03-2020 01:28:15,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,5,нет,Тбилиси,1 гр,0.0314,13833,5082,442,189.0,,,,,,,,,,,,Kokain HQ 1g.
22,22,15-03-2020 01:28:15,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1372,65869,24201,2106,900.0,,,,,,,,,,,,Metadon 1gr
23,23,15-03-2020 01:28:15,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,13,нет,Тбилиси,1 гр,0.003,1464,538,47,20.0,,True,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
24,24,15-03-2020 01:28:15,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,1,нет,Тбилиси,1 гр,0.0117,5050,1855,161,69.0,,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
25,25,15-03-2020 01:28:15,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.0201,8783,3227,281,120.0,,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
26,26,15-03-2020 01:28:15,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,19,нет,Тбилиси,2 гр,0.0137,6587,2420,211,90.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
27,27,15-03-2020 01:28:15,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.061,26348,9680,842,360.0,,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
28,28,15-03-2020 01:28:15,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.061,27738,10191,887,379.0,,,,,,,,,,,,Kokain HQ 2g.
29,29,15-03-2020 01:28:15,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.045,20465,7488,654,,,,250.0,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
30,30,15-03-2020 01:28:15,Tbilisi,64284550d9,3G ---> Plan,,12,нет,Тбилиси,3 гр,0.0065,2854,1049,91,39.0,True,,,,,,,,,,,3G ---> Plan
31,31,15-03-2020 01:28:15,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0178,7685,2823,246,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
32,32,15-03-2020 01:28:15,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,4,нет,Тбилиси,4 гр,0.0091,4391,1613,140,60.0,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
33,33,15-03-2020 01:28:15,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0269,11637,4276,372,159.0,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
34,34,15-03-2020 01:29:07,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0653,29470,10782,941,,,,360.0,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
35,35,15-03-2020 01:29:07,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0299,12808,4706,410,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
36,36,15-03-2020 01:29:07,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.133,57599,21162,1842,787.0,,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
37,37,15-03-2020 01:29:07,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,,1,нет,Тбилиси,5 гр,0.0357,16101,5916,515,220.0,,,,,True,,,,,,,Hybrid Gagarin. 5g.
38,38,15-03-2020 01:29:07,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0261,12442,4571,398,170.0,,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
39,39,15-03-2020 01:29:07,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.0271,11637,4276,372,159.0,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
40,40,15-03-2020 01:29:07,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.01,4757,1748,152,65.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
41,41,15-03-2020 01:29:07,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0743,32496,11939,1039,444.0,,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
42,42,15-03-2020 01:29:07,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0617,26714,9815,854,365.0,,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
43,43,15-03-2020 01:29:07,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0152,7246,2662,232,99.0,,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
44,44,15-03-2020 01:29:07,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0649,29275,10756,936,400.0,,,,,,,,,,,,gashish evro 10g
45,45,15-03-2020 01:29:07,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,11 гр,0.1433,62064,22803,1984,848.0,,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
46,46,15-03-2020 01:29:07,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0461,19761,7260,632,270.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
47,47,15-03-2020 01:29:07,Tbilisi,2dbb5960b9,Methadone HQ in city 0.75g,True,нет,1,Тбилиси,0.75 гр,0.0625,27080,9949,866,370.0,,,,,,,,,,,,Methadone HQ in city 0.75g
48,48,15-03-2020 01:29:07,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,3,Тбилиси,1.1 гр,0.1194,51232,18823,1638,700.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
49,49,15-03-2020 01:29:07,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1183,51232,18823,1638,700.0,,,,,,,,,,,,Methadone HQ in city 1.4g
50,50,15-03-2020 01:29:07,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.1007,43181,15865,1381,590.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
51,51,15-03-2020 01:29:07,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0676,29275,10756,936,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
52,52,15-03-2020 01:29:07,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0929,40254,14790,1287,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
53,53,15-03-2020 01:29:07,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0264,11417,4195,365,156.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
54,54,15-03-2020 01:29:07,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0336,14564,5351,466,199.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
55,55,15-03-2020 01:29:07,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.027000000000000003,11710,4302,374,160.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
56,56,15-03-2020 01:29:07,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0336,14564,5351,466,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
57,57,15-03-2020 01:29:07,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0336,14564,5351,466,199.0,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
58,58,15-03-2020 01:29:07,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0245,10612,3899,339,145.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
59,59,15-03-2020 01:29:07,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0336,16028,5889,513,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
60,60,15-03-2020 01:29:07,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0512,21956,8067,702,300.0,,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
61,61,15-03-2020 01:29:07,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,9,Тбилиси,5 гр,0.0253,10978,4034,351,150.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
62,62,15-03-2020 01:29:07,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0307,14638,5378,468,200.0,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
63,63,15-03-2020 01:29:07,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3987,190000,87429,6072,,,,,,,,,,,,,reagent 25i nbome. 5gr
64,64,15-03-2020 01:29:07,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4608,219565,80670,7021,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
65,65,15-03-2020 01:29:07,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1466,62869,23099,2010,859.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
66,66,15-03-2020 01:29:07,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0316,13540,4975,433,185.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
67,67,15-03-2020 01:29:54,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0316,13540,4975,433,185.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
68,68,15-03-2020 01:29:54,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0834,35789,13149,1144,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
69,69,15-03-2020 01:29:54,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0561,24079,8847,770,329.0,,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
70,70,15-03-2020 01:29:54,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1521,65869,24201,2106,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
71,71,15-03-2020 01:29:54,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1183,51232,18823,1638,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
72,72,15-03-2020 01:29:54,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0674,29202,10729,934,399.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
73,73,15-03-2020 01:29:54,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0597,25616,9412,819,350.0,,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
74,74,15-03-2020 01:29:54,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1352,58551,21512,1872,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
75,75,15-03-2020 01:29:54,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3759,162844,59830,5207,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
76,76,15-03-2020 01:29:54,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2473,106050,38964,3391,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
77,77,15-03-2020 01:29:54,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.063,27006,9922,864,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
78,78,15-03-2020 01:29:54,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.051,21883,8040,700,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
79,79,15-03-2020 01:29:54,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.1022,43840,16107,1402,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
80,80,15-03-2020 01:29:54,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1843,87826,32268,2808,1200.0,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
81,81,15-03-2020 01:29:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3379,146376,53780,4680,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
82,82,15-03-2020 01:29:54,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3413,146376,53780,4680,2000.0,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
83,83,15-03-2020 01:29:54,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4224,182971,67225,5851,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
84,84,15-03-2020 01:29:54,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.256,109782,40335,3510,1500.0,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
85,85,15-03-2020 01:29:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7772,336666,123694,10765,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
86,86,15-03-2020 01:29:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2671,548912,201675,17552,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
87,87,15-03-2020 01:29:54,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.4361,622100,228565,19892,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
88,88,15-03-2020 01:29:54,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0307,14638,5378,468,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
89,89,15-03-2020 01:29:54,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.023,10978,4034,351,150.0,,,,,,,,,,,,Rabota na marki (kur'er)
90,90,15-03-2020 01:29:54,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0338,14638,5378,468,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
91,91,15-03-2020 01:29:54,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0422,18297,6723,585,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
92,92,15-03-2020 01:29:54,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.5573,1097823,403350,35103,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
93,93,15-03-2020 01:31:54,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.252,109782,40335,3510,1500.0,,,,,,,,,True,,,Skunk! 50 gr.
94,94,15-03-2020 01:31:54,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0306,14638,5378,468,200.0,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
95,95,15-03-2020 01:31:54,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3394,146376,53780,4680,2000.0,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
96,96,15-03-2020 01:31:54,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2546,109782,40335,3510,1500.0,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
97,97,15-03-2020 01:31:54,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0153,7319,2689,234,100.0,,,,,,,,,True,,,kur'er v Batumi
98,98,15-03-2020 01:31:54,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0382,18297,6723,585,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
99,99,15-03-2020 01:31:54,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0229,10978,4034,351,150.0,,,,,,,,,True,,,Rabota na marki (kur'er)
100,100,15-03-2020 01:31:54,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0382,18297,6723,585,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
101,101,15-03-2020 01:31:54,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.5433,1097823,403350,35103,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
102,102,15-03-2020 01:31:54,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.084,36594,13445,1170,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
103,103,15-03-2020 01:33:19,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0229,10978,4034,351,150.0,,,,,,,,,,,True,Rabota na marki (kur'er)
