,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Didube,$,Varketili,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
65,65,10-07-2020 20:19:02,Tbilisi,83f3d55917,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,True,1,нет,Тбилиси,1 гр,0.0159,10684,4080,365,,,150.0,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
66,66,10-07-2020 20:19:02,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0264,17807,6800,608,,,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
67,67,10-07-2020 20:19:02,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0211,14246,5440,487,,,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
68,68,10-07-2020 20:19:34,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0264,17807,6800,608,,,250.0,,,,,,,,,Rabota na marki (kur'er)
69,69,10-07-2020 20:19:34,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0528,35615,13600,1217,,,500.0,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
70,70,10-07-2020 20:19:34,Tbilisi,ae784bef73,Работа курьером,True,нет,1,Тбилиси,10 гр,0.0192,14246,5440,487,,,200.0,,,,,,,,,Rabota kur'erom
71,71,10-07-2020 20:19:34,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5981,1068447,408000,36498,,,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
72,72,10-07-2020 20:19:34,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0528,35615,13600,1217,,,500.0,True,,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
73,73,10-07-2020 20:20:47,Batumi,7c2ccfb3f3,Метамфетамин 1г,,1,нет,Батуми,1 гр,0.0144,10684,4080,365,,,150.0,,,,,,,True,,Metamfetamin 1g
74,74,10-07-2020 20:20:47,Batumi,75738ec358,Golosa(GHS)+ DOS-vi-DOS 2g,,2,нет,Батуми,2 гр,0.0192,14246,5440,487,,,200.0,,,,,,,True,,Golosa(GHS)+ DOS-vi-DOS 2g
75,75,10-07-2020 20:20:47,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 3шт.,,1,нет,Батуми,3 гр,0.024,17807,6800,608,,,250.0,,,,,,,True,,Tably Punisher 300 mg. 3sht.
76,76,10-07-2020 20:20:48,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Батуми,1 гр,0.0372,24883,9517,854,310.0,,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
77,77,10-07-2020 20:20:48,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Батуми,10 гр,0.0528,35318,13508,1212,440.0,,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
78,78,10-07-2020 20:20:48,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0468,31305,11973,1074,390.0,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
79,79,10-07-2020 20:20:48,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0479,32027,12249,1099,399.0,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
80,80,10-07-2020 20:20:48,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1675,112990,51992,3878,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
81,81,10-07-2020 20:20:48,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2652,178900,82321,6140,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
82,82,10-07-2020 20:20:48,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7123,2720,243,,,100.0,,,,,,,True,,kur'er v Batumi
83,83,10-07-2020 20:20:48,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17807,6800,608,,,250.0,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
84,84,10-07-2020 20:20:48,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17807,6800,608,,,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
85,85,10-07-2020 20:20:48,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14246,5440,487,,,200.0,,,,,,,True,,Kur'er Batumi na marihuanu
86,86,10-07-2020 20:20:48,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5981,1068447,408000,36498,,,15000.0,,,,,,,True,,Vakansija optovogo kur'era na mef
87,87,10-07-2020 20:20:48,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0528,35615,13600,1217,,,500.0,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
