,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Saburtalo,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
46,46,22-03-2020 23:05:20,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0297,15531,5592,509,199.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
47,47,22-03-2020 23:05:20,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.0297,15531,5592,509,199.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
48,48,22-03-2020 23:05:20,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0297,15531,5592,509,199.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
49,49,22-03-2020 23:05:20,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0297,15531,5592,509,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
50,50,22-03-2020 23:05:20,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0297,15531,5592,509,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
51,51,22-03-2020 23:05:20,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0297,15531,5592,509,199.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,52,22-03-2020 23:05:20,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0297,17092,6154,560,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,53,22-03-2020 23:05:20,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0452,23413,8430,768,300.0,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
54,54,22-03-2020 23:05:20,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0297,15531,5592,509,199.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,55,22-03-2020 23:05:20,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,1,Тбилиси,5 гр,0.0298,15609,5620,512,200.0,,,,,,True,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
56,56,22-03-2020 23:05:20,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0271,15609,5620,512,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
57,57,22-03-2020 23:05:20,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3299,190000,87429,6224,,,,,,,,,,,,reagent 25i nbome. 5gr
58,58,22-03-2020 23:05:20,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4065,234133,84300,7677,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
59,59,22-03-2020 23:05:20,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1293,67040,24138,2198,859.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
60,60,22-03-2020 23:05:20,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0279,14438,5199,473,185.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
61,61,22-03-2020 23:05:20,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0736,38164,13741,1251,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
62,62,22-03-2020 23:05:20,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,2,Тбилиси,5 гр,0.0495,25677,9245,842,329.0,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
63,63,22-03-2020 23:05:20,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,8,Тбилиси,5 гр,0.0271,14048,5058,461,180.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
64,64,22-03-2020 23:05:20,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1341,70240,25290,2303,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
65,65,22-03-2020 23:05:20,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1043,54631,19670,1791,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
66,66,22-03-2020 23:06:34,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1335,70240,25290,2303,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
67,67,22-03-2020 23:06:34,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1038,54631,19670,1791,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
68,68,22-03-2020 23:06:34,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0475,24974,8992,819,320.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
69,69,22-03-2020 23:06:34,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0524,27316,9835,896,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
70,70,22-03-2020 23:06:34,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1187,62435,22480,2047,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
71,71,22-03-2020 23:06:34,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.33,173649,62523,5694,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
72,72,22-03-2020 23:06:34,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2171,113086,40717,3708,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
73,73,22-03-2020 23:06:34,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0553,28798,10369,944,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
74,74,22-03-2020 23:06:34,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0448,23335,8402,765,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
75,75,22-03-2020 23:06:34,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0897,46749,16832,1533,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
76,76,22-03-2020 23:06:34,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1618,93653,33720,3071,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
77,77,22-03-2020 23:06:34,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2966,156089,56200,5118,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
78,78,22-03-2020 23:06:34,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2996,156089,56200,5118,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
79,79,22-03-2020 23:06:34,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3708,195111,70250,6398,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,80,22-03-2020 23:06:34,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2247,117066,42150,3839,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
81,81,22-03-2020 23:06:34,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6822,359004,129260,11772,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
82,82,22-03-2020 23:06:34,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.1123,585332,210750,19193,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,83,22-03-2020 23:06:34,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.2607,663377,238850,21752,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,84,22-03-2020 23:06:34,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.027000000000000003,15609,5620,512,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
85,85,22-03-2020 23:06:34,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",True,1,нет,Тбилиси,1 гр,0.027000000000000003,15609,5620,512,200.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
86,86,22-03-2020 23:06:34,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0202,11707,4215,384,150.0,,,,,,,,,,,Rabota na marki (kur'er)
87,87,22-03-2020 23:06:34,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0297,15609,5620,512,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
88,88,22-03-2020 23:06:34,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0371,19511,7025,640,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
89,89,22-03-2020 23:06:34,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.2449,1170665,421500,38387,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
90,90,22-03-2020 23:08:15,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,6,нет,Батуми,0.5 гр,0.0109,6244,2248,205,80.0,,,,,,,,True,,,MEPHEDRONE 0.5 gr
91,91,22-03-2020 23:08:15,Batumi,99accec7c7,COCAINE 1 gr THE BEST COCO IN GEORGIA,,4,нет,Батуми,1 гр,0.0408,23413,8430,768,300.0,,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
92,92,22-03-2020 23:08:15,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,18,нет,Батуми,1 гр,0.0259,14828,5339,486,190.0,,,,,,,,,True,,NZT-52 limited 1 g muka
93,93,22-03-2020 23:08:15,Batumi,c72111ac1a,NZT-52 limited 2г мука,,9,нет,Батуми,2 гр,0.0463,26535,9554,870,340.0,,,,,,,,,True,,NZT-52 limited 2g muka
94,94,22-03-2020 23:08:15,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3294,171697,61820,5630,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
95,95,22-03-2020 23:08:15,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.30 G,,1,3,Батуми,0.3 гр,0.0454,23413,8430,768,300.0,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.30 G
96,96,22-03-2020 23:08:15,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,14,Батуми,5 гр,0.0272,15609,5620,512,200.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
97,97,22-03-2020 23:08:15,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3024,156089,56200,5118,2000.0,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
98,98,22-03-2020 23:08:15,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2268,117066,42150,3839,1500.0,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
99,99,22-03-2020 23:08:15,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0136,7804,2810,256,100.0,,,,,,,,,True,,kur'er v Batumi
100,100,22-03-2020 23:08:15,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.034,19511,7025,640,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
101,101,22-03-2020 23:08:15,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0204,11707,4215,384,150.0,,,,,,,,,True,,Rabota na marki (kur'er)
102,102,22-03-2020 23:08:15,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.034,19511,7025,640,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
103,103,22-03-2020 23:08:15,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.2662,1170665,421500,38387,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
104,104,22-03-2020 23:08:15,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0749,39022,14050,1280,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
