,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
23,30-04-2020 00:42:11,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0364,26416,9735,874,,,,,330,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
24,30-04-2020 00:42:11,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,6,Тбилиси,2 гр,0.0237,15475,5712,517,210,,,,,,,,,,✨✨2gram. MDMA✨✨
25,30-04-2020 00:42:11,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0417,27191,10037,909,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
26,30-04-2020 00:42:11,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0654,42666,15749,1426,579,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,30-04-2020 00:42:11,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0447,29476,10880,985,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,30-04-2020 00:42:11,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0615,40529,14960,1355,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,30-04-2020 00:42:11,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.019,12527,4624,419,170,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
30,30-04-2020 00:42:11,Tbilisi,OX85,amnesia420,5g WEED MIX / выбери свои сорта,True,нет,3,Тбилиси,5 гр,0.0244,16064,5930,537,218,,,,,,,,,,5g WEED MIX / vyberi svoi sorta
31,30-04-2020 00:42:11,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0222,14664,5413,490,199,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
32,30-04-2020 00:42:11,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0222,14664,5413,490,199,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
33,30-04-2020 00:42:11,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0223,16138,5957,539,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,30-04-2020 00:43:06,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0224,16138,5957,539,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,30-04-2020 00:43:06,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0224,14664,5413,490,199,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
36,30-04-2020 00:43:06,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2635,190000,87429,6265,,,,,,,,,,,reagent 25i nbome. 5gr
37,30-04-2020 00:43:06,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3066,221068,81600,7389,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
38,30-04-2020 00:43:06,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1089,70668,26085,2362,959,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
39,30-04-2020 00:43:06,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0215,13927,5141,466,189,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
40,30-04-2020 00:43:06,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0216,14001,5168,468,190,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
41,30-04-2020 00:43:06,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0555,36034,13301,1204,489,,,,,,,,,,💘✨5g. MDMA ✨💘
42,30-04-2020 00:43:06,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0215,13927,5141,466,189,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
43,30-04-2020 00:43:06,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,10,Тбилиси,10 гр,0.0124,8106,2992,271,110,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
44,30-04-2020 00:43:06,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1012,66320,24480,2217,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
45,30-04-2020 00:43:06,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0787,51583,19040,1724,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
46,30-04-2020 00:43:06,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.036,23581,8704,788,320,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,30-04-2020 00:43:06,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0899,58952,21760,1970,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
48,30-04-2020 00:43:06,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2501,163959,60520,5480,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
49,30-04-2020 00:43:06,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,6,Тбилиси,10 гр,0.177,114882,42405,3840,1559,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
50,30-04-2020 00:43:06,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0419,27191,10037,909,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
51,30-04-2020 00:43:06,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0339,22033,8133,736,299,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
52,30-04-2020 00:43:06,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5677,368447,136000,12315,5000,,,,,,,,,,METADON - 20 G.
53,30-04-2020 00:43:06,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.068,44140,16293,1475,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
54,30-04-2020 00:43:06,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1237,81058,29920,2709,1100,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
55,30-04-2020 00:43:06,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2698,176855,65280,5911,2400,,,,,,,,,,100 gr marijuana buds
56,30-04-2020 00:43:06,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,3,Тбилиси,100 гр,0.3373,221068,81600,7389,3000,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
57,30-04-2020 00:43:06,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2248,147379,54400,4926,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
58,30-04-2020 00:43:06,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.281,184224,68000,6158,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
59,30-04-2020 00:43:06,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6633,434767,160480,14532,5900,,,,,,,,,,180 gr marihuana persoalno
60,30-04-2020 00:43:06,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5171,338971,125120,11330,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
61,30-04-2020 00:43:06,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8431,552671,204000,18473,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
62,30-04-2020 00:43:06,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9555,626360,231200,20936,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
63,30-04-2020 00:43:06,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0204,14738,5440,493,200,,,,,,,,,,KURYER..500RUB.+BONUS
64,30-04-2020 00:43:06,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0225,14738,5440,493,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,30-04-2020 00:43:06,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0281,18422,6800,616,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
66,30-04-2020 00:43:06,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0225,14738,5440,493,200,,,,,,,,,,Rabota na marki (kur'er)
67,30-04-2020 00:43:06,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.7016,1105341,408000,36945,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
68,30-04-2020 00:44:26,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0039,2562,944,85,,,,,32,,,True,,,Batumi n-booom 2 shtuki
69,30-04-2020 00:44:26,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2459,162117,59840,5419,2200,,,,,,,True,,,[100g] SPAIN HASH
70,30-04-2020 00:44:26,Batumi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 10 шт",,нет,10,Батуми,10 гр,0.0123,8106,2992,271,110,,,,,,,True,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
71,30-04-2020 00:44:26,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Батуми,20 гр,0.5644,368447,136000,12315,5000,,,,,,,True,,,METADON - 20 G.
72,30-04-2020 00:44:26,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0102,7369,2720,246,100,,,,,,,True,,,kur'er v Batumi
73,30-04-2020 00:44:26,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0254,18422,6800,616,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
74,30-04-2020 00:44:26,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0254,18422,6800,616,250,,,,,,,True,,,Ischu kur'era v Gruzii!
75,30-04-2020 00:44:26,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6917,1105341,408000,36945,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
76,30-04-2020 00:44:26,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0559,36845,13600,1232,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,30-04-2020 00:46:15,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0209,13927,5141,466,189,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,30-04-2020 00:46:15,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0541,35666,13165,1192,484,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,30-04-2020 00:46:15,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0372,24539,9058,820,333,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
80,30-04-2020 00:46:15,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0224,14738,5440,493,200,,,,,,,,,True,Rabota na marki (kur'er)
